sample_id	G000	G001	G002	G003	G004	G005	G006	G007	G008	G009	G010	G011	G012	G013	G014	G015	G016	G017	G018	G019	G020	G021	G022	G023	G024	G025	G026	G027	G028	G029	G030	G031	G032	G033	G034	G035	G036	G037	G038	G039	G040	G041	G042	G043	G044	G045	G046	G047	G048	G049	G050	G051	G052	G053	G054	G055	G056	G057	G058	G059	G060	G061	G062	G063	G064	G065	G066	G067	G068	G069	G070	G071	G072	G073	G074	G075	G076	G077	G078	G079
S000	0.582056	0.583681	1.759407	0.279256	1.567378	0.549731	1.152022	0.061289	0.825590	1.981222	2.448677	1.408842	0.794009	0.304168	0.696211	0.342788	2.107993	0.766445	0.614477	0.890057	1.732914	0.510976	0.170403	0.156505	0.257362	0.472676	2.240702	0.364086	0.634806	1.435260	0.741922	0.253083	0.356077	1.063769	0.399910	1.015943	0.269492	0.711414	0.435611	0.238079	0.990931	2.374684	0.257040	0.690895	3.081861	2.465245	2.254949	2.209708	0.896235	0.373341	1.479680	0.707563	5.368805	0.709871	0.685434	0.255204	0.933508	1.450635	0.797271	2.126796	0.647742	0.434020	1.743421	3.091576	1.553310	2.056013	1.094829	0.218267	0.542657	1.673126	0.242326	0.123195	2.164943	1.274087	0.409315	2.584331	0.515571	0.577055	0.008208	0.010981
S001	0.484211	0.563820	1.539631	0.472871	1.600247	0.204706	1.056406	0.087886	1.764960	2.066486	2.039177	0.963112	0.740036	0.414680	0.826461	0.160625	2.469830	0.793938	0.535098	0.891237	1.481502	0.453857	0.189699	0.143738	0.228998	0.420844	3.769567	0.620844	1.317350	2.415523	1.072703	0.670213	0.688624	1.773530	0.693766	1.682923	0.424099	1.129434	0.759374	0.439076	0.849975	3.746421	0.486554	0.979699	4.687663	4.060010	3.753945	3.695907	1.669985	0.551096	2.370596	1.362300	5.639218	1.023392	0.532588	0.285948	0.950197	1.405169	0.671971	2.204483	0.087656	0.428131	1.888282	2.952582	1.883672	2.225892	0.890212	0.272168	0.500838	1.509997	0.186671	0.222015	2.142650	1.271497	0.286375	2.080352	0.481088	0.606062	0.010599	0.074974
S002	0.735877	1.526796	4.345628	0.752189	4.081187	0.791710	2.993191	0.105764	2.143543	5.468337	6.257333	2.707706	2.174805	0.946760	2.054416	0.928168	5.750837	2.313491	1.465698	2.413580	4.304428	1.335117	0.509262	0.416629	0.682915	1.439183	8.964384	1.354730	2.544101	5.776423	2.463762	0.560393	1.270673	4.167328	1.549817	4.572894	1.035744	2.634873	1.746489	0.812074	1.995115	8.796563	0.599275	2.806451	11.506505	9.718022	8.975237	8.804250	2.703979	1.306794	5.454413	2.793713	11.871741	1.603438	1.209131	0.570670	2.083731	3.134095	1.385800	4.771073	0.228714	0.959524	3.441429	6.001479	3.750834	4.459672	1.692183	0.425322	0.866069	3.646385	0.298330	0.462368	4.917496	2.770884	0.792323	4.155249	1.551834	1.303220	0.148135	0.103331
S003	0.356957	0.647244	1.706741	0.665163	1.728334	0.268094	1.160248	0.011145	0.986550	2.159366	2.644745	1.080195	0.814599	0.409038	0.716797	0.208233	2.265776	0.821081	0.634151	0.937971	2.217857	0.658525	0.239047	0.290375	1.144434	0.507752	3.900896	0.646981	1.128623	2.640005	1.380020	0.413587	0.621780	1.916735	0.739809	1.799782	0.384042	1.305146	0.776367	0.349983	1.657761	4.003619	0.260834	1.056322	4.987132	4.616433	4.282820	3.896860	1.220647	0.920238	2.443200	1.285324	12.582427	1.573057	1.465449	0.577139	2.205864	3.157867	1.456064	5.102280	0.185096	0.862708	3.536729	6.176895	3.718689	4.775267	1.725078	0.435812	1.031529	3.461697	0.260271	0.270408	4.769335	2.904061	0.485569	4.436410	0.995343	1.371334	0.028710	0.051209
S004	0.395634	0.726633	1.435654	1.601889	1.861460	0.452509	1.001558	0.029154	0.796271	2.048745	2.882297	1.027325	0.931426	0.569512	0.946372	0.192101	2.107686	1.499877	0.946396	0.816915	1.368146	0.422772	0.439318	0.214012	0.297110	0.514907	7.590212	1.254820	2.180032	4.998312	2.059200	0.917270	1.210075	3.808023	1.390398	3.388481	0.657202	2.368155	1.464390	0.679050	2.837687	7.441098	0.489356	1.997132	9.413713	8.439795	7.633585	7.572351	2.277467	1.190502	4.571116	2.319330	33.412757	4.035346	3.157289	1.520179	5.914532	8.317417	3.647232	13.471831	0.467084	2.125457	9.121328	16.299448	9.922141	12.721500	4.574986	1.069083	2.170252	9.195323	0.165618	0.637798	13.197402	7.527078	1.102655	11.721322	2.265429	3.597996	0.052103	0.037516
S005	1.068142	2.845615	8.033946	0.749784	7.375249	0.995342	5.755172	0.031354	3.928940	10.038660	11.651846	5.057192	4.040034	1.367245	3.811618	0.825548	10.700064	3.840705	2.333842	4.896637	8.304689	2.546464	0.580051	0.650568	1.426957	2.242619	8.682137	1.310345	2.514292	5.663916	2.842202	0.290017	1.221861	4.133995	1.519598	4.043234	1.212738	2.647520	1.771815	0.795033	1.789634	9.126023	0.598962	2.354206	10.860248	9.784691	9.121183	8.818210	2.986302	1.339803	5.379894	2.787212	8.003329	1.327122	0.745694	0.344037	1.272514	2.029413	1.001583	2.938118	0.198298	0.712311	2.270239	3.978880	2.208291	2.850051	1.098145	0.323014	0.651775	2.091541	0.694950	0.322108	3.097048	1.773984	0.995090	2.623367	1.238543	0.900809	0.013165	0.110296
S006	0.290870	0.676823	1.429246	0.217766	1.487073	0.223667	1.073718	0.005923	0.950264	1.995703	2.128830	1.190582	0.968664	0.364477	0.637268	0.150848	2.066571	0.685098	0.450293	0.833587	1.607829	0.457040	0.293477	0.143198	0.306203	0.524788	3.668381	0.889196	1.171860	2.455781	1.030517	0.269196	0.736296	1.716308	0.641128	1.890812	0.421017	1.129543	0.749775	0.467344	0.807004	3.613360	0.267483	1.124501	4.570927	4.066917	3.744190	3.653596	1.119472	0.589328	2.373777	1.167913	2.738129	0.539725	0.460310	0.183076	0.475664	1.057419	0.332548	1.094212	0.170846	0.289144	0.894326	1.525895	1.079917	1.047674	0.457504	0.128314	0.571657	0.802671	0.258087	0.129628	1.128003	0.660382	0.222056	1.171267	0.309172	1.062556	0.106407	0.181213
S007	1.584879	3.681881	9.979664	1.126849	9.345223	1.684120	7.181415	0.171391	5.258773	12.402781	14.269316	6.603671	4.969449	2.146822	4.378013	1.079222	13.129745	4.631814	3.037389	5.627894	10.248157	3.327800	0.839687	0.877397	1.604027	2.829186	13.624878	2.113628	4.056540	8.921283	3.842310	0.638449	1.980718	6.513799	2.435409	6.277186	1.511757	4.629976	2.715916	1.229013	3.139435	14.058811	0.905057	3.644078	17.103624	15.000279	14.206946	13.666196	4.288660	2.033769	8.472835	4.344070	19.938700	2.908206	1.928538	0.928942	3.473973	5.146074	2.385316	8.292060	0.532198	1.550586	5.721203	9.815828	6.045335	7.509739	2.721235	0.719929	1.548705	5.435807	0.971872	0.593276	8.090140	5.095622	1.466403	7.261636	2.202970	2.236095	0.250132	0.027936
S008	1.598257	5.205568	14.714490	0.853446	13.459481	1.803770	10.483590	0.052100	6.939430	17.306919	20.684173	9.403897	7.249270	1.911133	6.434545	1.492375	18.594804	6.642944	4.140207	8.155674	15.129040	4.666207	0.918539	1.171159	2.316667	3.996969	5.518464	0.906829	1.760821	3.542636	1.782615	0.178607	0.761902	2.682734	1.046273	2.556345	0.890170	1.903665	1.119299	0.673833	1.900940	6.841997	0.362670	1.523656	6.878585	6.016497	6.110342	5.734234	3.159745	0.851741	3.480796	1.763594	2.963572	0.923935	0.480255	0.142579	0.502024	0.930115	0.646009	0.954260	0.634403	0.619990	0.949300	1.174836	0.768256	0.911475	0.763553	0.774257	0.478537	0.691905	0.972686	0.272232	1.077503	0.866353	1.405734	1.102247	1.566277	0.511886	0.168296	0.194733
S009	0.456172	0.546651	1.169355	1.268483	1.693994	0.277547	0.754751	0.097267	0.785712	1.905949	1.837341	0.834094	0.798192	0.696606	0.490240	0.159945	2.083597	0.703594	0.636158	0.896168	1.178043	0.375681	0.556916	0.187698	0.585373	0.755315	9.806828	1.670885	2.889268	6.436104	2.852142	0.819200	1.525079	4.685512	1.728155	4.830902	0.855123	2.983941	1.930457	0.921086	2.860019	9.629760	0.622188	2.613949	12.397928	11.048657	9.881726	9.925614	2.996153	1.646323	6.110151	3.122426	24.818921	3.076575	2.389789	1.129560	4.414412	6.256698	2.739301	10.048141	0.524443	1.678757	6.945246	12.273325	7.344741	9.540875	3.609816	0.877507	1.616749	6.914679	0.123219	0.747677	9.547110	5.983463	0.808205	8.762851	1.802979	2.654040	0.108845	0.025278
