sample_id	program	activation
S000	P_A01	0.701080
S000	P_A02	0.914489
S000	P_A03	1.178049
S001	P_A01	0.615059
S001	P_A02	1.540184
S001	P_A03	1.222028
S002	P_A01	1.848305
S002	P_A02	3.669209
S002	P_A03	2.635505
S003	P_A01	0.714268
S003	P_A02	1.634592
S003	P_A03	2.824251
S004	P_A01	0.579063
S004	P_A02	3.044150
S004	P_A03	7.493401
S005	P_A01	3.553057
S005	P_A02	3.630066
S005	P_A03	1.629703
S006	P_A01	0.631096
S006	P_A02	1.534333
S006	P_A03	0.604467
S007	P_A01	4.394321
S007	P_A02	5.704507
S007	P_A03	4.408958
S008	P_A01	6.461425
S008	P_A02	2.274059
S008	P_A03	0.524549
S009	P_A01	0.458485
S009	P_A02	4.096560
S009	P_A03	5.585904
S010	P_A01	2.359837
S010	P_A02	0.652672
S010	P_A03	2.464880
S011	P_A01	2.287566
S011	P_A02	1.820959
S011	P_A03	0.725991
S012	P_A01	0.532800
S012	P_A02	2.369481
S012	P_A03	5.615692
S013	P_A01	3.315647
S013	P_A02	0.689771
S013	P_A03	0.615002
S014	P_A01	4.870689
S014	P_A02	1.463349
S014	P_A03	2.864298
S015	P_A01	5.138973
S015	P_A02	2.268573
S015	P_A03	0.877929
S016	P_A01	0.518350
S016	P_A02	3.196542
S016	P_A03	1.664620
S017	P_A01	2.718511
S017	P_A02	1.424077
S017	P_A03	1.353919
S018	P_A01	1.302497
S018	P_A02	1.053257
S018	P_A03	2.443966
S019	P_A01	1.853705
S019	P_A02	1.362208
S019	P_A03	0.847568
S020	P_A01	0.567179
S020	P_A02	1.913952
S020	P_A03	0.112699
S021	P_A01	0.532021
S021	P_A02	1.144963
S021	P_A03	0.478790
S022	P_A01	1.295272
S022	P_A02	4.425796
S022	P_A03	0.568739
S023	P_A01	2.037406
S023	P_A02	2.220202
S023	P_A03	0.697320
S024	P_A01	1.308022
S024	P_A02	2.426993
S024	P_A03	0.425929
S025	P_A01	0.598735
S025	P_A02	0.801584
S025	P_A03	1.647901
S026	P_A01	1.857157
S026	P_A02	5.319881
S026	P_A03	1.717642
S027	P_A01	1.137988
S027	P_A02	1.235675
S027	P_A03	1.100885
S028	P_A01	1.089666
S028	P_A02	1.992135
S028	P_A03	2.535763
S029	P_A01	0.763769
S029	P_A02	1.489071
S029	P_A03	0.857338
S030	P_A01	0.969397
S030	P_A02	3.587021
S030	P_A03	1.217639
S031	P_A01	0.651754
S031	P_A02	3.317543
S031	P_A03	0.631782
S032	P_A01	4.320385
S032	P_A02	1.854854
S032	P_A03	2.909153
S033	P_A01	0.813069
S033	P_A02	2.221695
S033	P_A03	0.482560
S034	P_A01	4.482417
S034	P_A02	1.054051
S034	P_A03	1.689587
S035	P_A01	4.998882
S035	P_A02	1.831894
S035	P_A03	1.221524
S036	P_A01	2.138472
S036	P_A02	2.534627
S036	P_A03	1.542889
S037	P_A01	1.806481
S037	P_A02	0.683781
S037	P_A03	1.674064
S038	P_A01	1.207823
S038	P_A02	0.643958
S038	P_A03	2.432080
S039	P_A01	6.428120
S039	P_A02	3.549582
S039	P_A03	2.085942
S040	P_A01	3.538075
S040	P_A02	1.111884
S040	P_A03	0.654260
S041	P_A01	1.916493
S041	P_A02	2.506810
S041	P_A03	0.653444
S042	P_A01	1.137965
S042	P_A02	5.357514
S042	P_A03	1.090317
S043	P_A01	4.266307
S043	P_A02	2.245898
S043	P_A03	2.401237
S044	P_A01	1.020286
S044	P_A02	1.357267
S044	P_A03	1.323263
S045	P_A01	1.690682
S045	P_A02	0.101132
S045	P_A03	4.296996
S046	P_A01	1.360483
S046	P_A02	1.426298
S046	P_A03	2.539340
S047	P_A01	2.564430
S047	P_A02	1.629868
S047	P_A03	2.839263
S048	P_A01	3.902232
S048	P_A02	2.402234
S048	P_A03	2.099298
S049	P_A01	2.077412
S049	P_A02	0.768618
S049	P_A03	4.431754
S050	P_A01	1.050148
S050	P_A02	0.917061
S050	P_A03	0.675832
S051	P_A01	0.088147
S051	P_A02	1.548479
S051	P_A03	5.761014
S052	P_A01	2.107885
S052	P_A02	0.731427
S052	P_A03	0.304449
S053	P_A01	4.222678
S053	P_A02	2.163773
S053	P_A03	1.480737
S054	P_A01	0.519380
S054	P_A02	1.659067
S054	P_A03	2.433768
S055	P_A01	2.622571
S055	P_A02	2.241666
S055	P_A03	2.475047
S056	P_A01	1.233655
S056	P_A02	1.341992
S056	P_A03	4.026706
S057	P_A01	3.564333
S057	P_A02	3.360189
S057	P_A03	2.339453
S058	P_A01	1.105546
S058	P_A02	1.921331
S058	P_A03	0.535937
S059	P_A01	3.757254
S059	P_A02	1.111204
S059	P_A03	1.932223
S060	P_A01	0.448725
S060	P_A02	1.123735
S060	P_A03	1.817584
S061	P_A01	0.084203
S061	P_A02	1.821468
S061	P_A03	3.606820
S062	P_A01	2.622813
S062	P_A02	3.681498
S062	P_A03	0.457675
S063	P_A01	3.846653
S063	P_A02	1.366447
S063	P_A03	0.881008
S064	P_A01	3.567151
S064	P_A02	2.391892
S064	P_A03	2.744155
S065	P_A01	3.980503
S065	P_A02	3.951394
S065	P_A03	0.675734
S066	P_A01	0.192788
S066	P_A02	0.981671
S066	P_A03	0.395168
S067	P_A01	0.730758
S067	P_A02	2.254325
S067	P_A03	1.913029
S068	P_A01	0.872867
S068	P_A02	0.438211
S068	P_A03	0.637581
S069	P_A01	3.351133
S069	P_A02	6.081430
S069	P_A03	3.249936
S070	P_A01	0.126316
S070	P_A02	4.758246
S070	P_A03	0.329432
S071	P_A01	1.811967
S071	P_A02	1.086375
S071	P_A03	3.642220
S072	P_A01	1.841704
S072	P_A02	1.524232
S072	P_A03	2.862923
S073	P_A01	3.442700
S073	P_A02	3.648678
S073	P_A03	3.769965
S074	P_A01	2.010521
S074	P_A02	0.560602
S074	P_A03	0.723872
S075	P_A01	1.577117
S075	P_A02	3.523978
S075	P_A03	0.569665
S076	P_A01	1.452581
S076	P_A02	1.683984
S076	P_A03	2.475284
S077	P_A01	1.202809
S077	P_A02	3.041483
S077	P_A03	1.245795
S078	P_A01	1.326709
S078	P_A02	1.222705
S078	P_A03	2.045501
S079	P_A01	3.239888
S079	P_A02	4.714674
S079	P_A03	1.560465
S080	P_A01	1.974976
S080	P_A02	0.939380
S080	P_A03	3.266869
S081	P_A01	0.807187
S081	P_A02	4.484355
S081	P_A03	1.415063
S082	P_A01	3.026007
S082	P_A02	2.103520
S082	P_A03	2.115144
S083	P_A01	2.664706
S083	P_A02	1.208056
S083	P_A03	3.922169
S084	P_A01	3.049442
S084	P_A02	4.307463
S084	P_A03	1.218494
S085	P_A01	1.647808
S085	P_A02	0.916899
S085	P_A03	2.048817
S086	P_A01	1.742300
S086	P_A02	1.248125
S086	P_A03	1.845368
S087	P_A01	0.778188
S087	P_A02	4.242025
S087	P_A03	0.731635
S088	P_A01	1.515434
S088	P_A02	2.638186
S088	P_A03	2.348234
S089	P_A01	0.961288
S089	P_A02	2.566654
S089	P_A03	2.606298
S090	P_A01	0.360431
S090	P_A02	0.887807
S090	P_A03	2.640102
S091	P_A01	0.737800
S091	P_A02	2.317228
S091	P_A03	2.276102
S092	P_A01	0.902522
S092	P_A02	1.235521
S092	P_A03	2.258298
S093	P_A01	2.653167
S093	P_A02	0.975100
S093	P_A03	4.283289
S094	P_A01	2.619678
S094	P_A02	0.337795
S094	P_A03	3.347796
S095	P_A01	1.174748
S095	P_A02	1.398611
S095	P_A03	3.261108
S096	P_A01	0.517531
S096	P_A02	2.311031
S096	P_A03	6.197241
S097	P_A01	3.921231
S097	P_A02	1.302547
S097	P_A03	2.655849
S098	P_A01	0.043774
S098	P_A02	1.092071
S098	P_A03	0.486594
S099	P_A01	1.945137
S099	P_A02	1.720785
S099	P_A03	1.865317
S100	P_A01	2.006227
S100	P_A02	1.078328
S100	P_A03	3.680512
S101	P_A01	1.879501
S101	P_A02	0.688518
S101	P_A03	0.479503
S102	P_A01	0.525485
S102	P_A02	1.912164
S102	P_A03	4.400360
S103	P_A01	1.013699
S103	P_A02	2.964317
S103	P_A03	1.788171
S104	P_A01	0.564362
S104	P_A02	0.759993
S104	P_A03	2.161003
S105	P_A01	1.910899
S105	P_A02	0.288234
S105	P_A03	0.136646
S106	P_A01	0.286970
S106	P_A02	0.362517
S106	P_A03	0.461852
S107	P_A01	0.880788
S107	P_A02	1.134881
S107	P_A03	5.144899
S108	P_A01	0.813352
S108	P_A02	7.462097
S108	P_A03	3.662897
S109	P_A01	0.405620
S109	P_A02	2.155411
S109	P_A03	1.462735
S110	P_A01	0.497261
S110	P_A02	3.517016
S110	P_A03	1.645937
S111	P_A01	0.195799
S111	P_A02	0.279436
S111	P_A03	0.670870
S112	P_A01	6.506994
S112	P_A02	0.176449
S112	P_A03	1.448416
S113	P_A01	1.023466
S113	P_A02	1.625021
S113	P_A03	3.916514
S114	P_A01	1.592968
S114	P_A02	3.094593
S114	P_A03	1.794882
S115	P_A01	1.361604
S115	P_A02	3.147517
S115	P_A03	0.500079
S116	P_A01	2.741965
S116	P_A02	0.784164
S116	P_A03	0.238576
S117	P_A01	2.082171
S117	P_A02	0.770196
S117	P_A03	5.473539
S118	P_A01	0.900525
S118	P_A02	0.609548
S118	P_A03	3.581877
S119	P_A01	1.331061
S119	P_A02	4.111035
S119	P_A03	0.583308
