archetype_id	protein	loading
P_A01	G000	0.215001
P_A01	G001	0.780839
P_A01	G002	2.260355
P_A01	G003	0.017773
P_A01	G004	2.016543
P_A01	G005	0.274371
P_A01	G006	1.614945
P_A01	G007	0.006841
P_A01	G008	1.050709
P_A01	G009	2.599041
P_A01	G010	3.176744
P_A01	G011	1.406150
P_A01	G012	1.118272
P_A01	G013	0.243075
P_A01	G014	0.982491
P_A01	G015	0.223824
P_A01	G016	2.776410
P_A01	G017	1.020320
P_A01	G018	0.621504
P_A01	G019	1.258564
P_A01	G020	2.319467
P_A01	G021	0.715960
P_A01	G022	0.065396
P_A01	G023	0.154320
P_A01	G024	0.355280
P_A01	G025	0.567557
P_A01	G026	0.001471
P_A01	G027	0.028245
P_A01	G028	0.005238
P_A01	G029	0.000000
P_A01	G030	0.001813
P_A01	G031	0.000474
P_A01	G032	0.001259
P_A01	G033	0.024498
P_A01	G034	0.002349
P_A01	G035	0.013565
P_A01	G036	0.069404
P_A01	G037	0.005478
P_A01	G038	0.007747
P_A01	G039	0.008976
P_A01	G040	0.000002
P_A01	G041	0.238589
P_A01	G042	0.002702
P_A01	G043	0.011472
P_A01	G044	0.000187
P_A01	G045	0.000000
P_A01	G046	0.084115
P_A01	G047	0.061279
P_A01	G048	0.054138
P_A01	G049	0.006563
P_A01	G050	0.000023
P_A01	G051	0.001243
P_A01	G052	0.090289
P_A01	G053	0.096779
P_A01	G054	0.010430
P_A01	G055	0.000000
P_A01	G056	0.000046
P_A01	G057	0.040218
P_A01	G058	0.060912
P_A01	G059	0.000012
P_A01	G060	0.027391
P_A01	G061	0.022506
P_A01	G062	0.001470
P_A01	G063	0.003625
P_A01	G064	0.007410
P_A01	G065	0.000232
P_A01	G066	0.001798
P_A01	G067	0.000882
P_A01	G068	0.046603
P_A01	G069	0.005162
P_A01	G070	0.146781
P_A01	G071	0.019624
P_A01	G072	0.000735
P_A01	G073	0.000252
P_A01	G074	0.202806
P_A01	G075	0.014028
P_A01	G076	0.217866
P_A01	G077	0.037578
P_A01	G078	0.000049
P_A01	G079	0.001722
P_A02	G000	0.081534
P_A02	G001	0.001087
P_A02	G002	0.000474
P_A02	G003	0.030851
P_A02	G004	0.020867
P_A02	G005	0.000005
P_A02	G006	0.000701
P_A02	G007	0.000000
P_A02	G008	0.052521
P_A02	G009	0.168948
P_A02	G010	0.000816
P_A02	G011	0.004790
P_A02	G012	0.002077
P_A02	G013	0.134449
P_A02	G014	0.003711
P_A02	G015	0.003560
P_A02	G016	0.162785
P_A02	G017	0.020720
P_A02	G018	0.001051
P_A02	G019	0.000969
P_A02	G020	0.003263
P_A02	G021	0.000000
P_A02	G022	0.078732
P_A02	G023	0.027936
P_A02	G024	0.000168
P_A02	G025	0.033700
P_A02	G026	2.385453
P_A02	G027	0.309424
P_A02	G028	0.687262
P_A02	G029	1.554382
P_A02	G030	0.663621
P_A02	G031	0.027727
P_A02	G032	0.307603
P_A02	G033	1.095580
P_A02	G034	0.414379
P_A02	G035	1.083656
P_A02	G036	0.193565
P_A02	G037	0.696997
P_A02	G038	0.468887
P_A02	G039	0.207777
P_A02	G040	0.394272
P_A02	G041	2.229454
P_A02	G042	0.147392
P_A02	G043	0.619190
P_A02	G044	2.945682
P_A02	G045	2.563887
P_A02	G046	2.400311
P_A02	G047	2.347409
P_A02	G048	0.698036
P_A02	G049	0.349135
P_A02	G050	1.477802
P_A02	G051	0.760113
P_A02	G052	0.000048
P_A02	G053	0.008520
P_A02	G054	0.007668
P_A02	G055	0.001740
P_A02	G056	0.000000
P_A02	G057	0.021171
P_A02	G058	0.000221
P_A02	G059	0.003107
P_A02	G060	0.002794
P_A02	G061	0.056524
P_A02	G062	0.092177
P_A02	G063	0.005743
P_A02	G064	0.000145
P_A02	G065	0.012600
P_A02	G066	0.002721
P_A02	G067	0.021779
P_A02	G068	0.000000
P_A02	G069	0.004194
P_A02	G070	0.000322
P_A02	G071	0.040302
P_A02	G072	0.088575
P_A02	G073	0.029366
P_A02	G074	0.000559
P_A02	G075	0.000000
P_A02	G076	0.001700
P_A02	G077	0.003072
P_A02	G078	0.000000
P_A02	G079	0.000479
P_A03	G000	0.000003
P_A03	G001	0.028392
P_A03	G002	0.000000
P_A03	G003	0.195801
P_A03	G004	0.082507
P_A03	G005	0.011786
P_A03	G006	0.001182
P_A03	G007	0.002084
P_A03	G008	0.000427
P_A03	G009	0.003839
P_A03	G010	0.067368
P_A03	G011	0.021321
P_A03	G012	0.004298
P_A03	G013	0.000493
P_A03	G014	0.001851
P_A03	G015	0.006831
P_A03	G016	0.000001
P_A03	G017	0.005697
P_A03	G018	0.055047
P_A03	G019	0.003470
P_A03	G020	0.000000
P_A03	G021	0.000372
P_A03	G022	0.021424
P_A03	G023	0.000378
P_A03	G024	0.006714
P_A03	G025	0.008794
P_A03	G026	0.000000
P_A03	G027	0.039015
