sample_id	G001	G002	G003	G004	G005	G006	G007	G008	G009	G010	G011	G012	G013	G014	G015	G016	G017	G018	G019	G020
S000	0.022851	-0.033853	-0.060685	-0.070276	-0.124372	0.097568	-0.119495	-0.138319	0.131523	-0.130311	-5.289022	-5.329540	-4.993502	-5.003993	-4.870168	-4.321512	-4.416286	-4.076436	-4.136023	-4.129715
S001	-2.074303	-1.723003	-1.745182	-1.739921	-1.621887	-1.542646	-1.643823	-1.748417	-1.638932	-1.229613	-2.776927	-2.869277	-2.560178	-2.529709	-2.373770	-2.498485	-2.307499	-2.385601	-2.311196	-2.026425
S002	-13.315528	-13.296713	-12.733731	-12.389916	-12.103387	-11.670098	-11.107110	-10.712636	-10.222637	-9.748466	1.463870	1.321901	1.333115	1.236448	1.213987	1.140537	1.199602	0.811555	0.858861	1.044554
S003	-3.247748	-3.436790	-3.094151	-3.156635	-3.227492	-2.946638	-2.629067	-2.837566	-2.723806	-2.721613	-0.927754	-0.953590	-0.753812	-0.810761	-0.834077	-0.876541	-0.758931	-0.611076	-0.891965	-0.652216
S004	-0.000509	0.316577	0.082144	0.375380	0.223718	0.188379	0.085024	0.075935	0.318336	0.211495	0.059884	-0.155759	0.060623	0.007806	-0.149646	-0.307612	-0.169176	-0.271261	0.069316	-0.035549
S005	0.200376	-0.168268	-0.017035	0.000189	-0.041034	0.006564	0.123590	-0.166220	-0.145489	0.052752	0.383536	0.446375	0.352138	0.221593	0.327015	0.341432	0.276848	0.170525	0.180549	0.195492
S006	3.197409	3.021860	2.978350	3.128644	2.973921	2.756021	2.660403	2.859214	2.483148	2.425707	0.285518	0.196465	-0.098435	0.190537	0.140971	-0.254246	0.176358	-0.172284	0.106041	-0.135138
S007	-1.757223	-1.701801	-1.474634	-1.374058	-1.504386	-1.425013	-1.100649	-1.237047	-1.177937	-1.034680	-30.416919	-29.461923	-28.652243	-27.646790	-26.685727	-25.801441	-25.107270	-23.927684	-23.020275	-22.122524
S008	-3.140191	-3.187397	-3.064950	-2.873389	-2.611364	-2.917617	-2.536047	-2.340476	-2.221490	-2.122623	-0.121816	0.151151	-0.080640	-0.118498	0.071578	0.083257	0.117984	-0.151446	0.065521	-0.137563
S009	0.102552	0.095085	-0.079770	-0.116012	0.128250	-0.160799	0.225099	0.155366	0.111629	-0.072819	4.889162	5.039635	4.514650	4.534474	4.589829	3.990689	4.193901	4.036877	3.587611	3.821313
S010	0.087931	0.144645	0.037332	0.158015	0.098467	-0.074806	0.006299	0.099095	0.011911	-0.056350	2.681951	2.878993	2.439001	2.581893	2.440910	2.499415	2.441543	2.162693	2.175643	2.014024
S011	0.167277	-0.117502	-0.098512	0.117701	0.138962	0.091280	0.143467	-0.101138	0.080167	0.151164	1.207716	1.197439	1.372425	1.311902	1.092343	0.968797	1.006904	0.919426	0.861134	1.200762
S012	0.709000	0.386013	0.425221	0.722645	0.628538	0.265077	0.454668	0.307868	0.260755	0.513005	-1.955656	-1.803753	-1.881946	-1.500250	-1.612835	-1.725337	-1.649606	-1.354047	-1.483809	-1.465030
S013	0.967587	0.729415	0.617886	1.024927	0.742397	0.641160	0.589651	0.612481	0.856724	0.518810	4.141240	3.899086	4.092934	3.879591	3.499627	3.506973	3.728240	3.504434	3.080582	3.104332
S014	-0.173223	-0.298150	-0.380922	-0.115785	-0.291737	-0.272544	-0.077130	-0.365335	0.049313	-0.065973	-3.245657	-3.117725	-2.853478	-2.970043	-2.975063	-2.669724	-2.836848	-2.666511	-2.591808	-2.600073
S015	1.009789	1.016135	1.069785	1.020847	1.128876	0.956547	1.072899	0.678627	0.735975	0.709300	-0.957877	-1.074300	-0.725835	-0.741724	-0.923926	-0.947028	-0.971210	-0.841104	-0.614282	-0.681178
S016	-0.042554	-0.189840	0.081543	-0.036796	0.159359	-0.144508	0.189568	-0.013802	-0.291453	-0.282632	-0.120242	-0.138860	0.194297	0.063491	0.108578	-0.213716	0.100415	0.050992	-0.030205	-0.157087
S017	-5.526418	-5.431695	-5.533118	-5.164045	-5.064974	-5.156929	-4.571747	-4.406918	-4.537122	-4.339147	-0.101836	-0.278507	-0.256981	0.134943	0.015328	-0.175895	-0.174770	-0.269992	-0.244532	-0.258324
S018	-0.482226	-0.467599	-0.609760	-0.480104	-0.220072	-0.420301	-0.328369	-0.339748	-0.237584	-0.512460	-4.139348	-3.563097	-3.849209	-3.640749	-3.393888	-3.229326	-3.315526	-3.178196	-3.187064	-2.780407
S019	-2.404309	-2.076405	-1.993164	-1.958571	-2.196577	-2.097047	-1.913983	-1.715809	-1.517747	-1.844830	-4.688685	-4.470770	-4.314169	-4.466447	-3.984382	-3.893146	-3.789126	-3.829171	-3.812650	-3.394967
