archetype_id	protein	loading
P_A01	G001	1.000000
P_A01	G002	0.970000
P_A01	G003	0.940000
P_A01	G004	0.910000
P_A01	G005	0.880000
P_A01	G006	0.850000
P_A01	G007	0.820000
P_A01	G008	0.790000
P_A01	G009	0.760000
P_A01	G010	0.730000
P_A01	G011	0.000000
P_A01	G012	0.000000
P_A01	G013	0.000000
P_A01	G014	0.000000
P_A01	G015	0.000000
P_A01	G016	0.000000
P_A01	G017	0.000000
P_A01	G018	0.000000
P_A01	G019	0.000000
P_A01	G020	0.000000
P_A02	G001	0.000000
P_A02	G002	0.000000
P_A02	G003	0.000000
P_A02	G004	0.000000
P_A02	G005	0.000000
P_A02	G006	0.000000
P_A02	G007	0.000000
P_A02	G008	0.000000
P_A02	G009	0.000000
P_A02	G010	0.000000
P_A02	G011	1.000000
P_A02	G012	0.970000
P_A02	G013	0.940000
P_A02	G014	0.910000
P_A02	G015	0.880000
P_A02	G016	0.850000
P_A02	G017	0.820000
P_A02	G018	0.790000
P_A02	G019	0.760000
P_A02	G020	0.730000
