subject_id	module	n_genes	pt1_pr1	pt2_pr2	pt2_pt1	pr2_pr1
001B	ecm_remodel	1	0.2482	0.3849	0.1992	0.0625
001B	heat_shock	3	0.6318666666666667	0.9664666666666667	0.11136666666666667	-0.2232333333333333
001B	immune	1	0.1904	5.0433	5.1344	0.2815
001B	vascular	2	-4.6509	-1.69665	4.8419	1.88765
007	ecm_remodel	1	-0.112	0.0375	0.1181	-0.0314
007	heat_shock	3	0.2721333333333333	-0.15696666666666667	-0.26693333333333336	0.16216666666666665
007	immune	1	-0.4095	-0.4624	1.6904	1.7433
007	vascular	2	-0.2161	-0.2922	2.2398	2.3159
008	ecm_remodel	1	0.297	0.2087	-0.0388	0.0495
008	heat_shock	3	1.1753333333333333	-0.3995333333333333	-0.47733333333333333	1.0975333333333335
008	immune	1	-5.4607	-1.4486	5.2284	1.2163
008	vascular	2	3.4642999999999997	-2.3445	-1.90465	3.90415
009	ecm_remodel	1	-0.0092	0.001	-0.0647	-0.0749
009	heat_shock	3	1.283	0.6114666666666667	0.9879333333333333	1.6594666666666669
009	immune	1	4.121	2.1837	1.9182	3.8555
009	vascular	2	0.9239	2.26835	-0.31204999999999994	-1.6564999999999999
011	ecm_remodel	1	0.1826	0.0498	-0.2683	-0.1355
011	heat_shock	3	-0.23463333333333333	1.0449666666666666	0.4326666666666667	-0.8469333333333333
011	immune	1	-5.5865	-0.1189	0.0896	-5.378
011	vascular	2	3.18215	-2.62485	-3.2357	2.5713
014	ecm_remodel	1	-0.041	0.0188	-0.0041	-0.0639
014	heat_shock	3	1.6074333333333335	1.4664000000000001	-0.3912333333333334	-0.2502
014	immune	1	5.6957	-4.8379	-5.7841	4.7495
014	vascular	2	-0.38794999999999996	-0.2672	-0.1086	-0.22935
015	ecm_remodel	1	-0.0405	0.0076	0.1747	0.1266
015	heat_shock	3	-0.27846666666666664	-0.48206666666666664	-0.7042666666666667	-0.5006666666666667
015	immune	1	4.571	-1.3529	-4.5904	1.3335
015	vascular	2	-0.8039	1.6796	-0.8032	-3.2866999999999997
016	ecm_remodel	1	0.0307	0.3391	0.1115	-0.1969
016	heat_shock	3	-1.343	1.2550000000000001	-0.08416666666666667	-2.682166666666667
016	immune	1	-0.169	-4.541	-0.0543	4.3177
016	vascular	2	0.4509	-0.11755	0.26125	0.8297
018	ecm_remodel	1	-0.0119	-0.2889	-0.1441	0.1329
018	heat_shock	3	0.5409	2.833133333333333	1.2400666666666667	-1.0521666666666667
018	immune	1	3.3157	4.2619	-3.7458	-4.692
018	vascular	2	-2.84755	-0.73495	1.78825	-0.32435
019	ecm_remodel	1	0.2668	0.2187	-0.2526	-0.2045
019	heat_shock	3	0.7301000000000001	1.8729666666666667	0.676	-0.4668666666666667
019	immune	1	-8.1871	-2.0362	4.1146	-2.0363
019	vascular	2	-0.07899999999999996	-2.1999500000000003	-2.31605	-0.19510000000000005
