panel	gene_symbol	n_pt1_pr1	sd_pt1_pr1	n_pt2_pr2	sd_pt2_pr2	mean_sd_acute
Inflammation_II	ITGAL	10	4.82163	10	3.32668	4.07415
Inflammation_II	DAND5	10	2.95263	10	5.01412	3.98338
Oncology_II	COL4A4	10	4.6074	10	1.92202	3.26471
Cardiometabolic	GH1	10	3.27323	10	2.9969	3.13507
Oncology	MUC16	10	3.46717	10	2.67469	3.07093
Cardiometabolic	NPPB	10	2.81133	10	3.24724	3.02928
Neurology_II	AGBL2	10	5.45516	10	0.468608	2.96188
Neurology_II	UPK3A	10	3.0289	10	2.55896	2.79393
Neurology_II	SAG	10	2.66282	10	2.8526	2.75771
Cardiometabolic	VIM	10	2.06429	10	2.93465	2.49947
Oncology_II	KIAA1549	10	2.08684	10	2.89718	2.49201
Oncology_II	BTLA	10	3.58108	10	1.38071	2.48089
Inflammation	IL5	10	3.74894	10	1.12962	2.43928
Neurology_II	DNLZ	10	2.08478	10	2.60604	2.34541
Inflammation	IL4	10	2.47561	10	2.17585	2.32573
Inflammation	SLAMF1	10	2.30971	10	2.25193	2.28082
Oncology	FOXO3	10	2.42358	10	2.05282	2.2382
Oncology_II	ANKRA2	10	1.07124	10	3.40169	2.23646
Neurology	WASF3	10	3.49956	10	0.954841	2.2272
Oncology_II	TMOD4	10	1.16072	10	3.2259	2.19331
Oncology_II	IL3	10	1.09473	10	3.11682	2.10577
Neurology	CASP10	10	2.74365	10	1.30517	2.02441
Inflammation	CLIP2	10	1.43561	10	2.57719	2.0064
Inflammation	DECR1	10	1.53969	10	2.45117	1.99543
Oncology_II	YARS1	10	1.80801	10	2.17072	1.98936
Cardiometabolic	TNNI3	10	2.35277	10	1.52327	1.93802
Inflammation	MAP2K6	10	1.46524	10	2.37628	1.92076
Inflammation	MGMT	10	1.37816	10	2.39892	1.88854
Cardiometabolic_II	KIF22	10	2.52053	10	1.17364	1.84709
Neurology_II	PSMD1	10	1.90525	10	1.75413	1.82969
Inflammation	TRAF2	10	1.3864	10	2.24065	1.81353
Oncology_II	MAGEA3	10	2.23583	10	1.28469	1.76026
Inflammation	IFNG	10	1.435	10	2.0688	1.7519
Inflammation	BANK1	10	1.24226	10	2.21621	1.72923
Neurology	PMVK	10	1.45661	10	1.96719	1.7119
Neurology	SMARCA2	10	1.78703	10	1.59528	1.69115
Inflammation	TBC1D5	10	1.18951	10	2.16882	1.67916
Inflammation_II	SNCA	10	2.20022	10	1.13985	1.67003
Inflammation_II	APPL2	10	1.78566	10	1.55379	1.66972
Oncology_II	ITGAX	10	0.948291	10	2.38841	1.66835
Inflammation	ARHGEF12	10	1.25824	10	2.07382	1.66603
Neurology_II	RRP15	10	1.81764	10	1.50377	1.66071
Inflammation	NT5C3A	10	1.24835	10	2.06788	1.65812
Oncology	MAP3K5	10	1.22281	10	2.05389	1.63835
Cardiometabolic_II	RBPMS2	10	1.87532	10	1.36614	1.62073
Neurology_II	DOK1	10	1.3736	10	1.86104	1.61732
Cardiometabolic	FBP1	10	1.20873	10	2.02539	1.61706
Cardiometabolic	SERPINB5	10	0.821024	10	2.38654	1.60378
Inflammation_II	PRKG1	10	1.70224	10	1.4835	1.59287
Oncology_II	COL24A1	10	1.16477	10	1.99272	1.57874
Oncology	DEFB4A_DEFB4B	10	1.25055	10	1.85173	1.55114
Inflammation	EIF4G1	10	1.23579	10	1.86364	1.54972
Oncology_II	ATP1B4	10	1.75975	10	1.33511	1.54743
Inflammation	PLXNA4	10	1.27162	10	1.81203	1.54183
Inflammation	NCF2	10	1.18114	10	1.8888	1.53497
Inflammation_II	APOA2	10	0.732483	10	2.31328	1.52288
Neurology	SULT1A1	10	1.23643	10	1.78007	1.50825
Inflammation	IL1A	10	2.44074	10	0.562344	1.50154
Cardiometabolic_II	MYH9	10	1.40186	10	1.59067	1.49626
Inflammation	WAS	10	1.46155	10	1.51184	1.48669
Oncology_II	STOML2	10	1.52298	10	1.44734	1.48516
Oncology	LAT2	10	1.03246	10	1.93283	1.48264
Neurology_II	CAMSAP1	10	1.05261	10	1.90583	1.47922
Neurology	PFDN2	10	1.80701	10	1.14726	1.47714
Neurology_II	MINK1	10	1.12923	10	1.80214	1.46568
Oncology	YES1	10	1.02219	10	1.90482	1.46351
Neurology	TBCB	10	1.39968	10	1.52527	1.46248
Cardiometabolic_II	PACS2	10	1.81408	10	1.0989	1.45649
Inflammation	MANF	10	1.50037	10	1.40812	1.45425
Neurology_II	PHACTR2	10	1.09755	10	1.79828	1.44791
Neurology_II	PLCB2	10	1.16392	10	1.73057	1.44725
Inflammation	BID	10	1.62098	10	1.27154	1.44626
Cardiometabolic_II	CRYZL1	10	1.46876	10	1.40509	1.43692
Inflammation	OSM	10	0.898348	10	1.97414	1.43625
Neurology	RAB6B	10	1.54559	10	1.32691	1.43625
