comparison	panel	gene_symbol	paired_t_mean_diff	paired_t_bh_q	lmm_beta	lmm_p_value	lmm_converged	n_pairs	sign_concordant
PT1-PR1	Neurology	CALCA	0.7087111111111111	0.000955154033122	0.7087111111111115	1.8284364132339588e-59	True	9	True
PT1-PR1	Neurology_II	FGFBP3	0.43273	0.0011507739646821	0.43272999999999984	1.5670929106973227e-36	True	10	True
PT1-PR1	Inflammation	ANGPTL4	0.56794	0.0056403393363249	0.5679399999999999	7.367708290050539e-23	True	10	True
PT1-PR1	Inflammation	CRIM1	0.3629699999999999	0.0056403393363249	0.36297000000000007	7.227505700622987e-22	True	10	True
PT1-PR1	Neurology	MYOC	-0.79078	0.0068221415408626	-0.7907800000000001	4.0271554784517963e-19	True	10	True
PT1-PR1	Neurology	OBP2B	0.7474222222222223	0.0068221415408626	0.7474222222222222	3.338430697417814e-23	True	9	True
PT1-PR1	Neurology	TIMP4	0.4735699999999999	0.0088005815590139	0.47357000000000005	2.065743707669214e-17	True	10	True
PT1-PR1	Inflammation	CXCL17	0.4407	0.0089095424930258	0.4406999999999999	7.658958907992866e-17	True	10	True
PT1-PR1	Neurology	PRL	2.03595	0.0089626180442637	2.0359500000000006	2.2538372357113777e-16	True	10	True
PT1-PR1	Neurology	MMP3	-0.4098499999999999	0.0107474956163422	-0.4098500000000001	2.4718026758660623e-15	True	10	True
PT1-PR1	Neurology_II	PRND	0.1714	0.0123302683531032	0.17139999999999997	1.5562722141043967e-14	True	10	True
PT1-PR1	Inflammation	CCL13	0.47925	0.0215862438631924	0.47924999999999995	2.349700254434173e-12	True	10	True
PT1-PR1	Inflammation	ESM1	0.26952	0.0215862438631924	0.26952000000000004	2.704551765231874e-12	True	10	True
PT1-PR1	Oncology	MZT1	0.4909199999999999	0.0229895801320342	0.4909199999999999	1.0120523734936602e-11	True	10	True
PT1-PR1	Inflammation	MATN2	0.3214499999999999	0.0229895801320342	0.32144999999999996	6.884263328526114e-12	True	10	True
PT1-PR1	Neurology_II	RBM17	0.64093	0.0238712526418352	0.6409299999999998	1.9062867123303385e-11	True	10	True
PT1-PR1	Cardiometabolic	CST6	0.27103	0.0285342049531156	0.27102999999999994	7.958017214603771e-11	True	10	True
PT1-PR1	Cardiometabolic_II	EDN1	0.7370222222222221	0.0310738527794384	0.7370222222222222	6.044705338429353e-12	True	9	True
PT1-PR1	Oncology	HS6ST1	0.5679399999999999	0.0310738527794384	0.5679399999999997	2.4335896601132923e-10	True	10	True
PT1-PR1	Inflammation_II	CELSR2	0.1956625	0.0349873708489709	0.19566250000000002	2.108494379759539e-13	True	8	True
PT1-PR1	Oncology	ITGB5	0.4542	0.035099753414927	0.45420000000000005	4.267404750899093e-09	True	10	True
PT1-PR1	Cardiometabolic	TNC	0.37021	0.035099753414927	0.37021	3.7062308237720324e-09	True	10	True
PT1-PR1	Oncology	SMOC1	0.3354199999999999	0.035099753414927	0.33542	1.4772117361860377e-09	True	10	True
PT1-PR1	Oncology	KLK10	0.32477	0.035099753414927	0.32476999999999995	2.1304996598510618e-09	True	10	True
PT1-PR1	Inflammation	LAMA4	0.29139	0.035099753414927	0.29139000000000004	1.8066176394526514e-09	True	10	True
PT1-PR1	Oncology_II	PTPRH	0.28773	0.035099753414927	0.28773	3.8856823580094125e-09	True	10	True
PT1-PR1	Neurology	FRZB	0.2558555555555555	0.035099753414927	0.2558555555555555	1.0129506441694906e-10	True	9	True
PT1-PR1	Cardiometabolic	GDF15	0.24853	0.035099753414927	0.24852999999999986	1.7335937342543395e-09	True	10	True
PT1-PR1	Neurology	CTRB1	-0.1770399999999999	0.035099753414927	-0.17704	3.118162166621616e-09	True	10	True
PT1-PR1	Neurology	SUMF2	0.5166700000000001	0.037648076802668	0.5166700000000001	8.3237693749784e-09	True	10	True
PT1-PR1	Neurology	CXCL13	0.38083	0.037648076802668	0.3808299999999999	8.28736516405817e-09	True	10	True
PT1-PR1	Inflammation	FST	0.4465199999999999	0.0401230809167669	0.44651999999999986	1.3105848616507436e-08	True	10	True
PT1-PR1	Neurology	SPOCK1	0.3217999999999999	0.0487169200697867	0.32180000000000003	6.2004826870196354e-09	True	9	True
PT1-PR1	Inflammation	FLT3LG	-0.25764	0.0487169200697867	-0.25764000000000004	4.286208712513703e-08	True	10	True
PT1-PR1	Inflammation	AGER	0.21736	0.0487169200697867	0.21735999999999991	4.803893840817643e-08	True	10	True
PT1-PR1	Inflammation	SCGB3A2	0.15627	0.0487169200697867	0.1562699999999999	5.428337851052815e-08	True	10	True
PT1-PR1	Oncology	AREG	0.1945899999999999	0.0516763031275964	0.19459000000000004	7.915573328155458e-08	True	10	True
PT1-PR1	Neurology	CD8A	0.25347	0.0535158991647083	0.25347000000000003	1.0534479300517368e-07	True	10	True
PT1-PR1	Cardiometabolic	SPP1	0.22632	0.0535158991647083	0.22632000000000005	1.1522385837511819e-07	True	10	True
PT1-PR1	Neurology_II	STXBP1	0.7979499999999999	0.0551925300360938	0.7979499999999998	1.4592461594975913e-07	True	10	True
PT1-PR1	Oncology_II	SLC9A3R2	-0.4782400000000001	0.0685277440295063	-0.4782399999999999	3.909505097844122e-07	True	10	True
PT1-PR1	Inflammation	TNFSF11	-0.6617375	0.0691090095167981	-0.6617375	9.083564159376438e-09	True	8	True
PT1-PR1	Cardiometabolic	PLAT	0.4551599999999999	0.0691090095167981	0.45516000000000006	4.5502905614973037e-07	True	10	True
PT1-PR1	Inflammation	TNFSF13	0.16219	0.0691090095167981	0.16219000000000003	5.098115535639193e-07	True	10	True
PT1-PR1	Neurology_II	HEPACAM2	0.2055499999999999	0.0713602049943572	0.20554999999999995	6.606277799349984e-07	True	10	True
PT1-PR1	Cardiometabolic	MB	-0.39685	0.0753231450323703	-0.3968499999999999	8.842635019322892e-07	True	10	True
PT1-PR1	Neurology_II	CALCB	0.42955	0.0756662599308527	0.42954999999999993	9.761771480495766e-07	True	10	True
PT1-PR1	Cardiometabolic_II	AHNAK2	-0.3166666666666666	0.0812516746221067	-0.3166666666666666	3.4082006898459945e-07	True	9	True
PT1-PR1	Neurology	SPINK5	-0.15252	0.0812516746221067	-0.15252000000000002	1.4890891451240253e-06	True	10	True
