module	gene_symbol
module_01	AAMDC
module_01	AARSD1
module_01	ABHD14B
module_01	ABL1
module_01	ABO
module_01	ACADSB
module_01	ACOT13
module_01	ACP6
module_01	ACYP1
module_01	ADAMTSL5
module_01	ADD1
module_01	AFAP1
module_01	AHCY
module_01	AIFM1
module_01	AK2
module_01	AKR1B1
module_01	AKT1S1
module_01	AKT2
module_01	ALDH5A1
module_01	AMOTL2
module_01	ANKMY2
module_01	ANKRD54
module_01	ANXA11
module_01	ANXA2
module_01	ANXA3
module_01	ANXA4
module_01	AP1G2
module_01	AP2B1
module_01	AP3B1
module_01	AP3S2
module_01	APPL2
module_01	APRT
module_01	AREG
module_01	ARF6
module_01	ARHGAP45
module_01	ARHGEF1
module_01	ARHGEF10
module_01	ARL13B
module_01	ARL2BP
module_01	ASPN
module_01	ASPSCR1
module_01	ASRGL1
module_01	ATG16L1
module_01	ATG4A
module_01	ATOX1
module_01	ATP5IF1
module_01	ATP6V1G1
module_01	ATXN3
module_01	AZI2
module_01	BECN1
module_01	BID
module_01	BIN2
module_01	BIRC2
module_01	BLMH
module_01	BLOC1S3
module_01	BNIP2
module_01	BNIP3L
module_01	BOLA2_BOLA2B
module_01	BRAP
module_01	CA13
module_01	CA2
module_01	CACNB3
module_01	CACYBP
module_01	CALCOCO1
module_01	CALCOCO2
module_01	CAMLG
module_01	CAMSAP1
module_01	CASP3
module_01	CASP7
module_01	CASP8
module_01	CAT
module_01	CC2D1A
module_01	CCL5
module_01	CCS
module_01	CD274
module_01	CD2AP
module_01	CD40
module_01	CD69
module_01	CD80
module_01	CDC26
module_01	CDC27
module_01	CDC37
module_01	CDC42BPB
module_01	CDKN1A
module_01	CDKN2D
module_01	CEACAM20
module_01	CEACAM8
module_01	CENPJ
module_01	CEP170
module_01	CEP20
module_01	CEP85
module_01	CERT
module_01	CETN2
module_01	CETN3
module_01	CHAC2
module_01	CHGA
module_01	CHMP1A
module_01	CHMP6
module_01	CHRDL1
module_01	CIAPIN1
module_01	CILP
module_01	CIRBP
module_01	CLEC1B
module_01	CLPP
module_01	CMC1
module_01	CMIP
module_01	CNP
module_01	CNPY4
module_01	CNST
module_01	COMMD1
module_01	CORO1A
module_01	COX5B
module_01	CPPED1
module_01	CPXM2
module_01	CRACR2A
module_01	CRADD
module_01	CRELD2
module_01	CRKL
module_01	CRYBB1
module_01	CRYGD
module_01	CRYZL1
module_01	CSDE1
module_01	CSF1R
module_01	CSTB
module_01	CXCL17
module_01	CXCL3
module_01	CXCL5
module_01	DAAM1
module_01	DAB2
module_01	DAG1
module_01	DARS1
module_01	DBI
module_01	DBN1
module_01	DBNL
module_01	DCTD
module_01	DCTN1
module_01	DCTN2
module_01	DDHD2
module_01	DDX58
module_01	DENR
module_01	DFFA
module_01	DGKA
module_01	DIABLO
module_01	DLG4
module_01	DMD
module_01	DNAJA2
module_01	DNAJB1
module_01	DNAJB14
module_01	DNAJB2
module_01	DNAJB6
module_01	DNAJB8
module_01	DNAJC6
module_01	DNAJC9
module_01	DNM1
module_01	DNM3
module_01	DNMBP
module_01	DNPH1
module_01	DOK1
module_01	DOK2
module_01	DPY30
module_01	DRAXIN
module_01	DRG2
module_01	DTD1
module_01	DTYMK
module_01	DUT
module_01	DXO
module_01	EBAG9
module_01	ECHS1
module_01	ECM1
module_01	EEF1D
module_01	EFNB2
module_01	EGF
module_01	EHBP1
module_01	EHD3
module_01	EIF2AK2
module_01	EIF2AK3
module_01	EIF2S2
module_01	EIF4B
module_01	EIF4E
module_01	EIF4G1
module_01	EIF4G3
module_01	ELAC1
module_01	ENO1
module_01	ENO2
module_01	ENOX2
module_01	ENPEP
module_01	ENTR1
module_01	EPPK1
module_01	ERBIN
module_01	ERN1
module_01	ERP29
module_01	ESYT2
module_01	EVI5
module_01	F11R
module_01	F2R
module_01	F9
module_01	FABP5
module_01	FADD
module_01	FAM13A
module_01	FAM172A
module_01	FARSA
module_01	FGA
module_01	FGL1
module_01	FGR
module_01	FHIT
module_01	FIS1
module_01	FKBP14
module_01	FKBP1B
module_01	FKBP4
module_01	FKBP5
module_01	FKBPL
module_01	FRMD4B
module_01	FRZB
module_01	FXN
module_01	FYB1
module_01	GADD45GIP1
module_01	GAPDH
module_01	GATD3
module_01	GBP4
module_01	GCC1
module_01	GFER
module_01	GFOD2
module_01	GGACT
module_01	GGCT
module_01	GIGYF2
module_01	GIP
module_01	GIPC3
module_01	GIT1
module_01	GLOD4
module_01	GLRX5
module_01	GMFG
module_01	GMPR
module_01	GMPR2
module_01	GNPDA2
module_01	GORASP2
module_01	GP6
module_01	GRAP2
module_01	GRHPR
module_01	GRPEL1
module_01	GRSF1
module_01	GSR
module_01	GSTT2B
module_01	GTPBP2
module_01	GZMB
module_01	HARS1
module_01	HCLS1
module_01	HDGFL2
module_01	HHEX
module_01	HLA-E
module_01	HMGCL
module_01	HMOX2
module_01	HPCAL1
module_01	HPSE
module_01	HS1BP3
module_01	HSPA1A
module_01	HSPB1
module_01	HTRA2
module_01	IGFBP7
module_01	IGHMBP2
module_01	IL18
module_01	IL20RA
module_01	IL33
module_01	ILKAP
module_01	IMPA1
module_01	IMPACT
module_01	INPPL1
module_01	IQGAP2
module_01	IRAK1
module_01	IST1
module_01	ITGA5
module_01	ITGB5
module_01	ITPA
module_01	JCHAIN
module_01	JPT2
module_01	KAZN
module_01	KIF1C
module_01	KIFBP
module_01	KLK10
module_01	KYAT1
module_01	L3HYPDH
module_01	LACTB2
module_01	LARP1
module_01	LAT
module_01	LAT2
module_01	LBR
module_01	LDLRAP1
module_01	LGALS8
module_01	LHPP
module_01	LILRB4
module_01	LONP1
module_01	LRRC38
module_01	LRRC59
module_01	LRRFIP1
module_01	LYN
module_01	LZTFL1
module_01	MAEA
module_01	MANF
module_01	MAP1LC3B2
module_01	MAP2K1
module_01	MAP3K5
module_01	MAP4K5
module_01	MAPK9
module_01	MAPKAPK2
module_01	MARS1
module_01	MAVS
module_01	MAX
module_01	MDH1
module_01	MDK
module_01	MECR
module_01	MED18
module_01	MESD
module_01	METAP2
module_01	MFAP3
module_01	MGLL
module_01	MICALL2
module_01	MIF
module_01	MILR1
module_01	MINDY1
module_01	MINK1
module_01	MITD1
module_01	MMUT
module_01	MOCS2
module_01	MPI
module_01	MPIG6B
module_01	MRI1
module_01	MRPL46
module_01	MSRA
module_01	MTDH
module_01	MTHFD2
module_01	MTHFSD
module_01	MTIF3
module_01	MTSS1
module_01	MTSS2
module_01	MVK
module_01	MYCBP2
module_01	MYH9
module_01	MYO6
module_01	MYO9B
module_01	MZT1
module_01	NAA10
module_01	NAA80
module_01	NAGK
module_01	NAP1L4
module_01	NARS1
module_01	NCK2
module_01	NDUFA5
module_01	NDUFB7
module_01	NDUFS6
module_01	NEXN
module_01	NFAT5
module_01	NFE2
module_01	NFU1
module_01	NFX1
module_01	NIT1
module_01	NIT2
module_01	NMI
module_01	NPL
module_01	NRGN
module_01	NSFL1C
module_01	NT5C
module_01	NUBP1
module_01	NUCB2
module_01	NUDC
module_01	NUDT16
module_01	NUDT5
module_01	NUMB
module_01	OCLN
module_01	OGA
module_01	OGFR
module_01	OGT
module_01	OPHN1
module_01	OPLAH
module_01	OTUD6B
module_01	OTUD7B
module_01	OXCT1
module_01	P4HB
module_01	PAG1
module_01	PARK7
module_01	PAXX
module_01	PBLD
module_01	PCBP2
module_01	PCDH12
module_01	PCYT2
module_01	PDAP1
module_01	PDCD5
module_01	PDCD6
module_01	PDE5A
module_01	PDGFB
module_01	PDIA4
module_01	PDLIM5
module_01	PDLIM7
module_01	PDZD2
module_01	PEAR1
module_01	PEBP1
module_01	PECAM1
module_01	PFKFB2
module_01	PGD
module_01	PHACTR2
module_01	PHLDB1
module_01	PIBF1
module_01	PIKFYVE
module_01	PKD2
module_01	PKN3
