module	n_genes	mean_abs_within_r
module_01	601	0.5721345644272116
module_02	378	0.2986618214120617
module_03	297	0.3863316926132868
module_04	184	0.19028896817536853
module_05	165	0.19472447581244703
module_06	144	0.3766871536074438
module_07	141	0.18467532317991944
module_08	121	0.2159736713844085
module_09	117	0.1709960781166009
module_10	107	0.2645386093292447
module_11	104	0.21048662318876246
module_12	91	0.25744073732097245
module_13	82	0.19068133601350626
module_14	79	0.18220463646072785
module_15	72	0.2151241339578457
module_16	63	0.20125434257594663
module_17	51	0.25618503874200915
module_18	46	0.2293036331362405
module_19	42	0.2124154052739849
module_20	35	0.21850280504369568
