metric	phenotype	n	r	p_value	bh_q
PC1	d1_dSSNA	10	-0.7250184449956738	0.01766887096881652	0.5654038710021286
PC1	d7_dSSNA	8	-0.7292250119755008	0.0400988750129906	0.6415820002078496
PC1	acc_dLSR	8	-0.5903823711994722	0.12335961653462454	0.8495621745150002
PC1	acc_dSBP	8	-0.5485553940554174	0.1591663561801216	0.8495621745150002
PC1	d1_dLSR	10	-0.42790490250882746	0.21734126963152056	0.8495621745150002
PC1	d1_dHR	10	-0.4196990329268001	0.2272526842339328	0.8495621745150002
PC1	d7_dMAP	8	-0.4793449611513532	0.2294128876082946	0.8495621745150002
PC1	acc_dMAP	8	-0.4366887747089023	0.2793475111973263	0.8495621745150002
PC1	d1_dMAP	10	-0.35476800750338294	0.31446455519901656	0.8495621745150002
PC1	d7_dTskin	8	0.3905534076793959	0.33876972776253667	0.8495621745150002
PC1	d1_dDBP	10	-0.31908267878516516	0.3688359471011731	0.8495621745150002
PC1	d7_dDBP	8	-0.3664910736892585	0.3718817118873825	0.8495621745150002
PC1	d1_dSBP	10	-0.3030501707892783	0.39467865439064087	0.8495621745150002
PC1	d1_dTskin	10	0.3013145275822512	0.39752737307102	0.8495621745150002
PC1	d7_dSBP	8	-0.3441454213587754	0.4038661132010972	0.8495621745150002
PC1	d7_dLSR	8	-0.32994800621880893	0.4247810872575001	0.8495621745150002
PC1	d7_dLDF	8	-0.273248101892181	0.5125909957547865	0.8538962322148828
PC1	d1_dTbody	10	0.22056146088701956	0.5403159392932078	0.8538962322148828
PC1	d1_dLDF	10	-0.19996764458580718	0.5796466206406528	0.8538962322148828
PC1	acc_dTcore	8	-0.21092446652214464	0.616089878253909	0.8538962322148828
PC1	acc_dTskin	8	0.1954456331474414	0.6427647762713289	0.8538962322148828
PC1	acc_dHR	8	-0.18772848422857769	0.6561915629592179	0.8538962322148828
PC1	d1_dCVC	10	-0.1593918961423883	0.6600542402530644	0.8538962322148828
PC1	acc_dCVC	8	0.18469090049548625	0.6614989022325914	0.8538962322148828
PC1	d7_dHR	8	0.1814891535632175	0.6671064314178772	0.8538962322148828
PC1	acc_dLDF	8	0.15576721992628736	0.7126263824403843	0.8770786245420115
PC1	d7_dCVC	8	-0.1238506888534221	0.7701437119165473	0.8804369310859184
PC1	acc_dTbody	8	-0.12371944274941543	0.7703823147001786	0.8804369310859184
PC1	d7_dTcore	8	-0.09866518137881747	0.8161998880818849	0.9006343592627696
PC1	d1_dTcore	10	0.0522658262333755	0.885980314785118	0.9412389093619702
PC1	d7_dTbody	8	0.03756853394037829	0.929625250836706	0.9412389093619702
PC1	acc_dDBP	8	0.03135980253895093	0.9412389093619702	0.9412389093619702
PC1	acc_dSSNA	8			
PC2	acc_dTbody	8	-0.8534809019098784	0.007024817601684281	0.224794163253897
PC2	acc_dHR	8	-0.771824841887139	0.024848693042937048	0.39757908868699277
PC2	acc_dLSR	8	-0.6706688841689221	0.06869377606523386	0.5955350872027368
PC2	acc_dTcore	8	-0.6466349273551708	0.0831405654671016	0.5955350872027368
PC2	d1_dLSR	10	-0.5393202090519867	0.10765069278718807	0.5955350872027368
PC2	d1_dMAP	10	0.5246025272392072	0.11951916985231381	0.5955350872027368
PC2	d1_dSBP	10	0.5053043751244168	0.1362699990833172	0.5955350872027368
PC2	d7_dTcore	8	0.5551553287829911	0.1531811482647631	0.5955350872027368
