metric	phenotype	n	r	p_value	bh_q
PC1	acc_dLSR	8	0.8802495236797923	0.003916765781826606	0.1253365050184514
PC1	d7_dLSR	8	0.7453251239424725	0.033809221482883255	0.4825355995254948
PC1	d1_dLSR	10	0.6250445290142543	0.053319856664034035	0.4825355995254948
PC1	acc_dHR	8	0.6859969209591674	0.06031694994068685	0.4825355995254948
PC1	acc_dTbody	8	0.6408869131825137	0.08683613366965529	0.5557512554857938
PC1	acc_dTcore	8	0.6114444509057633	0.10723909709505193	0.5719418511736103
PC1	d1_dSSNA	10	0.4050486885635105	0.24557343057128622	0.9712359061109941
PC1	d7_dLDF	8	0.4438170916229325	0.27066096581784516	0.9712359061109941
PC1	acc_dMAP	8	0.4385343412422724	0.27708554191632223	0.9712359061109941
PC1	d1_dSBP	10	-0.3354422509822067	0.34336116416417156	0.9712359061109941
PC1	d7_dCVC	8	0.36761488034846784	0.3703041071070289	0.9712359061109941
PC1	d7_dSSNA	8	0.3508081963914851	0.39420808937460566	0.9712359061109941
PC1	acc_dDBP	8	0.3304039817863389	0.42410238005197876	0.9712359061109941
PC1	d7_dHR	8	-0.3298576000044325	0.4249157089235599	0.9712359061109941
PC1	d1_dMAP	10	-0.24303700325323158	0.49866186898980513	0.9938463620344601
PC1	d1_dCVC	10	0.23093177866389986	0.5209257562556129	0.9938463620344601
PC1	d7_dTcore	8	-0.25609312895404107	0.5404067315303397	0.9938463620344601
PC1	d1_dTskin	10	-0.1889428508253786	0.6011291613355384	0.9938463620344601
PC1	d7_dTbody	8	-0.19855504900516488	0.6373783752748965	0.9938463620344601
PC1	d1_dTbody	10	-0.16097237002270637	0.6568563100240029	0.9938463620344601
PC1	d7_dTskin	8	0.16856236057204477	0.6898813026049192	0.9938463620344601
PC1	d1_dDBP	10	-0.128791236970541	0.7228959652285201	0.9938463620344601
PC1	d1_dHR	10	-0.11578300180594592	0.7500927944139169	0.9938463620344601
PC1	acc_dTskin	8	-0.09845477198015154	0.8165867781866618	0.9938463620344601
PC1	d1_dTcore	10	-0.06481649635529452	0.8588080828313254	0.9938463620344601
PC1	d7_dDBP	8	-0.029575472011682258	0.9445783188899595	0.9938463620344601
PC1	acc_dLDF	8	0.028484210245708113	0.946620987096015	0.9938463620344601
PC1	d1_dLDF	10	0.021782652709748107	0.9523730497100651	0.9938463620344601
PC1	acc_dCVC	8	0.018176492058910254	0.9659265831928394	0.9938463620344601
PC1	d7_dMAP	8	-0.012718823957008019	0.9761547768368644	0.9938463620344601
PC1	acc_dSBP	8	-0.011312403324527709	0.9787910532639874	0.9938463620344601
PC1	d7_dSBP	8	-0.003281963815526881	0.9938463620344601	0.9938463620344601
PC1	acc_dSSNA	8			
PC2	d1_dTbody	10	0.6985202948717047	0.024638337157743096	0.5300715756792926
PC2	d7_dTbody	8	0.724306085371899	0.04215199286325186	0.5300715756792926
PC2	d1_dSBP	10	-0.6103774595668414	0.060909564894754645	0.5300715756792926
PC2	d1_dTcore	10	0.5889119390720073	0.07324612633696923	0.5300715756792926
PC2	d1_dMAP	10	-0.5510925565455194	0.09871293641466831	0.5300715756792926
PC2	d7_dSBP	8	-0.6223566674757165	0.09938842043986737	0.5300715756792926
PC2	d1_dCVC	10	0.4904984498121979	0.1500487669659412	0.5345550806727153
PC2	d7_dTcore	8	0.535273298756261	0.1715908498401107	0.5345550806727153
PC2	d7_dTskin	8	0.5305917536559247	0.17609067203253945	0.5345550806727153
PC2	d1_dTskin	10	0.46271355359390354	0.17810672055544532	0.5345550806727153
PC2	d1_dLDF	10	0.44749627655842905	0.19469907540663117	0.5345550806727153
PC2	d7_dLSR	8	0.4854889334888629	0.2226310097959282	0.5345550806727153
PC2	d1_dHR	10	-0.4038734209666189	0.24707776498238154	0.5345550806727153
PC2	d7_dMAP	8	-0.44930022185225804	0.2640715978007692	0.5345550806727153
PC2	d1_dDBP	10	-0.388008616426307	0.2678849689642328	0.5345550806727153
PC2	d7_dSSNA	8	-0.4159989936773282	0.3053184631561883	0.5345550806727153
PC2	d1_dSSNA	10	-0.3576243778570397	0.31030554162073587	0.5345550806727153
PC2	acc_dCVC	8	-0.4097035315455318	0.313441454710081	0.5345550806727153
PC2	acc_dLDF	8	-0.4066698149130312	0.3173920791494247	0.5345550806727153
PC2	acc_dSBP	8	0.3512142367239213	0.39362281066249905	0.6297964970599985
PC2	acc_dHR	8	0.24235918889763	0.5630575654051179	0.8579924806173225
PC2	d1_dLSR	10	-0.1882604499469832	0.6024682179560865	0.8608348317479585
PC2	d7_dLDF	8	-0.20938617101139112	0.6187250353188452	0.8608348317479585
PC2	acc_dMAP	8	0.1727150963102243	0.6825417829580654	0.8946702311638879
PC2	d7_dDBP	8	-0.1634414292376546	0.6989611180967874	0.8946702311638879
PC2	acc_dLSR	8	-0.13010897762114426	0.7587848472633356	0.9338890427856439
PC2	d7_dCVC	8	0.09779325479805696	0.8178033529242302	0.9494512350856421
PC2	d7_dHR	8	-0.0653657694934412	0.87778784379222	0.9494512350856421
PC2	acc_dTcore	8	-0.049246533551753804	0.9078119331338115	0.9494512350856421
PC2	acc_dTskin	8	0.04880630040371644	0.9086334070044148	0.9494512350856421
PC2	acc_dDBP	8	-0.03440647075117116	0.9355387624601674	0.9494512350856421
PC2	acc_dTbody	8	-0.026972420262306306	0.9494512350856421	0.9494512350856421
PC2	acc_dSSNA	8			
acute_burden	d1_dLSR	10	0.6950413879257049	0.02567477946116221	0.6924540364593642
acute_burden	d1_dSSNA	10	0.6338505480376792	0.049079322260050975	0.6924540364593642
acute_burden	acc_dLSR	8	0.6774330476654349	0.0649175659180654	0.6924540364593642
acute_burden	acc_dTbody	8	0.5276722218323981	0.17892860817088602	0.7481229121267742
acute_burden	d7_dTbody	8	-0.4894055414777905	0.2183625506905011	0.7481229121267742
acute_burden	acc_dHR	8	0.45278183973590314	0.2599294938454272	0.7481229121267742
acute_burden	d7_dSSNA	8	0.4300283822888839	0.2875855778479842	0.7481229121267742
acute_burden	acc_dMAP	8	0.42586468136618405	0.29279485050421855	0.7481229121267742
acute_burden	d1_dTbody	10	-0.3542787821393033	0.3151798055243427	0.7481229121267742
acute_burden	d7_dHR	8	-0.40689104565550643	0.317103190604208	0.7481229121267742
acute_burden	d7_dSBP	8	0.4052335839861787	0.31927057290530425	0.7481229121267742
acute_burden	acc_dTcore	8	0.3947705433615615	0.33311293510909756	0.7481229121267742
acute_burden	d7_dTcore	8	-0.38443614284669364	0.3470537031883433	0.7481229121267742
acute_burden	d7_dMAP	8	0.35479232632714747	0.3884817398874909	0.7481229121267742
acute_burden	d1_dTskin	10	-0.29344248772123727	0.4105709053580958	0.7481229121267742
acute_burden	d1_dMAP	10	0.2801203673899098	0.4330972242200992	0.7481229121267742
acute_burden	d7_dLSR	8	0.30482884650718584	0.46286503438296744	0.7481229121267742
acute_burden	d7_dTskin	8	-0.29316694138212046	0.4809958619518352	0.7481229121267742
acute_burden	d1_dDBP	10	0.25112582897137914	0.4840146081900212	0.7481229121267742
acute_burden	d1_dTcore	10	-0.24807466142748108	0.48951767368841415	0.7481229121267742
acute_burden	acc_dLDF	8	0.2843475474955188	0.4948894026475906	0.7481229121267742
acute_burden	d1_dSBP	10	0.23449269016521224	0.5143345020871573	0.7481229121267742
acute_burden	acc_dCVC	8	0.2502348766112769	0.5500280228342428	0.7652563795954682
acute_burden	acc_dDBP	8	0.2202229865864277	0.6002381706397966	0.800317560853062
acute_burden	d1_dHR	10	0.16473842334922778	0.6492563431155072	0.8085982624524782
acute_burden	d1_dLDF	10	-0.15396738587240155	0.6710676724238288	0.8085982624524782
acute_burden	d7_dDBP	8	0.17287772945435237	0.6822547839442785	0.8085982624524782
acute_burden	acc_dTskin	8	0.12533480999772367	0.7674467096914185	0.8509228896629163
acute_burden	d7_dCVC	8	-0.10465540579928301	0.8051992372305394	0.8509228896629163
acute_burden	d1_dCVC	10	-0.08767820901597179	0.8096715557710985	0.8509228896629163
acute_burden	acc_dSBP	8	0.09424644241564237	0.8243315493609502	0.8509228896629163
acute_burden	d7_dLDF	8	0.06285440434736794	0.8824580207104773	0.8824580207104773
acute_burden	acc_dSSNA	8			
adapt_burden	d7_dSSNA	8	0.7490508902338644	0.03244622422855102	0.5023577152940616
adapt_burden	acc_dLSR	8	0.71871738448037	0.04456051941421793	0.5023577152940616
adapt_burden	d1_dSSNA	10	0.6160659065410168	0.057886703540888804	0.5023577152940616
adapt_burden	d1_dTskin	10	-0.5810695666825922	0.078128826043683	0.5023577152940616
adapt_burden	d7_dSBP	8	0.6275053646037004	0.09580257418844364	0.5023577152940616
adapt_burden	d1_dHR	10	0.5468467864916933	0.10187996909571474	0.5023577152940616
adapt_burden	d7_dMAP	8	0.6018379100516604	0.11443334864188574	0.5023577152940616
adapt_burden	d1_dTbody	10	-0.5174264319985267	0.1255894288235154	0.5023577152940616
adapt_burden	acc_dTcore	8	0.5621488212601655	0.14697595303917166	0.5225811663614992
