subject_id	n_pt1_pr1	mean_pt1_pr1	mean_abs_pt1_pr1	n_up05_pt1_pr1	n_down05_pt1_pr1	n_pt2_pr2	mean_pt2_pr2	mean_abs_pt2_pr2	n_up05_pt2_pr2	n_down05_pt2_pr2	n_pt2_pt1	mean_pt2_pt1	mean_abs_pt2_pt1	n_up05_pt2_pt1	n_down05_pt2_pt1	n_pr2_pr1	mean_pr2_pr1	mean_abs_pr2_pr1	n_up05_pr2_pr1	n_down05_pr2_pr1	acute_burden	adapt_burden
001B	2938	0.118633	0.366963	443	230	2938	0.292921	0.499031	864	217	2938	0.103315	0.392364	483	257	2938	-0.070972	0.453808	376	597	0.432997	0.423086
007	2938	0.154055	0.377665	618	186	2938	0.0529031	0.396731	478	312	2938	-0.0657766	0.377235	270	389	2938	0.0353757	0.328762	357	241	0.387198	0.352999
008	2938	0.269469	0.517629	795	242	2938	-0.0386723	0.436613	388	495	2938	-0.0620214	0.424217	363	528	2938	0.24612	0.509827	850	246	0.477121	0.467022
009	2938	0.500275	0.681552	1184	171	2938	0.166136	0.466738	725	275	2938	0.173339	0.515981	783	307	2938	0.507478	0.740294	1189	201	0.574145	0.628138
011	2938	-0.029091	0.403932	313	430	2938	0.273947	0.552061	847	265	2938	0.103452	0.348627	438	189	2938	-0.199585	0.552553	342	737	0.477997	0.45059
014	2938	0.398991	0.589145	885	194	2938	0.264706	0.553686	767	281	2938	-0.155584	0.417751	245	628	2938	-0.0212984	0.391937	355	394	0.571416	0.404844
015	2938	-0.0258693	0.403245	373	393	2938	-0.0996356	0.398576	289	511	2938	-0.184889	0.454922	235	706	2938	-0.111123	0.4458	324	600	0.40091	0.450361
016	2938	-0.127828	0.445782	312	531	2938	0.241276	0.468351	761	219	2938	-0.0315013	0.433233	410	415	2938	-0.400605	0.594961	202	940	0.457067	0.514097
018	2938	0.0717047	0.375828	437	267	2938	0.216759	0.849776	776	595	2938	0.295028	0.547435	887	228	2938	0.149973	0.645851	776	490	0.612802	0.596643
019	2938	0.116984	0.427815	577	317	2938	0.360721	0.566879	874	198	2938	0.0426727	0.373208	450	292	2938	-0.201064	0.405041	175	690	0.497347	0.389124
