pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
GOBP_OSSIFICATION	go_bp	9	111	452	53	2920	1.303486e-04	5.304908e-01	AREG,CALCA,CRIM1,GDF2,KAZALD1,PTN,SMOC1,SPP1,TNC
GOBP_CELL_CELL_SIGNALING	go_bp	16	339	1319	53	2920	1.989465e-04	5.304908e-01	ADGRG1,AGER,AGRN,AREG,CCL13,CXCL13,DNM1,EDN1,FGFBP3,GDF15,PLAT,PTN,RGS10,SPP1,STXBP1,TNC
GOBP_OSTEOBLAST_DIFFERENTIATION	go_bp	6	62	261	53	2920	7.558386e-04	1.000000e+00	AREG,CRIM1,GDF2,SMOC1,SPP1,TNC
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	go_bp	10	175	1321	53	2920	9.451039e-04	1.000000e+00	ADGRG1,AGRN,AREG,CALCA,CALCB,CCL13,CELSR2,CXCL13,EDN1,RGS10
GOBP_BONE_REMODELING	go_bp	4	34	90	53	2920	2.998636e-03	1.000000e+00	CALCA,PTN,SPP1,TPP1
GOBP_NEURON_PROJECTION_REGENERATION	go_bp	4	34	61	53	2920	2.998636e-03	1.000000e+00	MATN2,PTN,SPP1,TNC
GOBP_CELL_MOTILITY	go_bp	18	519	1863	53	2920	3.186446e-03	1.000000e+00	ADAM9,ADGRG1,AGER,CALCA,CCL13,CELSR2,CXCL13,CXCL17,EDN1,GDF15,GDF2,ITGB5,LAMA4,MATN2,PLAT,PTN,SPOCK1,TNC
GOBP_GROWTH	go_bp	11	241	922	53	2920	3.235248e-03	1.000000e+00	AGRN,AREG,EDN1,FRZB,GDF15,GDF2,KAZALD1,PTN,SPOCK1,SPP1,TNC
GOBP_REGULATION_OF_GROWTH	go_bp	9	174	606	53	2920	3.494562e-03	1.000000e+00	AGRN,EDN1,FRZB,GDF15,GDF2,KAZALD1,SPOCK1,SPP1,TNC
GOBP_NEURON_MIGRATION	go_bp	4	36	184	53	2920	3.708018e-03	1.000000e+00	ADGRG1,CELSR2,MATN2,SPOCK1
GOBP_REPRODUCTIVE_PROCESS	go_bp	12	283	1549	53	2920	3.804868e-03	1.000000e+00	ADGRG1,AREG,CALCA,EDN1,FST,PLAT,PRL,PRND,PTN,SPP1,STXBP1,TNC
GOBP_NEURON_DEVELOPMENT	go_bp	12	285	1159	53	2920	4.033756e-03	1.000000e+00	AGER,AGRN,AREG,CELSR2,EDN1,HS6ST1,MATN2,PTN,SPOCK1,SPP1,STXBP1,TNC
GOBP_RESPONSE_TO_GROWTH_FACTOR	go_bp	11	250	785	53	2920	4.307702e-03	1.000000e+00	ADAM9,CALCA,CRIM1,CXCL13,EDN1,FGFBP3,FST,GDF15,GDF2,ITGB5,TNC
GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	go_bp	2	6	21	53	2920	4.628400e-03	1.000000e+00	AGRN,RGS10
GOBP_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	go_bp	2	6	14	53	2920	4.628400e-03	1.000000e+00	AGER,PTN
GOBP_REGULATION_OF_CELL_GROWTH	go_bp	7	123	404	53	2920	6.084055e-03	1.000000e+00	EDN1,FRZB,GDF2,KAZALD1,SPOCK1,SPP1,TNC
GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	go_bp	2	7	23	53	2920	6.404630e-03	1.000000e+00	ADAM9,GDF15
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	go_bp	16	468	1735	53	2920	6.773195e-03	1.000000e+00	ADAM9,AGER,AREG,CALCA,CRIM1,CXCL13,EDN1,FGFBP3,FST,GDF15,GDF2,ITGB5,PRL,SPP1,TIMP4,TNC
GOBP_RESPONSE_TO_AXON_INJURY	go_bp	4	44	86	53	2920	7.678131e-03	1.000000e+00	MATN2,PTN,SPP1,TNC
GOBP_BODY_FLUID_SECRETION	go_bp	3	23	95	53	2920	7.738222e-03	1.000000e+00	CELSR2,EDN1,PRL
GOBP_GENERATION_OF_NEURONS	go_bp	13	350	1510	53	2920	7.965763e-03	1.000000e+00	ADGRG1,AGER,AGRN,AREG,CELSR2,EDN1,HS6ST1,MATN2,PTN,SPOCK1,SPP1,STXBP1,TNC
GOBP_SYNAPTIC_SIGNALING	go_bp	8	163	794	53	2920	8.162546e-03	1.000000e+00	AGER,AGRN,DNM1,EDN1,PLAT,PTN,RGS10,STXBP1
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	go_bp	4	45	93	53	2920	8.315425e-03	1.000000e+00	CXCL13,CXCL17,EDN1,PTN
GOBP_LONG_TERM_SYNAPTIC_DEPRESSION	go_bp	2	8	32	53	2920	8.440617e-03	1.000000e+00	AGER,STXBP1
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	go_bp	5	71	216	53	2920	8.549803e-03	1.000000e+00	CALCA,EDN1,PRL,PTN,SPP1
GOBP_BONE_RESORPTION	go_bp	3	24	66	53	2920	8.731422e-03	1.000000e+00	CALCA,SPP1,TPP1
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	go_bp	7	132	504	53	2920	8.902716e-03	1.000000e+00	AREG,EDN1,FRZB,FST,GDF2,ITGB5,TNC
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	go_bp	13	359	1281	53	2920	9.833702e-03	1.000000e+00	ADAM9,ADGRG1,ANGPTL4,CLEC1B,CXCL13,CXCL17,EDN1,ESM1,GDF15,GDF2,HS6ST1,ITGB5,PRL
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	go_bp	6	103	374	53	2920	9.950563e-03	1.000000e+00	CRIM1,CXCL13,FGFBP3,FST,GDF15,GDF2
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS	go_bp	5	74	142	53	2920	1.015319e-02	1.000000e+00	AGER,CXCL13,CXCL17,EDN1,PTN
GOBP_POSTSYNAPTIC_SIGNAL_TRANSDUCTION	go_bp	2	9	49	53	2920	1.072671e-02	1.000000e+00	AGRN,RGS10
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	go_bp	2	9	29	53	2920	1.072671e-02	1.000000e+00	ADAM9,GDF15
GOBP_RESPONSE_TO_PROSTAGLANDIN	go_bp	2	9	33	53	2920	1.072671e-02	1.000000e+00	EDN1,TNC
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	go_bp	5	75	150	53	2920	1.073080e-02	1.000000e+00	AGER,CXCL13,CXCL17,EDN1,PTN
GOBP_CELL_GROWTH	go_bp	7	139	484	53	2920	1.168851e-02	1.000000e+00	EDN1,FRZB,GDF2,KAZALD1,SPOCK1,SPP1,TNC
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	go_bp	4	50	262	53	2920	1.202382e-02	1.000000e+00	ADGRG1,CALCA,CALCB,EDN1
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	go_bp	4	50	158	53	2920	1.202382e-02	1.000000e+00	AREG,EDN1,GDF2,TNC
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	go_bp	8	175	1018	53	2920	1.232671e-02	1.000000e+00	ADGRG1,AREG,EDN1,FST,PTN,SPP1,STXBP1,TNC
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	go_bp	12	329	1043	53	2920	1.262845e-02	1.000000e+00	ADAM9,AREG,CD8A,CRIM1,ESM1,FGFBP3,FST,GDF15,GDF2,ITGB5,PLAT,PTN
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	go_bp	6	109	232	53	2920	1.296890e-02	1.000000e+00	AGER,CXCL13,CXCL17,EDN1,GDF15,PTN
GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM	go_bp	2	10	20	53	2920	1.325350e-02	1.000000e+00	AREG,TNC
GOBP_DECIDUALIZATION	go_bp	2	10	25	53	2920	1.325350e-02	1.000000e+00	PTN,SPP1
