pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
GOBP_NEURONAL_ION_CHANNEL_CLUSTERING	go_bp	3	5	12	34	2920	1.420662e-05	7.576389e-02	CNTN2,CNTNAP2,MYOC
GOBP_PROTEIN_LOCALIZATION_TO_AXON	go_bp	2	3	9	34	2920	3.920220e-04	1.000000e+00	CNTN2,CNTNAP2
GOBP_NEURON_MATURATION	go_bp	3	15	48	34	2920	5.967720e-04	1.000000e+00	CNTN2,CNTNAP2,MYOC
GOBP_STARTLE_RESPONSE	go_bp	2	5	28	34	2920	1.287722e-03	1.000000e+00	CNTNAP2,PENK
GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	go_bp	2	6	30	34	2920	1.917489e-03	1.000000e+00	AHNAK,CACNB1
GOBP_DEVELOPMENTAL_MATURATION	go_bp	5	85	340	34	2920	2.657134e-03	1.000000e+00	CEND1,CNTN2,CNTNAP2,MYOC,PALM
GOBP_LOCOMOTORY_EXPLORATION_BEHAVIOR	go_bp	2	8	16	34	2920	3.527324e-03	1.000000e+00	GAD1,PENK
GOBP_RESPONSE_TO_DIETARY_EXCESS	go_bp	2	8	36	34	2920	3.527324e-03	1.000000e+00	CNTN2,SCT
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	go_bp	2	9	55	34	2920	4.502108e-03	1.000000e+00	CNTNAP2,GAD1
GOBP_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY	go_bp	2	9	31	34	2920	4.502108e-03	1.000000e+00	PALM,TGFBR1
GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY	go_bp	2	10	49	34	2920	5.586685e-03	1.000000e+00	PALM,TGFBR1
GOBP_ANATOMICAL_STRUCTURE_MATURATION	go_bp	4	65	273	34	2920	6.281531e-03	1.000000e+00	CEND1,CNTN2,CNTNAP2,MYOC
GOBP_BEHAVIOR	go_bp	6	155	657	34	2920	7.919267e-03	1.000000e+00	CEND1,CNTN2,CNTNAP2,GAD1,PENK,PPY
GOBP_EXPLORATION_BEHAVIOR	go_bp	2	13	34	34	2920	9.474018e-03	1.000000e+00	GAD1,PENK
GOBP_CELL_JUNCTION_ORGANIZATION	go_bp	7	213	773	34	2920	9.801347e-03	1.000000e+00	CACNB1,CNTN2,CNTNAP2,HMCN2,MYOC,PALM,TGFBR1
GOBP_ERBB_SIGNALING_PATHWAY	go_bp	3	39	133	34	2920	9.904646e-03	1.000000e+00	MYOC,PTPRR,SHC1
GOBP_SYNAPTIC_SIGNALING	go_bp	6	163	794	34	2920	1.006438e-02	1.000000e+00	CACNB1,GAD1,PENK,PTPRN2,SCT,SYT1
GOBP_ERBB2_SIGNALING_PATHWAY	go_bp	2	14	23	34	2920	1.097281e-02	1.000000e+00	MYOC,PTPRR
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	go_bp	2	14	72	34	2920	1.097281e-02	1.000000e+00	AHNAK,CACNB1
GOBP_FILOPODIUM_ASSEMBLY	go_bp	2	15	69	34	2920	1.256913e-02	1.000000e+00	PALM,TGFBR1
GOBP_NEUROGENESIS	go_bp	10	404	1745	34	2920	1.362796e-02	1.000000e+00	CEND1,CNTN2,CNTNAP2,HMCN2,KLK6,MYOC,OMG,PENK,SYT1,TGFBR1
GOBP_GENERATION_OF_NEURONS	go_bp	9	350	1510	34	2920	1.567216e-02	1.000000e+00	CEND1,CNTN2,CNTNAP2,HMCN2,KLK6,MYOC,OMG,SYT1,TGFBR1
GOBP_ENERGY_HOMEOSTASIS	go_bp	2	17	83	34	2920	1.604501e-02	1.000000e+00	CNTN2,SCT
GOBP_CELL_PROJECTION_ORGANIZATION	go_bp	9	354	1644	34	2920	1.681042e-02	1.000000e+00	CNTN2,CNTNAP2,HMCN2,KLK6,MYOC,OMG,PALM,SYT1,TGFBR1
GOBP_CELL_MATURATION	go_bp	3	48	208	34	2920	1.745722e-02	1.000000e+00	CNTN2,CNTNAP2,MYOC
