pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
HALLMARK_MITOTIC_SPINDLE	hallmark	6	45	199	100	2920	3.825551e-03	1.178970e-01	ABL1,ARHGEF12,CLIP2,MYO9B,PKD2,WASF1
HALLMARK_DNA_REPAIR	hallmark	5	33	150	100	2920	4.715882e-03	1.178970e-01	APRT,DUT,HCLS1,ITPA,NFX1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	hallmark	4	29	105	100	2920	1.592502e-02	2.654171e-01	DAPP1,IRAK4,MAP2K6,VAV3
HALLMARK_PROTEIN_SECRETION	hallmark	3	31	96	100	2920	8.774332e-02	1.000000e+00	AP3B1,SCAMP3,STAM
HALLMARK_E2F_TARGETS	hallmark	3	36	200	100	2920	1.235988e-01	1.000000e+00	DUT,SHMT1,TACC3
HALLMARK_PEROXISOME	hallmark	2	23	104	100	2920	1.850431e-01	1.000000e+00	DLG4,PRDX5
HALLMARK_MTORC1_SIGNALING	hallmark	3	47	200	100	2920	2.163998e-01	1.000000e+00	CORO1A,DAPP1,SKAP2
HALLMARK_G2M_CHECKPOINT	hallmark	2	31	200	100	2920	2.873192e-01	1.000000e+00	ABL1,TACC3
HALLMARK_GLYCOLYSIS	hallmark	3	55	200	100	2920	2.908600e-01	1.000000e+00	GYS1,MIF,PMM2
HALLMARK_INTERFERON_GAMMA_RESPONSE	hallmark	4	80	200	100	2920	2.927067e-01	1.000000e+00	BANK1,EIF2AK2,PLA2G4A,VAMP8
HALLMARK_HYPOXIA	hallmark	3	65	200	100	2920	3.858763e-01	1.000000e+00	GYS1,MIF,PRDX5
HALLMARK_UV_RESPONSE_DN	hallmark	2	39	144	100	2920	3.885092e-01	1.000000e+00	DAB2,MGMT
HALLMARK_MYOGENESIS	hallmark	3	68	200	100	2920	4.140065e-01	1.000000e+00	PDLIM7,SIRT2,SMTN
HALLMARK_BILE_ACID_METABOLISM	hallmark	1	18	112	100	2920	4.669323e-01	1.000000e+00	PRDX5
HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	2	47	200	100	2920	4.831114e-01	1.000000e+00	FKBP5,MINDY1
HALLMARK_FATTY_ACID_METABOLISM	hallmark	2	47	158	100	2920	4.831114e-01	1.000000e+00	ERP29,MIF
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	hallmark	1	21	49	100	2920	5.201798e-01	1.000000e+00	MSRA
HALLMARK_HEME_METABOLISM	hallmark	2	51	200	100	2920	5.269908e-01	1.000000e+00	ARHGEF12,DAAM1
HALLMARK_ANDROGEN_RESPONSE	hallmark	1	25	101	100	2920	5.830681e-01	1.000000e+00	FKBP5
HALLMARK_MYC_TARGETS_V1	hallmark	1	28	200	100	2920	6.248122e-01	1.000000e+00	DUT
HALLMARK_OXIDATIVE_PHOSPHORYLATION	hallmark	1	33	200	100	2920	6.853842e-01	1.000000e+00	NDUFB7
HALLMARK_COMPLEMENT	hallmark	3	102	200	100	2920	6.875847e-01	1.000000e+00	PLA2G4A,SRC,USP8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	3	105	200	100	2920	7.065864e-01	1.000000e+00	DAB2,PPIB,SFRP1
HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	1	39	97	100	2920	7.454105e-01	1.000000e+00	EIF2AK2
HALLMARK_APICAL_JUNCTION	hallmark	2	79	200	100	2920	7.618570e-01	1.000000e+00	SKAP2,SRC
HALLMARK_UV_RESPONSE_UP	hallmark	1	54	158	100	2920	8.503298e-01	1.000000e+00	DLG4
HALLMARK_ADIPOGENESIS	hallmark	1	58	200	100	2920	8.701606e-01	1.000000e+00	NDUFB7
HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	1	58	200	100	2920	8.701606e-01	1.000000e+00	FKBP5
HALLMARK_P53_PATHWAY	hallmark	1	62	200	100	2920	8.873867e-01	1.000000e+00	VAMP8
HALLMARK_ALLOGRAFT_REJECTION	hallmark	2	108	200	100	2920	8.924525e-01	1.000000e+00	DARS1,HCLS1
HALLMARK_APOPTOSIS	hallmark	1	72	161	100	2920	9.211754e-01	1.000000e+00	MGMT
HALLMARK_KRAS_SIGNALING_UP	hallmark	1	80	200	100	2920	9.408003e-01	1.000000e+00	DNMBP
HALLMARK_COAGULATION	hallmark	1	82	138	100	2920	9.448966e-01	1.000000e+00	SIRT2
HALLMARK_INFLAMMATORY_RESPONSE	hallmark	1	90	200	100	2920	9.586581e-01	1.000000e+00	EIF2AK2
HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	0	56	87	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_XENOBIOTIC_METABOLISM	hallmark	0	71	200	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_KRAS_SIGNALING_DN	hallmark	0	57	200	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	0	74	200	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_IL2_STAT5_SIGNALING	hallmark	0	83	199	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	hallmark	0	32	113	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_SPERMATOGENESIS	hallmark	0	30	135	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_ANGIOGENESIS	hallmark	0	25	36	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_APICAL_SURFACE	hallmark	0	19	44	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	0	23	74	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEDGEHOG_SIGNALING	hallmark	0	15	36	100	2920	1.000000e+00	1.000000e+00	
HALLMARK_MYC_TARGETS_V2	hallmark	0	9	58	100	2920	1.000000e+00	1.000000e+00	
