panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Neurology	CALCA	PT1-PR1	0.708711	0.0009551540331220743	10	10	0	10	10
Neurology_II	FGFBP3	PT1-PR1	0.43273	0.0011507739646821058	10	10	0	10	10
Inflammation	ANGPTL4	PT1-PR1	0.56794	0.005640339336324907	10	10	0	10	10
Inflammation	CRIM1	PT1-PR1	0.36297	0.005640339336324907	10	10	0	10	10
Neurology	MYOC	PT1-PR1	-0.79078	0.006822141540862618	10	10	0	10	10
Neurology	OBP2B	PT1-PR1	0.747422	0.006822141540862618	10	10	0	10	10
Neurology	TIMP4	PT1-PR1	0.47357	0.008800581559013945	10	10	0	10	10
Inflammation	CXCL17	PT1-PR1	0.4407	0.008909542493025835	10	10	0	10	10
Neurology	PRL	PT1-PR1	2.03595	0.00896261804426378	10	10	0	10	10
Neurology	MMP3	PT1-PR1	-0.40985	0.010747495616342206	10	10	0	10	10
Neurology_II	PRND	PT1-PR1	0.1714	0.012330268353103207	10	10	0	10	10
Inflammation	CCL13	PT1-PR1	0.47925	0.02158624386319241	10	10	0	4	10
Inflammation	ESM1	PT1-PR1	0.26952	0.02158624386319241	10	10	0	5	10
Inflammation	MATN2	PT1-PR1	0.32145	0.02298958013203428	10	10	0	3	10
Oncology	MZT1	PT1-PR1	0.49092	0.02298958013203428	10	10	0	4	10
Neurology_II	RBM17	PT1-PR1	0.64093	0.023871252641835206	10	10	0	5	10
Cardiometabolic	CST6	PT1-PR1	0.27103	0.02853420495311561	10	10	0	3	10
Cardiometabolic_II	EDN1	PT1-PR1	0.737022	0.031073852779438423	10	10	0	3	10
Oncology	HS6ST1	PT1-PR1	0.56794	0.031073852779438423	10	10	0	2	10
Inflammation_II	CELSR2	PT1-PR1	0.195663	0.0349873708489709	10	10	0	3	10
Cardiometabolic	GDF15	PT1-PR1	0.24853	0.03509975341492703	10	10	0	2	9
Cardiometabolic	TNC	PT1-PR1	0.37021	0.03509975341492703	10	10	0	1	9
Inflammation	LAMA4	PT1-PR1	0.29139	0.03509975341492703	10	10	0	2	9
Neurology	CTRB1	PT1-PR1	-0.17704	0.03509975341492703	10	10	0	2	9
Neurology	FRZB	PT1-PR1	0.255856	0.03509975341492703	10	10	0	2	9
Oncology	ITGB5	PT1-PR1	0.4542	0.03509975341492703	10	10	0	2	8
Oncology	KLK10	PT1-PR1	0.32477	0.03509975341492703	10	10	0	2	9
Oncology	SMOC1	PT1-PR1	0.33542	0.03509975341492703	10	10	0	2	10
Oncology_II	PTPRH	PT1-PR1	0.28773	0.03509975341492703	10	10	0	1	9
Neurology	CXCL13	PT1-PR1	0.38083	0.03764807680266806	10	10	0	1	9
Neurology	SUMF2	PT1-PR1	0.51667	0.03764807680266806	10	10	0	2	6
Inflammation	FST	PT1-PR1	0.44652	0.04012308091676696	10	10	0	1	7
Inflammation	AGER	PT1-PR1	0.21736	0.04871692006978671	10	10	0	1	5
Inflammation	FLT3LG	PT1-PR1	-0.25764	0.04871692006978671	10	10	0	1	6
Inflammation	SCGB3A2	PT1-PR1	0.15627	0.04871692006978671	10	10	0	1	5
Neurology	SPOCK1	PT1-PR1	0.3218	0.04871692006978671	10	10	0	0	7
Oncology	AREG	PT1-PR1	0.19459	0.05167630312759641	10	10	0	1	5
Cardiometabolic	SPP1	PT1-PR1	0.22632	0.0535158991647083	10	10	0	0	5
Neurology	CD8A	PT1-PR1	0.25347	0.0535158991647083	10	10	0	1	3
Neurology_II	STXBP1	PT1-PR1	0.79795	0.05519253003609387	10	10	0	0	4
Oncology_II	SLC9A3R2	PT1-PR1	-0.47824	0.0685277440295063	10	10	0	1	2
Cardiometabolic	PLAT	PT1-PR1	0.45516	0.06910900951679812	10	10	0	1	2
Inflammation	TNFSF11	PT1-PR1	-0.661737	0.06910900951679812	10	10	0	0	3
Inflammation	TNFSF13	PT1-PR1	0.16219	0.06910900951679812	10	10	0	0	3
Neurology_II	HEPACAM2	PT1-PR1	0.20555	0.0713602049943572	10	10	0	0	2
Cardiometabolic	MB	PT1-PR1	-0.39685	0.07532314503237038	10	10	0	0	3
Neurology_II	CALCB	PT1-PR1	0.42955	0.07566625993085271	10	10	0	1	1
Cardiometabolic_II	AHNAK2	PT1-PR1	-0.316667	0.08125167462210672	10	10	0	0	1
Neurology	SPINK5	PT1-PR1	-0.15252	0.08125167462210672	10	10	0	0	2
Inflammation	SPON1	PT1-PR1	0.28697	0.08956288225290007	10	10	0	1	2
Oncology_II	NDUFB7	PT1-PR1	0.67693	0.08956288225290007	10	10	0	0	2
Oncology	KAZALD1	PT1-PR1	0.1721	0.09001359731599567	10	10	0	0	2
Cardiometabolic	PTN	PT1-PR1	0.45199	0.09125283112806355	10	10	0	0	1
Inflammation	AGRN	PT1-PR1	0.33364	0.09223047695391083	10	10	0	0	3
Inflammation	TPP1	PT1-PR1	0.26891	0.09223047695391083	10	10	0	1	2
Cardiometabolic	GDF2	PT1-PR1	0.26639	0.0924965613318068	10	10	0	0	1
Neurology	CLEC1B	PT1-PR1	1.05019	0.09372185786825055	10	10	0	0	1
Oncology_II	DNM1	PT1-PR1	0.93002	0.09372185786825055	10	10	0	1	1
Oncology	ADGRG1	PT1-PR1	0.37724	0.09384957351927072	10	10	0	0	1
