leave_out_subject	comparison	baseline_top_n	loo_top_n	overlap_count	jaccard
001B	PT1-PR1	20	20	16	0.666667
001B	PT2-PR2	20	20	17	0.739130
007	PT1-PR1	20	20	16	0.666667
007	PT2-PR2	20	20	15	0.600000
008	PT1-PR1	20	20	15	0.600000
008	PT2-PR2	20	20	13	0.481481
009	PT1-PR1	20	20	19	0.904762
009	PT2-PR2	20	20	16	0.666667
011	PT1-PR1	20	20	17	0.739130
011	PT2-PR2	20	20	16	0.666667
014	PT1-PR1	20	20	17	0.739130
014	PT2-PR2	20	20	17	0.739130
015	PT1-PR1	20	20	13	0.481481
015	PT2-PR2	20	20	11	0.379310
016	PT1-PR1	20	20	16	0.666667
016	PT2-PR2	20	20	16	0.666667
018	PT1-PR1	20	20	15	0.600000
018	PT2-PR2	20	20	7	0.212121
019	PT1-PR1	20	20	16	0.666667
019	PT2-PR2	20	20	17	0.739130
