PlateID;Strain;Sample;Timepoint;Gender;Plate.ID;QC.Warning;Clmp;Matn2;Cpe;Gcg;Gdnf;Yes1;Il17a;Foxo1;Tnfrsf11b;Tgfb1;Pla2g4a;Il6;Prdx5;Tgfa;Ccl5;Epo;Axin1;Fst;Rgma;Nadk;Tnni3;Notch3;Snap29;Cntn1;Clstn2;S100a4;Ca13;Mia;Cant1;Kitlg;Gfra1;Ppp1r2;Adam23;Itgb6;Cyr61;Dlk1;Ahr;Ccl2;Eno2;Plin1;Wfikkn2;Flrt2;Qdpr;Fas;Erbb4;Riox2;Plxna4;Epcam;Ccl3;Crim1;Vsig2;Hgf;Sez6l2;Il1a;Il23r;Dll1;Ddah1;Il10;Tnfrsf12a;Acvrl1;Lgmn;Csf2;Cxcl9;Map2k6;Itgb1bp2;Il17f;Il1b;Casp3;Apbb1ip;Wisp1;Cdh6;Pdgfb;Igsf3;Tgfbr3;Cxcl1;Pak4;Cntn4;Ghrl;Lpl;Fstl3;Dctn2;Il5;Eda2r;Ntf3;Tnfsf12;Ccl20;Fli1;Tpp1;Tnr;Vegfd;Parp1;Tnf
S.028;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;6.70382;5.05635;6.66299;2.19106;1.50706;1.0322;3.813;1.12105;5.48323;5.76533;6.18894;1.38654;5.37079;4.45591;1.28207;4.95657;1.43693;7.84409;2.78956;5.8783;1.96031;5.06638;4.71876;6.7919;3.26696;6.33092;3.59673;2.24838;1.28737;-0.48753;3.72817;2.17959;0.50858;1.66945;5.92763;2.96554;3.39057;10.29936;3.68655;3.01647;5.479;4.33921;4.74486;3.19677;3.68766;3.25667;2.67109;2.86029;4.72444;2.55287;2.93087;8.79215;5.49867;9.49898;6.00567;4.25772;0.61386;0.65665;3.89596;3.79355;5.52865;0.19232;5.358;5.2881;-1.31116;3.35437;1.514;7.22738;3.20637;4.62684;3.60688;10.85856;5.20628;3.40955;8.79502;-1.36731;3.8404;0.90794;2.8713;6.05762;1.85378;0.22716;6.39452;0.99761;4.87421;10.13872;0.0157499999999999;6.32198;4.21987;3.56925;3.18364;-1.24093
S.024;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;6.85302;4.87074;6.80901;3.02937;1.51286;1.90248;3.83544;1.11952;5.98081;4.97994;6.21868;1.36916;4.19294;5.05305;1.51626;4.09672;1.42083;8.96976;2.18615;5.48706;3.84064;5.0964;4.28352;6.96486;2.11831;6.47694;2.61855;3.71141;1.66915;-0.51178;3.72497;0.94068;0.7229;2.18568;6.02775;2.80932;2.67439;11.33333;3.43355;2.46433;4.71233;3.80557;5.13682;3.46492;3.65959;3.22114;4.4932;3.07455;4.93852;2.83095;2.23378;9.21789;4.67216;7.7954;5.85357;4.2704;0.28325;4.19991;4.86995;3.9005;5.383;0.78455;5.37803;5.70057;-0.06109;3.49398;1.67827;6.74321;2.06562;4.97515;3.9891;11.0482;5.30781;3.41845;10.0142;-0.45171;3.55447;3.20253;3.01984;6.04693;1.54685;0.69342;6.72383;1.80612;4.84827;8.63917;-0.46733;6.65178;3.95709;3.13316;2.94229;-0.71538
S.025;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;7.00567;5.86967;6.98413;3.8812;2.49648;1.0596;4.75161;0.8356;6.18911;4.55164;5.82868;1.08843;3.60274;4.7106;2.09579;4.4049;1.3562;8.69838;2.6775;5.78596;3.77939;5.36645;3.53356;7.03218;3.36927;6.29864;1.55824;3.12989;1.2276;-0.64566;3.99518;0.69438;1.22984;1.86392;6.11029;3.10614;2.36026;10.90057;3.37067;1.8913;5.09823;4.39075;3.76931;3.22013;3.84513;2.90653;3.43406;2.71383;3.76489;2.2635;2.25057;8.76957;6.01717;6.89297;5.7912;4.47301;-0.20604;-0.19875;4.13202;3.57377;4.68437;0.71139;6.42838;4.67915;-0.76112;4.98022;1.27235;5.78313;2.82466;5.18275;4.10946;10.34174;5.94601;3.66251;8.24784;-1.163;3.99871;2.78316;3.1617;6.40035;1.03704;1.69979;6.31135;2.07023;5.05405;9.53966;-0.0226000000000001;6.71294;4.22058;3.62359;2.28894;-1.0476
S.026;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;6.89927;5.85188;6.84653;4.10079;2.1396;2.0234;5.31285;1.09983;6.08087;5.08407;5.79344;1.01888;5.62168;5.24762;2.77419;3.07305;1.99814;8.98784;2.47835;6.57414;3.62425;5.46152;5.50364;6.79155;3.38723;6.39364;3.49093;3.31526;1.26758;-0.2215;4.64486;2.08224;1.07947;2.14901;6.08501;2.7844;3.9798;11.13361;3.34984;2.0721;4.67253;4.52369;6.43988;4.2074;3.69152;3.89272;3.15578;2.78745;4.62605;2.79874;2.69688;8.9118;5.83505;7.62415;6.4003;4.67226;1.98359;1.2006;4.37455;4.16903;5.50644;0.91225;8.3607;5.46345;-0.27705;6.84571;1.67928;7.5985;3.4386;5.16858;4.00395;10.63785;5.66482;3.95264;8.91136;-0.59972;3.78;1.953;3.00906;6.31088;1.58449;1.56485;6.59892;2.02101;5.41683;11.06798;0.36493;7.00211;4.3205;3.91919;2.97533;-0.31838
S.027;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;7.3458;5.50898;7.29999;2.75073;1.96223;0.8316;4.74591;1.21346;6.14758;6.00999;5.676;1.08445;4.12824;5.60513;2.83534;2.76732;1.14355;9.1498;2.96947;5.6645;4.68248;5.72416;3.97987;7.31841;2.38367;6.13235;1.8789;4.00531;2.28062;-0.03524;4.10609;0.90383;1.38359;2.48437;6.77162;3.32151;2.61545;11.36946;3.16072;2.22174;5.30001;4.70212;4.24746;3.77071;4.25478;3.00927;5.15808;3.56336;4.41037;3.57076;2.89557;9.54344;5.38313;8.21013;6.46554;4.77047;0.00262000000000001;0.27767;4.95774;4.14381;5.72791;0.86315;6.625;6.12082;0.17318;3.6217;1.37424;7.68746;2.25045;5.64257;4.48997;11.39602;5.87413;3.89814;9.24147;-0.48913;4.26312;3.06324;3.19988;6.31907;1.26473;0.22274;7.45284;2.26716;5.42615;8.58731;0.0535499999999999;7.03217;4.24538;3.79293;2.23563;-0.82247
S.012;Hgf/Cdk4;Serum;d70;Male;023Mus-2.csv;Pass;6.91167;5.49662;6.89041;3.55931;1.64605;2.89517;3.96258;1.32649;6.16082;5.11882;6.70996;2.58872;5.19971;6.532;2.29829;4.63522;2.66986;9.13512;2.53997;7.29093;3.66818;5.33186;6.31093;6.47471;2.39921;6.4391;4.11007;3.69348;1.32807;0.00441999999999998;4.97502;2.80687;1.23206;2.35713;6.47139;2.75871;4.10056;10.66253;3.14184;2.66558;4.96427;4.72393;6.4637;3.83625;3.72635;4.65667;3.30093;3.19795;4.62575;2.77236;3.13737;9.10428;5.85827;9.9807;5.73458;4.26932;0.97063;0.89542;4.05801;3.91659;5.57421;0.83539;6.34221;6.38324;-0.28568;3.31406;2.28237;8.45766;3.74939;4.83677;4.22987;10.97521;5.49801;3.79317;9.5697;0.0505000000000001;3.46114;2.56761;4.08531;6.25545;2.40653;0.13114;6.73888;1.95882;4.76289;11.11587;1.40571;7.04076;4.45135;3.75717;3.78151;-0.35693
S.022;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;7.07547;5.13695;7.13892;3.3655;1.97783;2.34863;4.2919;1.1846;5.89396;5.95306;6.60348;1.91823;5.53126;5.21429;2.02328;3.13281;1.92099;8.71652;2.74921;6.0073;4.29877;5.52404;4.85036;7.29461;2.85987;6.34635;3.75033;3.70361;1.76466;-0.32739;4.29816;1.42365;1.20322;2.08087;6.6874;3.27777;3.97341;10.90087;3.90279;3.33631;5.00247;4.75132;4.98398;3.55381;4.03101;3.89589;5.01902;3.0855;4.71207;3.6784;2.84492;9.718;6.01272;7.99699;6.27192;4.47733;0.28269;1.09429;4.70754;4.48038;5.54262;0.82606;6.71926;6.73044;-0.57989;3.50293;1.74055;8.18537;3.36338;5.18922;4.21473;11.24132;5.99922;3.75364;10.03275;-0.76306;4.08962;2.28588;3.44048;6.18737;1.84168;0.81958;7.0689;2.02078;5.49129;8.93343;0.5132;6.99769;4.53483;3.9713;3.75412;-1.00637
S.013;Hgf/Cdk4;Serum;d70;Male;023Mus-2.csv;Pass;7.31134;5.84861;6.65052;2.87083;1.88853;0.99414;4.05782;1.13065;6.19594;5.63487;6.24469;2.70121;4.64199;5.16755;1.52808;3.95234;1.57144;9.67145;2.33453;6.0061;4.43043;5.34286;4.5902;6.36749;2.51454;6.28478;2.65603;3.91944;1.44325;-0.37618;4.12273;0.4415;1.03961;1.60571;6.46101;2.55975;3.28792;10.63601;2.84949;0.83208;5.11304;4.43554;4.67026;3.5015;3.71301;3.39113;3.32146;2.50327;5.32424;3.24128;2.92787;9.68942;5.8191;7.34765;5.61449;4.29547;-0.01505;0.92483;4.57049;4.14949;5.67206;0.24039;4.99166;6.4618;-0.75985;3.89757;2.37367;7.78441;3.27604;5.10043;3.16118;11.15094;5.34342;3.7679;8.66006;-0.56061;3.14419;2.39312;3.98571;6.14508;1.48203;-0.22351;7.28185;2.38042;5.18414;10.67901;-0.14187;7.15348;4.56306;3.78491;3.05635;-1.02806
S.014;Hgf/Cdk4;Serum;d70;Male;023Mus-2.csv;Pass;7.5593;5.49947;7.14645;2.47912;1.97119;2.49592;4.50856;1.79144;6.05851;5.48389;6.59911;2.11178;5.72855;5.33647;2.8443;3.0698;1.99816;9.23452;2.62861;6.69782;1.09719;5.89069;5.13809;6.8597;3.07318;6.57262;4.12424;4.09442;1.84532;-0.24231;4.53136;1.70725;1.30425;2.04526;6.80969;3.19673;4.09984;10.89077;3.69787;3.03168;5.36006;4.80464;5.77813;3.91293;4.30497;4.07813;4.39585;3.03873;5.80666;3.49273;2.84243;9.37574;6.14641;8.5075;6.00661;4.80352;0.57516;1.25644;4.21858;4.34488;5.70341;0.6274;6.54561;6.48392;-0.4164;3.96243;2.05793;8.18861;4.06724;5.24669;3.92374;11.34134;5.80091;3.96275;9.53075;-0.83816;3.64513;2.85846;3.7647;6.29711;1.74341;-0.15476;7.14652;2.41653;5.56734;11.50639;0.68804;7.15619;4.75921;3.81473;3.596;-0.82739
S.023;Hgf/Cdk4;Serum;d70;Female;023Mus-2.csv;Pass;6.77934;4.83318;6.99718;2.39438;1.51676;2.14354;3.43412;1.05465;5.79576;5.71444;6.19457;1.08852;5.53545;4.44728;1.62738;4.05875;1.53571;8.4902;2.41012;6.21473;2.04893;5.27184;4.72728;7.1178;1.92851;6.41559;3.55084;3.46179;1.73598;-0.12345;3.79576;1.12155;0.56083;1.60339;6.40564;2.84326;3.57405;10.59652;3.36095;3.97022;4.59023;4.31743;4.86881;3.56817;4.29526;3.08581;4.88241;3.24195;4.63719;3.47088;2.46228;9.37995;5.17099;8.16705;6.30628;4.32014;0.17449;1.06046;4.27494;4.0633;5.43527;0.18592;6.86844;6.8862;-1.0625;2.89485;1.63447;8.30271;2.86869;4.7749;3.73478;11.30858;5.39743;3.42569;9.3584;-0.65179;4.20473;2.84451;4.8599;5.64984;1.55356;0.20824;6.8138;1.37732;5.09948;7.70677;0.16488;6.8588;4.5159;3.39762;2.8595;-0.95244
