Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
ACAN,-0.22661128260094585,0.06362847196563762,-0.014711849468244451,0.275527905098339
ACE2,0.13973574961902904,0.12495777308487943,0.08736003183681858,0.07258205530266897
ACOX1,0.07671070780777461,-0.3011871817516228,0.2512586179090348,-0.12663927165036257
ACP5,-0.09074865880594207,-0.11447040535278834,0.05659514022559223,0.03287339367874608
ACTA2,0.2856418759196672,0.02274035065127794,0.1923844200970693,-0.07051710517132005
ACY1,-0.23408534978803336,-0.10267943148924842,0.08992918307368089,0.22133510137246554
ADA2,-0.09277809923041928,-0.107442369382276,0.1268716248475231,0.1122073546956664
ADAM15,0.07520108497759308,-0.02289835476670874,0.2070074624621966,0.10890802271789474
ADAMTS13,-0.05868581158034438,-0.06540510594791624,0.08628276118660926,0.0795634668190376
ADAMTS16,0.32909181166155205,-0.01174564431177606,0.21827935696917034,-0.12255809900415769
ADGRE5,-0.03983804497489374,-0.07570713386918544,-0.0009894199742626266,-0.03685850886855445
ADGRG2,-0.16687190325621806,-0.062653860191223,0.06801448905805042,0.17223253212304557
ADH4,0.11337252468651457,0.024099452732738988,0.10291800467239501,0.013644932718619262
AGXT,0.0383920647104346,0.11652422157957587,0.046229499174742575,0.12436165604388366
AHCY,0.29559697190020257,0.23483434187875327,0.30838898887917177,0.24762635885772252
AK1,-0.06154360692298772,-0.3764922290883667,0.0222586694526344,-0.29268995271274456
AKR1C4,-0.09464771036258936,-0.14727198340668773,0.11065058458162882,0.05802631153753049
ALCAM,-0.05586709011763348,-0.007188761576786084,0.04823886456442294,0.09691719310527036
AMY2A,-0.04581794337925097,-0.08618057413619509,0.07868108873791863,0.03831845798097468
AMY2B,-0.07031008435526302,-0.08344541054694286,0.05483202377097071,0.04169669757929102
ANG,0.04698949540511419,-0.0444997344042602,0.19370840093841818,0.10221917112904362
ANGPTL1,-0.02356739759990668,-0.042024371967791484,0.07857376801741182,0.06011679364952703
ANGPTL3,0.11500194707853151,0.0620151060135624,0.10822181237328746,0.055234971308318455
ANPEP,-0.04219780800781613,-0.09141609131884514,0.05242848396682117,0.0032102006557924475
ANXA4,0.010869151985660807,-0.06163677699436112,0.4584353493950863,0.38592942041506423
AOC3,-0.0595289834538868,-0.06494007100000285,0.07311090270583451,0.06769981515971843
APLP1,-0.4985267537728363,-0.01638480450498442,-0.3728463123591692,0.10929563690868285
APOM,-0.0856741112913966,-0.08593114095448183,0.13481410984164854,0.13455708017856344
ART3,0.0814229295127473,0.07398443596611227,0.05373816539716429,0.046299671850528995
AXL,0.07864792599535693,0.0268637333342567,0.0720303287645141,0.020246136103414046
AZU1,-0.08048162372879351,1.7259871272136313,-1.7017451108951887,0.10472364004723628
BAG6,0.07719852020065585,0.05064069398866609,0.3552408840242418,0.32868305781225227
BLMH,0.07341121363202396,-0.042559332978241,0.17226070993759454,0.05629016332732958
BMP6,0.16820324396214398,0.06344290045113403,0.2692793189107204,0.16451897539971014
BOC,0.0025222952105010466,-0.08886641519615347,-0.021337496192308784,-0.11272620659896321
BPIFB1,-0.10026249521252244,-0.14225306141409597,0.08040013393199431,0.038409567730420834
C1QTNF1,0.07694327272720883,-0.16279004591359025,0.32185482550571176,0.08212150686491271
C2,-0.010800615568903974,-0.06806248259081944,0.1353965343417926,0.07813466731987717
CA1,0.0021835055061394013,-1.1213951448040567,-0.46774377737879197,-1.591322427688988
CA13,0.1443635322531197,-0.08052611121225672,1.1476510172032883,0.9227613737379119
CA3,-1.2844307475044816,-1.5378014235060253,-0.3984390164441278,-0.6518096924456713
CA4,-0.031174941250151116,-0.013856440312681724,0.0823146269446653,0.09963312788213462
CA5A,0.1647109445852734,-0.29236348795236217,0.38557400113923296,-0.07150043139840254
CANT1,-0.060197040345481845,0.17173309369148693,-0.045773015310947324,0.18615711872602128
CASP3,0.23713157267623652,-0.30973781320763044,1.1469327354228258,0.6000633495389588
CBLIF,0.03000463236096563,0.1269493216273239,-0.047052782459547776,0.049891906806810604
CCDC80,0.11653505495794848,0.04324377028198817,-0.002623616330932481,-0.0759149010068929
CCL14,0.12053566876795722,0.1132409107294604,0.0894031289834755,0.08210837094497885
CCL15,0.128538412990046,-0.16960611300748174,0.08178576247252116,-0.21635876352500638
CCL16,0.06777217867914233,0.024855310459617235,0.02592640904649071,-0.016990459173034524
CCL18,0.035087952724675145,0.020298258368790074,0.026638077519144404,0.01184838316325962
CCL27,0.15920300736031412,0.17033385764592887,0.3191668535540206,0.33029770383963525
CCL5,0.07813509030073057,0.31280975157903596,0.3124802959458278,0.5471549572241329
CCN3,0.08296107196766392,0.05513344011500886,-0.07825764575935881,-0.10608527761201378
CD14,-0.025637646488300244,-0.006525448541329549,0.09070039972774493,0.10981259767471592
CD163,-0.0962663209338542,-0.11524332898260863,0.026903921479172577,0.007926913430418151
CD209,-0.08441161542063644,-0.059940240028867026,0.011054679638794302,0.03552605503056372
CD2AP,0.21239370396872326,-0.3773280672309188,0.5518550690682785,-0.03786670213136328
CD46,0.03529695036730903,0.04527922706400757,0.11908389209775064,0.1290661687944494
CD55,0.07161813802969601,0.06819956135219563,0.002169628792885949,-0.0012489478846146244
CD59,0.00036980770005230084,0.025775473665722925,0.04670085745646955,0.07210652342214009
CD69,0.1914388002884343,0.011222863064220275,1.0177801672078333,0.8375642299836187
CD93,-0.044646144525660424,-0.07754485346168502,0.10098374098570395,0.06808503204967921
CDH1,0.04509210842715883,0.03524826187253426,0.07129741193879448,0.0614535653841702
