module	contrast	n_samples_a	n_samples_b	n_genes	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
module_01	PT1-PR1	10	10	601	1.1718532909221824	0.7385203680920748	0.4333329228301075	2.3024322179963113	9	0.046812705897328	0.3120847059821867	
module_02	PT1-PR1	10	10	378	0.01054066831199445	-0.1701724099835033	0.1807130782954977	1.7347049567713235	9	0.11681893693840228	0.36256475061769006	
module_03	PT1-PR1	10	10	297	-0.09350768963963965	-0.14158072687308237	0.04807303723344277	1.2083013943851637	9	0.2577204693683246	0.4947170521128855	
module_04	PT1-PR1	10	10	184	-0.06549561802754758	-0.1151323109957652	0.04963669296821762	1.055103312844271	9	0.3188775116454534	0.4947170521128855	
module_05	PT1-PR1	10	10	165	-0.31005456197096587	-0.25100177541058466	-0.059052786560381175	-1.178226840778248	9	0.2689193781024857	0.4947170521128855	
module_06	PT1-PR1	10	10	144	0.18318825365762745	0.007308352031892218	0.17587990162573525	4.157478228810229	9	0.0024569057918029102	0.049138115836058205	
module_07	PT1-PR1	10	10	141	-0.1222333554474998	-0.1892087902341762	0.06697543478667639	0.922204469045287	9	0.38047963109921756	0.5435423301417394	
module_08	PT1-PR1	10	10	121	-0.11766523644760385	-0.13710899148508926	0.019443755037485404	0.29995608727669887	9	0.7710231292983538	0.8566923658870598	
module_09	PT1-PR1	10	10	117	-0.3297408798419979	-0.3965775851388903	0.06683670529689238	1.720736427267057	9	0.11940760456672894	0.36256475061769006	
module_10	PT1-PR1	10	10	107	0.06370651358940808	-0.06387670683598926	0.12758322042539735	1.6818289095594976	9	0.12689766271619152	0.36256475061769006	
module_11	PT1-PR1	10	10	104	-0.21074875904300666	-0.26453354589635736	0.05378478685335075	1.0489165939394571	9	0.3215660838733756	0.4947170521128855	
module_12	PT1-PR1	10	10	91	-0.2780813463668271	-0.41932350104317184	0.14124215467634485	3.012752241122582	9	0.014650357642525647	0.14650357642525647	
module_13	PT1-PR1	10	10	82	-0.015708438383303783	-0.008856176580487785	-0.006852261802816015	-0.08008909741130207	9	0.9379190032111162	0.9379190032111161	
module_14	PT1-PR1	10	10	79	-0.2993136993855948	-0.36715297333860214	0.0678392739530073	0.7227037581995795	9	0.48821568210167543	0.6509542428022339	
module_15	PT1-PR1	10	10	72	-0.14080919316461168	-0.12943558273040048	-0.011373610434211246	-0.08782957318858378	9	0.9319353400701333	0.9379190032111161	
module_16	PT1-PR1	10	10	63	-0.2265541627059831	-0.25457783326491534	0.028023670558932214	0.34400569185221946	9	0.7387427134313331	0.8566923658870598	
module_17	PT1-PR1	10	10	51	0.1062013863145258	0.16289246543617447	-0.056691079121648655	-0.5965081612036834	9	0.5655359111533464	0.706919888941683	
module_18	PT1-PR1	10	10	46	-0.07194953436539306	-0.1870995426770499	0.11515000831165682	1.9704615432381913	9	0.08028249581906333	0.36256475061769006	
module_19	PT1-PR1	10	10	42	-0.2841066360664644	-0.388990173579563	0.1048835375130986	1.3541054066738694	9	0.20872236792070886	0.4947170521128855	
module_20	PT1-PR1	10	10	35	0.2995710078781513	0.24096642857142858	0.05860457930672266	1.1439522680645782	9	0.28215632420474757	0.4947170521128855	
module_01	PR2-PR1	10	10	601	0.5618082375851225	0.7385203680920747	-0.17671213050695211	-0.7124076994745445	9	0.49426582520796436	0.9885316504159288	
module_02	PR2-PR1	10	10	378	-0.06293854548332616	-0.1701724099835033	0.10723386450017713	0.9140745948018295	9	0.3845120361008534	0.8544711913352298	
module_03	PR2-PR1	10	10	297	-0.14047041253784326	-0.14158072687308237	0.0011103143352391375	0.010479191628374839	9	0.9918675810420474	0.9918675810420474	
module_04	PR2-PR1	10	10	184	-0.0896223234024976	-0.11513231099576518	0.025509987593267603	0.4718067271423427	9	0.6482935585580647	0.9918675810420474	
module_05	PR2-PR1	10	10	165	-0.24214906977541065	-0.25100177541058466	0.008852705635174023	0.0824402289266834	9	0.9361010411083577	0.9918675810420474	
module_06	PR2-PR1	10	10	144	-0.06531985277318986	0.007308352031892217	-0.07262820480508207	-1.7847052631604163	9	0.1079707622691557	0.4318830490766228	
module_07	PR2-PR1	10	10	141	-0.03844266100321671	-0.1892087902341762	0.1507661292309595	1.800194378265052	9	0.10535825316361302	0.4318830490766228	
