Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
ABHD14B,-0.07110105915060232,-0.4734984088307613,0.5461297201324399,0.1437323704522808
ACVRL1,0.017721346671511255,0.10677565453979754,0.11245305404284617,0.2015073619111321
ADAM22,-0.03848032571851198,0.15465786189494105,-0.11804301775328689,0.07509516986016623
ADAM8,0.0029200592248295456,0.056488457633935826,0.01947449439991461,0.07304289280902103
ADGRB3,0.00349789476391241,0.06320656448450261,-0.01967214798244714,0.0400365217381429
AFP,-0.052192015591059494,-0.017204641683761575,0.16052431889324775,0.19551169280054564
AGR2,-0.06211541890248949,0.11227194753055263,0.00011680961559695065,0.1745041760486391
AHSP,0.14591964539350644,-1.1350277095154062,-0.41468465880293354,-1.695632013711846
AKT1S1,0.2325847283728417,-0.5753532810423887,0.12190317128138717,-0.6860348381338432
ALDH1A1,0.09216293750190212,-0.42029417111736056,0.016046013781309803,-0.49641109483795287
AMFR,-0.27191473433478647,0.908138005067074,0.022921556602850536,1.202974296004711
ANXA10,0.10487353694485993,-0.34380333272319563,-0.10137542979185071,-0.5500522994599061
ANXA3,0.17802233163818373,-0.008402095516972392,0.6627994579435721,0.4763750307884159
ANXA5,-0.15673690725420572,0.03825887945230242,-0.1062244057043754,0.08877138100213257
APOH,-0.05664975726887981,-0.07650009334032688,0.06702640442279732,0.047176068351350124
APP,-0.03464984342427912,0.8569511828382328,-0.7186118983914888,0.1729891278710233
APRT,0.33439443533259,-0.5723913917564784,1.2909214518904326,0.3841356248013642
ARID4B,0.3287064689634962,0.1251074132835665,0.16092435973526178,-0.0426746959446678
ARSA,-0.12710041419822282,0.1260131059876611,-0.15424898708326895,0.0988645331026149
ASAH2,-0.1722162521247005,-0.13429105235042343,-0.05418115178639848,-0.01625595201212164
ASGR1,-0.08574431614568574,-0.009946357563732617,0.24647191294131077,0.3222698715232639
ATF2,0.18075647055137442,-0.08924117868276653,0.3272572664720094,0.05725961723786832
ATP5PO,-0.13355165466238514,-0.15090025748935984,-0.14059215658370894,-0.15794075941068372
ATP6V1F,0.19981287097776704,-0.05472034404303187,0.06246366807722982,-0.19206954694356917
ATXN10,-0.28396223618904887,0.2963815877409828,-0.08683069871907331,0.4935131252109584
B4GAT1,-0.036563173946090786,-0.09796867127560756,0.13692234833873665,0.07551685100921986
BAG3,-0.08576258221182527,-0.1621934628419026,0.03761068158174657,-0.03882019904833046
BAX,0.46063201375267915,-0.21447871376844288,0.32897245668694375,-0.34613827083417825
BCAM,0.049306732925563895,-0.03546937988082372,0.1289799550982254,0.04420384229183796
BCAN,-0.25495066194930016,-0.07851934543751134,-0.40424938834280594,-0.22781807183101696
BIN2,0.3698801759260997,-0.3988926669479333,1.5033797153565338,0.7346068724825007
BLVRB,-0.004332051749925374,-0.5108499745413416,-0.22002615170261758,-0.7265440744940338
BMP4,-0.011582323845911749,-0.04927394995303824,-0.03967671488635737,-0.07736834099348386
BRK1,0.5865338897888445,0.14379181172631383,0.04164545338759103,-0.4010966246749398
BST1,-0.014507270039955594,-0.09740333131225057,0.05854438881714953,-0.024351672455145457
BST2,0.04574752819581273,-0.04110170051312916,0.1313407329787121,0.04449150426977004
C19orf12,-0.09559351235551156,-0.3656623906877166,0.06410393032113333,-0.20596494801107157
C2CD2L,0.4511102123505005,0.3310880672432506,0.31275363630915226,0.19273149120190233
CA2,0.1651685735924243,-1.2553638938863658,0.05241842755095175,-1.3681140399278386
CA6,0.4987810847551141,0.46959911331171655,0.10569609525806534,0.07651412381466753
CALB2,0.041839239074263464,-0.038333339014147434,0.27765275246008486,0.19748017437167384
CALCA,-0.12103295384282628,0.08006723925574245,0.6170692263003583,0.8181694193989273
CARHSP1,0.232759309215029,-0.773992499793783,0.04723019054779959,-0.9595216184610124
CASP1,0.20481991409522196,-0.7919522732808085,0.535084777638719,-0.4616874097373116
CASP10,0.14668884111208322,0.1401773831122386,0.45676522332554276,0.4502537653256982
CC2D1A,0.46400818828933493,-0.4955060021298758,1.4143179343558057,0.4548037439365949
CCL19,-0.030530993267885033,-0.1635324022802588,0.21868393972484387,0.0856825307124701
CCL2,0.04401442154386109,0.08020402798920379,-0.23066299590666622,-0.1944733894613236
CCN5,0.07395013488376884,-0.03681687759172315,0.10385806228761146,-0.006908950187880541
CCS,0.08817487272309447,-0.5281254201973599,0.37993325595719035,-0.23636703696326375
CD109,-0.06869200273567803,-0.08030310799271168,0.05943340419705152,0.047822298940018
CD164,-0.22270581340586912,-0.02346701747583987,0.12667531795821294,0.3259141138882422
CD177,0.010347386973005397,-0.012064861564215323,0.06913587763712023,0.04672362909989955
CD274,-0.03402297640289068,0.010818088753781778,0.20623799305429036,0.25107905821096305
CD300C,0.011989738976841762,-0.04004037668618543,0.07813296018460056,0.026102844521573482
CD300LG,-0.03522975582814265,-0.10274151556349394,0.07305582088945282,0.005544061154101485
CD34,-0.045592968312020705,-0.11521254802250008,0.011668673231429434,-0.05795090647904998
CD63,0.027807761640245537,0.26953202466032755,0.1751486712772621,0.41687293429734396
CD74,-0.17116076448340256,-0.17996096144842885,0.1426122384742594,0.13381204150923315
CD8A,0.07743871629910687,0.002765666269637382,0.3354589657536112,0.26078591572414184
CD99,0.01882361978282045,-0.07117934726847945,0.15212989935568888,0.06212693230438896
CD99L2,-0.01951030354862483,-0.1335153986578937,0.13291497838055386,0.018909883271284914
CDCP1,-0.02861081827901634,0.06360340526469384,-0.0301307140327499,0.062083509510960144
CDH15,0.018450709916672782,-0.029274660594809206,-0.015881882416151183,-0.06360725292763306
CDH3,0.0100263755642381,0.023784026060305767,-0.035574685301539996,-0.02181703480547217
CDHR1,-0.21157693815130285,-0.10939512648525963,-0.1519743457407497,-0.049792534074706414
CERT,0.3932621480054273,0.008122986081645314,0.3397808598145056,-0.04535830210927631
CETN2,0.42139426567101257,-0.044765765570936686,0.8270364691030604,0.360876437861111
CGA,-0.12473891553015369,-0.2434837663056191,0.33886123623113107,0.22011638545566575
CHGB,-0.19104374867760116,-0.1993877968666412,-0.2952264222794882,-0.30357047046852825
CHMP1A,0.22990256891025332,-0.3970027738848374,1.1043373246815786,0.4774319818864878
CLEC10A,0.0027596913843809423,0.057342695233658106,0.006686808967519794,0.06126981281679691
CLEC11A,-0.014144539499588674,-0.2006971969598977,0.21791990094627295,0.031367243485964036
CLEC14A,0.048855718389668394,-0.12391552171724207,0.12445635948214165,-0.04831488062476875
CLEC1B,0.2871085870874239,0.317590097945469,0.9175438715724706,0.9480253824305158
CLPP,0.337061410631272,0.005690893931663285,0.6982311399164179,0.3668606232168093
CLPS,0.05699621805765876,-0.2633020393513293,0.16902091602670075,-0.15127734138228727
CLSPN,0.11226847034919485,-0.1296800315413036,0.06196378064792996,-0.17998472124256873
CLSTN1,-0.21010765439443857,0.052470770748151235,0.03875419052661013,0.30133261566919983
CNTN3,-0.026645844833726846,-0.08111294960377438,0.07060047035080275,0.016133365580755118
CNTN4,0.0021449929539798782,-0.06959381484951287,0.1156858783648439,0.0439470705613512
