Assay,PT2-PT1,PR2-PR1,PT2-PR2,PT1-PR1
AARSD1,0.06940725486124141,-0.5556344231387056,0.5477674435992369,-0.07727423440071006
ABL1,0.32371221542328316,-0.0811145129036942,0.9507374562974485,0.545910727970471
ACAA1,0.3651928357419072,-0.11573256854715355,0.48113617917083984,0.00021077488177894096
ACP6,0.054133560873569214,-0.060960875944287805,0.2045880510128506,0.08949361419499352
ADAMTS15,0.05997569601049772,-0.10271942304909065,0.2864373612547891,0.12374224219520086
ADAMTS8,-0.16877475213529516,-0.01304311617812556,-0.09196096584035432,0.06377067011681518
ADCYAP1R1,0.014641008399008636,0.04473350676951547,-0.07346362119654325,-0.043371122826036765
ADGRG1,-0.02625271832967259,0.05914244484389895,0.26727959848028726,0.35267476165385897
ADM,0.06460215089935133,0.04832720999222594,0.07051663046444344,0.054241689557318354
AGR3,-0.19845004752596618,-0.3313173682849333,0.07214705639052069,-0.06072026436844631
AIF1,-0.20430858561796528,-0.1612261316864424,0.27907631088070395,0.3221587648122268
AIFM1,0.6341746771087333,-0.11755153613493419,1.433789452860641,0.6820632396169735
AKR1B1,0.15035439813403378,-0.13861326503562524,0.6731326914239201,0.3841650282542612
AKT3,0.10262583661336981,0.005846376481124004,0.20648445110271316,0.10970499097046715
ALPP,-0.06260618686453658,-0.1891478035755939,0.1586032894209877,0.03206167270993018
AMBP,-0.01758434428221719,0.038886482605592305,-0.05257709784653685,0.003893729041272376
AMIGO2,0.07412707641878923,0.11146831132959484,-0.055448332840658095,-0.018107097929852774
ANGPT2,-0.016599294463767292,-0.0823873177525746,0.2780177515128609,0.21222972822405364
ANGPTL7,-0.000005417182274393085,0.03135653012442546,-0.1875465847122413,-0.15618463740554128
ANKRD54,0.07204232334276162,-0.3929572885188615,0.37847453171436146,-0.08652508014726154
APBB1IP,0.054415373020526236,-0.05156881946393991,-0.08448418328606122,-0.19046837577052747
APEX1,0.30491847724975985,0.8905641362205864,-0.25683224172081964,0.3288134172500069
AREG,0.03455961879071132,0.097690540045478,0.1301510301769419,0.19328195143170865
ARG1,0.08856552693880256,-0.39100796116405784,-0.4774329384935535,-0.9570064265964139
ARHGAP1,0.20697601593473,-0.1885196434956637,0.5692450582092405,0.1737493987788469
ARHGAP25,0.0785806316786212,-0.3794219300342644,0.26818688072650765,-0.18981568098637808
