comparison	panel	assay_id	n_loo	n_sign_match	sign_match_rate	baseline_q	retained_q_lt_05	n_retained_q_lt_05	n_retained_q_lt_10
PR2-PR1	Inflammation	OID20536	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID20886	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20462	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20758	10	7	0.7	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21338	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31312	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20115	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31253	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID30883	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30687	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21237	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20112	10	7	0.7	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID20990	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20413	10	10	1	0.9168171635428559	false	0	0
PR2-PR1	Neurology	OID21041	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20230	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20621	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21310	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21261	10	10	1	0.987398319940843	false	0	0
PR2-PR1	Inflammation_II	OID30769	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21509	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20191	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20065	10	10	1	0.9309663360528255	false	0	0
PR2-PR1	Oncology_II	OID31514	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20465	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31267	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic_II	OID30212	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic_II	OID30242	10	6	0.6	0.9970866059385488	false	0	0
PR2-PR1	Cardiometabolic_II	OID30339	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21473	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31169	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID21146	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31252	10	10	1	0.6051646855990032	false	0	0
PR2-PR1	Cardiometabolic	OID20076	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID21028	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID30913	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21221	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30745	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31228	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID30977	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID30827	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20292	10	10	1	0.9760611257664702	false	0	0
PR2-PR1	Oncology	OID21295	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21450	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID31119	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID30811	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21244	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30677	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20276	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20581	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20688	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID31007	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID20900	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic_II	OID30364	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID20917	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20357	10	7	0.7	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31182	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30679	10	7	0.7	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID31048	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology_II	OID31146	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30740	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30761	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20521	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20563	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic_II	OID30180	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Oncology	OID21302	10	7	0.7	0.9898101864326513	false	0	0
PR2-PR1	Inflammation_II	OID30729	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Inflammation	OID20580	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic_II	OID30083	10	10	1	0.9898101864326513	false	0	0
PR2-PR1	Neurology	OID21148	10	4	0.4	0.9906935130730229	false	0	0
PR2-PR1	Neurology	OID21005	10	8	0.8	0.9898101864326513	false	0	0
PR2-PR1	Cardiometabolic	OID20403	10	9	0.9	0.9898101864326513	false	0	0
PR2-PR1	Oncology_II	OID31277	10	10	1	0.9898101864326513	false	0	0
