module	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	n_genes	contrast	n_boot
module_01	10	0.4294588931519175	0.4302815545150359	0.17578181768353535	0.10964748497020069	0.8149326383845181	0.994	0.994	601	PT1-PR1	1000
module_02	10	0.14806632352471535	0.14786986595189205	0.09575056505098621	0.0020089638541257683	0.36306725941118423	0.976	0.976	378	PT1-PR1	1000
module_03	10	0.059178480484537575	0.059810695213802785	0.03602402602614035	-0.008290422638079805	0.12440474683101388	0.953	0.953	297	PT1-PR1	1000
module_04	10	0.04179574870122141	0.041021895825417674	0.04088082324861271	-0.029216252574774847	0.130182470718586	0.849	0.849	184	PT1-PR1	1000
module_05	10	-0.05950656234871571	-0.059768675349113495	0.045823881141418554	-0.15533803066464774	0.026801035387271858	0.091	0.909	165	PT1-PR1	1000
module_06	10	0.1673765106854304	0.16800297425052826	0.03870311614402112	0.09690156582133432	0.2525847184116438	1.0	1.0	144	PT1-PR1	1000
module_07	10	0.054510698354297026	0.0566316529717762	0.05876986099397966	-0.06315836468636761	0.16045267729662285	0.836	0.836	141	PT1-PR1	1000
module_08	10	0.02686293204982925	0.028111373667913445	0.05799330861069366	-0.0834843842444623	0.13592241969773725	0.7	0.7	121	PT1-PR1	1000
module_09	10	0.06675793217237797	0.06789775281838524	0.03459183645227061	0.009532768486499688	0.14130744523043398	0.989	0.989	117	PT1-PR1	1000
module_10	10	0.12709689113805245	0.1277085923878353	0.07235005862394071	-0.02728739974346159	0.2409933779089085	0.951	0.951	107	PT1-PR1	1000
module_11	10	0.05368124162312371	0.0533417963311521	0.04557923842355738	-0.0314103233897398	0.14966299394893923	0.876	0.876	104	PT1-PR1	1000
module_12	10	0.13690095049978507	0.13591620293581042	0.03848018291574952	0.06322546579038026	0.21098527374796106	1.0	1.0	91	PT1-PR1	1000
module_13	10	-0.008346780508637294	-0.003112696057798101	0.06630374374927074	-0.12181751111310081	0.14298890806250256	0.45	0.55	82	PT1-PR1	1000
module_14	10	0.06335803999944387	0.06035350485191406	0.07671998222785457	-0.06533613508440443	0.2251017903086017	0.776	0.776	79	PT1-PR1	1000
module_15	10	-0.0013420935086738473	-0.003510271055913334	0.12457255756367075	-0.2675192626118399	0.21776111861253825	0.502	0.502	72	PT1-PR1	1000
module_16	10	0.0494582315253203	0.046281395261223365	0.06889620852160688	-0.08543682899849066	0.18226094378460836	0.736	0.736	63	PT1-PR1	1000
module_17	10	-0.05149860031012404	-0.051835422411944776	0.09174831172379219	-0.2363655329581833	0.11412318952581017	0.297	0.703	51	PT1-PR1	1000
module_18	10	0.11438856253571314	0.11300197790444315	0.05202684033907365	0.01928140204954863	0.22196244046455116	0.996	0.996	46	PT1-PR1	1000
module_19	10	0.10775062589159819	0.10585247150781822	0.0692081931308985	-0.027524415887974836	0.24622756478916155	0.939	0.939	42	PT1-PR1	1000
module_20	10	0.06466119483599891	0.06610734216488208	0.04119496651504738	-0.021910541569531036	0.13902900367477636	0.936	0.936	35	PT1-PR1	1000
