linkage	K	K_realised	silhouette	obs_q005	obs_q010	null_mean_rej_q005	null_mean_rej_q010	expected_if_calibrated_q005	expected_if_calibrated_q010
single	5	5	-0.0268	1	1	0.05	0.14	0.25	0.5
single	10	10	-0.1928	1	1	0.08	0.19	0.5	1.0
single	15	15	-0.2618	2	2	0.1	0.14	0.75	1.5
single	20	20	-0.294	2	2	0.12	0.19	1.0	2.0
single	25	25	-0.3596	1	2	0.11	0.21	1.25	2.5
single	30	30	-0.4002	1	2	0.05	0.13	1.5	3.0
single	40	40	-0.4269	2	4	0.04	0.2	2.0	4.0
single	50	50	-0.4413	1	6	0.1	0.2	2.5	5.0
average	5	5	0.2822	0	1	0.0	0.01	0.25	0.5
average	10	10	0.2277	0	0	0.02	0.02	0.5	1.0
average	15	15	0.2121	0	0	0.0	0.0	0.75	1.5
average	20	20	0.215	0	0	0.0	0.01	1.0	2.0
average	25	25	0.191	0	0	0.0	0.0	1.25	2.5
average	30	30	0.1713	0	0	0.0	0.0	1.5	3.0
average	40	40	0.1658	0	0	0.0	0.0	2.0	4.0
average	50	50	0.1569	0	0	0.0	0.0	2.5	5.0
complete	5	5	0.1144	0	1	0.0	0.0	0.25	0.5
complete	10	10	0.129	0	0	0.0	0.0	0.5	1.0
complete	15	15	0.1294	0	0	0.0	0.0	0.75	1.5
complete	20	20	0.1407	0	0	0.0	0.0	1.0	2.0
complete	25	25	0.1451	0	0	0.0	0.0	1.25	2.5
complete	30	30	0.0685	0	0	0.04	0.05	1.5	3.0
complete	40	40	0.0833	0	0	0.0	0.0	2.0	4.0
complete	50	50	0.0796	0	0	0.0	0.0	2.5	5.0
ward	5	5	0.2492	0	1	0.01	0.01	0.25	0.5
ward	10	10	0.1814	0	0	0.0	0.01	0.5	1.0
ward	15	15	0.1666	0	0	0.0	0.0	0.75	1.5
ward	20	20	0.1713	0	0	0.0	0.01	1.0	2.0
ward	25	25	0.1856	0	0	0.0	0.0	1.25	2.5
ward	30	30	0.1806	0	0	0.0	0.0	1.5	3.0
ward	40	40	0.1057	0	0	0.0	0.0	2.0	4.0
ward	50	50	0.1236	0	0	0.0	0.0	2.5	5.0
