gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
SELL	10	0.14805999999999997	0.14524708999999997	0.07628235450509344	0.04525974999999998	0.31398925	1.0	1.0	PT1-PR1	1000
LDLR	10	0.18135	0.18026281999999966	0.05228079507028162	0.08408949999999997	0.2803785	1.0	1.0	PT1-PR1	1000
MYOC	10	-0.79078	-0.7924096599999997	0.09077506103655664	-0.9764499999999997	-0.6243234999999999	0.0	1.0	PT1-PR1	1000
LAT	10	0.8151099999999998	0.8132907600000012	0.28017915308574665	0.30119999999999997	1.4050132499999999	1.0	1.0	PT1-PR1	1000
LAT2	10	1.07673	1.0776243600000008	0.3086953210886952	0.4964382499999999	1.6476757499999997	1.0	1.0	PT1-PR1	1000
CXCL3	10	0.8455499999999999	0.8488617699999997	0.2455925360876202	0.411941	1.34060075	1.0	1.0	PT1-PR1	1000
INSL3	10	0.32675	0.3208270600000001	0.0782612831456014	0.16747699999999996	0.47706124999999994	1.0	1.0	PT1-PR1	1000
CXCL17	10	0.4407	0.4416718500000007	0.0549763338916452	0.34243575000000004	0.5567427500000001	1.0	1.0	PT1-PR1	1000
PCDH17	10	0.24054999999999999	0.24072023999999997	0.061580600083541374	0.123385	0.36374399999999996	1.0	1.0	PT1-PR1	1000
LDLRAP1	10	0.60456	0.6004027900000006	0.1529608861794959	0.31776375	0.8895624999999997	1.0	1.0	PT1-PR1	1000
MYDGF	10	0.74916	0.7468194700000005	0.29038515085668054	0.26834150000000007	1.3703550000000002	1.0	1.0	PT1-PR1	1000
PLA2G4A	10	0.46618000000000004	0.4643622499999994	0.15802969369813968	0.17575649999999987	0.7955055000000001	1.0	1.0	PT1-PR1	1000
CXCL13	10	0.38083	0.3811234900000002	0.06769134044537158	0.24755274999999996	0.50323375	1.0	1.0	PT1-PR1	1000
EIF4G3	10	0.74995	0.7536723899999999	0.3034510780979145	0.24684050000000002	1.4003627499999995	1.0	1.0	PT1-PR1	1000
PPIB	10	0.8086800000000001	0.8071543100000002	0.2010233178186818	0.4177584999999999	1.2200612499999997	1.0	1.0	PT1-PR1	1000
CXCL11	10	0.23472999999999997	0.2300644199999997	0.07837085219734269	0.07954224999999998	0.39950225	1.0	1.0	PT1-PR1	1000
TMED8	10	0.6711100000000001	0.6712023900000007	0.25324685977791567	0.2405155	1.1938339999999998	1.0	1.0	PT1-PR1	1000
LEPR	10	0.2868	0.28289724000000016	0.10271923357350522	0.09250950000000001	0.49298049999999993	1.0	1.0	PT1-PR1	1000
C7	10	0.1951	0.1924255599999998	0.08124842292200948	0.07012175000000001	0.37420949999999986	1.0	1.0	PT1-PR1	1000
LAMA4	10	0.29139	0.2925435500000007	0.04759140391945296	0.19968225	0.38893674999999994	1.0	1.0	PT1-PR1	1000
RILPL2	10	0.87813	0.8791914699999996	0.3228617552863233	0.3144219999999999	1.6051654999999998	1.0	1.0	PT1-PR1	1000
CXCL5	10	0.9041599999999999	0.9040115599999994	0.23143631242628263	0.478552	1.3437722499999998	1.0	1.0	PT1-PR1	1000
CALCB	10	0.42955	0.4270716799999998	0.0898806806579319	0.227685	0.5794952500000001	1.0	1.0	PT1-PR1	1000
