comparison	loo_index	top_k	overlap_count	jaccard_index
PR2-PR1	1	20	15	0.6
PR2-PR1	2	20	16	0.6666666666666666
PR2-PR1	3	20	12	0.42857142857142855
PR2-PR1	4	20	9	0.2903225806451613
PR2-PR1	5	20	16	0.6666666666666666
PR2-PR1	6	20	14	0.5384615384615384
PR2-PR1	7	20	14	0.5384615384615384
PR2-PR1	8	20	16	0.6666666666666666
PR2-PR1	9	20	16	0.6666666666666666
PR2-PR1	10	20	15	0.6
PT1-PR1	1	20	18	0.8181818181818182
PT1-PR1	2	20	18	0.8181818181818182
PT1-PR1	3	20	15	0.6
PT1-PR1	4	20	16	0.6666666666666666
PT1-PR1	5	20	18	0.8181818181818182
PT1-PR1	6	20	13	0.48148148148148145
PT1-PR1	7	20	17	0.7391304347826086
PT1-PR1	8	20	17	0.7391304347826086
PT1-PR1	9	20	17	0.7391304347826086
PT1-PR1	10	20	18	0.8181818181818182
PT2-PR2	1	20	20	1
PT2-PR2	2	20	19	0.9047619047619048
PT2-PR2	3	20	17	0.7391304347826086
PT2-PR2	4	20	19	0.9047619047619048
PT2-PR2	5	20	19	0.9047619047619048
PT2-PR2	6	20	18	0.8181818181818182
PT2-PR2	7	20	17	0.7391304347826086
PT2-PR2	8	20	19	0.9047619047619048
PT2-PR2	9	20	17	0.7391304347826086
PT2-PR2	10	20	18	0.8181818181818182
PT2-PT1	1	20	13	0.48148148148148145
PT2-PT1	2	20	14	0.5384615384615384
PT2-PT1	3	20	14	0.5384615384615384
PT2-PT1	4	20	15	0.6
PT2-PT1	5	20	17	0.7391304347826086
PT2-PT1	6	20	16	0.6666666666666666
PT2-PT1	7	20	15	0.6
PT2-PT1	8	20	16	0.6666666666666666
PT2-PT1	9	20	16	0.6666666666666666
PT2-PT1	10	20	15	0.6
