comparison	panel	gene_symbol	assay_id	baseline_mean_diff	baseline_bh_q	sign_match_rate	stability_score	rank_by_q	rank_by_stability
PR2-PR1	Oncology	CEACAM5	OID21171	0.82865	0.1461624822990496	1	0.7075324590428925	9	1
PR2-PR1	Inflammation	DNER	OID20712	0.51463	0.06499107926290311	1	0.4811836408789322	5	2
PR2-PR1	Oncology	KLK14	OID21407	0.49161	0.02155743316801151	1	0.48101215028027383	2	3
PR2-PR1	Cardiometabolic	MMP7	OID20087	0.5106333333333333	0.06499107926290311	1	0.4774467218923862	4	4
PR2-PR1	Neurology	CA6	OID21096	0.48972999999999994	0.06166881860520664	1	0.4595289294644721	3	5
PR2-PR1	Oncology_II	MAPRE3	OID31177	0.4994777777777778	0.09907811743626274	1	0.4499904598543076	7	6
PR2-PR1	Neurology_II	CADPS	OID30915	0.5664	0.2275155400725977	1	0.4375351981028807	11	7
PR2-PR1	Inflammation	IL33	OID20428	-1.0184777777777778	0.6392540208559647	1	0.36741176318088564	32	8
PR2-PR1	Cardiometabolic_II	SCGB2A2	OID30104	0.8819444444444444	0.6051646855990032	1	0.3482228120064347	25	9
PR2-PR1	Oncology	FEN1	OID21192	0.3506875	0.02155743316801151	1	0.34312757765589297	1	10
PR2-PR1	Cardiometabolic_II	VSIG10L	OID30189	0.9121777777777778	0.6683278792240702	1	0.30254393808023033	43	11
PR2-PR1	Cardiometabolic_II	EDEM2	OID30136	0.7041	0.5730698437792336	1	0.30060152299504156	17	12
PR2-PR1	Oncology_II	NCR3LG1	OID31490	0.31859999999999994	0.09907811743626274	1	0.28703371178480663	6	13
PR2-PR1	Oncology	FOXO3	OID21271	-0.7732249999999999	0.6610909765216092	1	0.2620529296790787	40	14
PR2-PR1	Oncology	MIA	OID21531	0.3031888888888889	0.14293828780947032	1	0.2598515882282554	8	15
PR2-PR1	Neurology_II	GNGT1	OID30920	0.647042857142857	0.6392540208559647	1	0.2334181090481541	29	16
PR2-PR1	Neurology_II	PALM2	OID31096	0.4133800000000001	0.44900916327265566	1	0.22776859208634967	13	17
PR2-PR1	Neurology_II	HDAC9	OID30832	0.6049875	0.6392540208559647	1	0.21824680805740204	33	18
PR2-PR1	Oncology_II	CREBZF	OID31206	0.6104666666666667	0.6683278792240702	1	0.20247477399634595	45	19
PR2-PR1	Oncology_II	PSAPL1	OID31473	0.43136	0.5698918331858016	1	0.1855314588369726	16	20
PR2-PR1	Inflammation_II	IL36A	OID30472	0.547611111111111	0.6683278792240702	1	0.18162733858268554	42	21
PR2-PR1	Oncology_II	EPN1	OID31252	0.44004999999999994	0.6051646855990032	1	0.17374728010215865	21	22
PR2-PR1	Cardiometabolic_II	CEACAM6	OID30362	0.43743	0.6051646855990032	1	0.17271281157842805	23	23
