rule	precision_at_K	recall_at_K	f1_at_K	rep	n	frac_tp	effect	hetero	fragile
q	0.92	0.92	0.92	0	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	0	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	0	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	1	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	1	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	1	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	2	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	2	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	2	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	3	8	0.05	strong	False	0.0
abs_d	0.92	0.92	0.92	3	8	0.05	strong	False	0.0
S	0.92	0.92	0.92	3	8	0.05	strong	False	0.0
q	0.84	0.84	0.8399999999999999	4	8	0.05	strong	False	0.0
abs_d	0.84	0.84	0.8399999999999999	4	8	0.05	strong	False	0.0
S	0.88	0.88	0.88	4	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	5	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	5	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	5	8	0.05	strong	False	0.0
q	0.96	0.96	0.96	6	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	6	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	6	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	7	8	0.05	strong	False	0.0
abs_d	0.92	0.92	0.92	7	8	0.05	strong	False	0.0
S	0.88	0.88	0.88	7	8	0.05	strong	False	0.0
q	0.96	0.96	0.96	8	8	0.05	strong	False	0.0
abs_d	0.96	0.96	0.96	8	8	0.05	strong	False	0.0
S	0.96	0.96	0.96	8	8	0.05	strong	False	0.0
q	0.88	0.88	0.88	9	8	0.05	strong	False	0.0
abs_d	1.0	1.0	1.0	9	8	0.05	strong	False	0.0
S	1.0	1.0	1.0	9	8	0.05	strong	False	0.0
q	0.92	0.92	0.92	10	8	0.05	strong	False	0.0
