panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Inflammation	OID00501	IL18	Q14116	AD-HC	17	8.779565555555555	12.394332499999999	-3.614766944444444	-12.656610198347176	11.06585094995559	0.00000006310776923257322	0.000005805914769396736	
Inflammation	OID00541	EN-RAGE	P80511	AD-HC	17	1.079417777777778	4.630845	-3.551427222222222	-11.618874717018095	10.196609185331672	0.00000033064785331937685	0.000015209801252691335	
Inflammation	OID00550	CASP-8	Q14790	AD-HC	17	1.03549	4.588705	-3.553215	-6.840755888882206	9.051865391147864	0.00007344367709283262	0.0022522727641802	
Inflammation	OID00481	uPA	P00749	AD-HC	17	10.563962222222223	9.883062500000001	0.6808997222222217	4.479740899391123	14.57949276656768	0.000471309023785782	0.010840107547072986	
Inflammation	OID00557	ST1A1	P50225	AD-HC	17	1.6504477777777775	3.1749675	-1.5245197222222227	-4.274139522880258	12.828777232714176	0.0009323316864302544	0.01662578874340011	
Inflammation	OID00536	4E-BP1	Q13541	AD-HC	17	7.445799999999999	8.7232025	-1.2774025	-4.15272101063067	13.29582646265583	0.0010842905702217465	0.01662578874340011	
Inflammation	OID00506	TNFSF14	O43557	AD-HC	17	3.6542255555555556	4.8948225	-1.2405969444444445	-3.876410739958897	14.923572240215456	0.0015042496782140535	0.017298871299461616	
Inflammation	OID00494	OSM	P13725	AD-HC	17	3.9630399999999995	5.1134025	-1.1503625000000008	-4.0833749948787075	12.877828075652591	0.0013172213138954447	0.017298871299461616	
Inflammation	OID00471	IL8	P10145	AD-HC	17	5.052716666666666	8.18474625	-3.132029583333334	-4.55134684126027	7.850079637646462	0.001963965001382073	0.020076086680794525	
Inflammation	OID00503	TGF-alpha	P01135	AD-HC	17	2.8297333333333334	3.6405800000000004	-0.8108466666666669	-3.836485180534206	10.286557733681452	0.0031190388071837827	0.028695157026090802	
Inflammation	OID00510	MMP-1	P03956	AD-HC	17	12.596144444444443	14.052642500000001	-1.4564980555555582	-3.0570718877829375	14.996991257508473	0.007988906290698372	0.05653687528801925	
Inflammation	OID00476	CDCP1	Q9H5V8	AD-HC	17	3.8946644444444445	3.19720125	0.6974631944444445	3.0928629639878626	14.804873039745017	0.007519317775143364	0.05653687528801925	
Inflammation	OID00552	CX3CL1	P78423	AD-HC	17	3.663472222222222	3.1911950000000004	0.47227722222222157	3.117152173923301	14.88141916019246	0.0071207481461399436	0.05653687528801925	
Inflammation	OID00499	CD6	P30203	AD-HC	17	4.372805555555555	5.14708	-0.7742744444444449	-2.811530391735722	10.18041685360323	0.018129580003859447	0.11913724002536208	
Inflammation	OID00538	SIRT2	Q8IXJ6	AD-HC	17	2.6022777777777772	3.7476049999999996	-1.1453272222222224	-2.5949656877360163	14.237085361420226	0.020962261293159035	0.1285685359313754	
Inflammation	OID00500	SCF	P21583	AD-HC	17	9.060191111111113	8.738111250000001	0.32207986111111175	2.503638332170461	14.46747963680642	0.02482262752658193	0.1427301082778461	
Inflammation	OID00560	ADA	P00813	AD-HC	17	5.219896666666667	5.79045625	-0.570559583333333	-2.3633057353368954	14.485470858308455	0.03257118844027751	0.17626760802973712	
Inflammation	OID00558	STAMBP	O95630	AD-HC	17	4.069895555555555	4.736938749999999	-0.6670431944444442	-2.1648072532404075	14.971289913789576	0.046970483300752264	0.21153375945676522	
Inflammation	OID00498	CCL4	P13236	AD-HC	17	6.083828888888888	6.734225	-0.6503961111111121	-2.128296163104014	14.42351401132725	0.05100215545105691	0.21153375945676522	
Inflammation	OID00546	IL4	P05112	AD-HC	17	-1.0442077777777776	-1.63706125	0.5928534722222223	2.1504560420647665	14.393800969595674	0.048964728852925354	0.21153375945676522	
Inflammation	OID00532	CCL3	P10147	AD-HC	17	5.501616666666667	6.0206525	-0.5190358333333327	-2.20974440097982	12.356245248772082	0.046690125188112	0.21153375945676522	
Inflammation	OID00531	CD5	P06127	AD-HC	17	5.041851111111111	5.3291325	-0.2872813888888892	-2.101909433645336	14.984484340029146	0.052883439864191306	0.21153375945676522	
Inflammation	OID00555	TWEAK	O43508	AD-HC	17	9.098787777777778	8.892822500000001	0.20596527777777673	2.270610424450906	12.200975433707374	0.04205429926681847	0.21153375945676522	
Inflammation	OID00533	Flt3L	P49771	AD-HC	17	9.357024444444443	8.79308	0.5639444444444432	2.090235810187731	13.058290365687554	0.05671683333951694	0.2174145278014816	
Inflammation	OID00525	IL13	P35225	AD-HC	17	-0.8164522222222224	-1.8202825	1.0038302777777777	2.147613201195185	9.270559885970274	0.05940000269019241	0.21859200989990807	
Inflammation	OID00475	GDNF	P39905	AD-HC	17	1.522461111111111	1.0329724999999998	0.4894886111111112	1.9490248946533226	13.248580442786954	0.07278722664119597	0.24801573522185294	
Inflammation	OID00502	SLAMF1	Q13291	AD-HC	17	1.2748800000000002	0.92008875	0.3547912500000002	1.9339915483163774	14.821782600542122	0.07244166184978629	0.24801573522185294	
Inflammation	OID00523	IL-12B	P29460	AD-HC	17	6.161425555555557	5.724597499999999	0.4368280555555577	1.866766847248578	13.8572949204357	0.08323519649279976	0.2734870741906278	
Inflammation	OID00512	FGF-21	Q9NSA1	AD-HC	17	4.502466666666666	5.865855000000001	-1.3633883333333348	-1.830576928779999	14.531134102887686	0.08774735202518547	0.27837090987300217	
Inflammation	OID05124	CD8A	P01732	AD-HC	17	9.566727777777778	9.09081875	0.475909027777778	1.6713802781873	14.705114496100054	0.1157845451891586	0.3436186502387933	
Inflammation	OID00554	NT-3	P20783	AD-HC	17	3.03499	2.6352849999999997	0.3997050000000004	1.7394109819197425	9.375617378694319	0.11461088279173426	0.3436186502387933	
Inflammation	OID00486	CXCL11	O14625	AD-HC	17	7.289523333333333	7.845868749999999	-0.5563454166666659	-1.642257398099365	14.920974100087786	0.12143915351851464	0.34913756636572957	
Inflammation	OID00487	AXIN1	O15169	AD-HC	17	3.4371455555555555	4.13255625	-0.6954106944444449	-1.6354233062596442	12.475136501172821	0.12692554471180872	0.35385303374201216	
Inflammation	OID00518	PD-L1	Q9NZQ7	AD-HC	17	4.710763333333333	4.426466250000001	0.2842970833333327	1.554145617092135	13.788083012553436	0.14279732594138506	0.3863927643119831	
Inflammation	OID00511	LIF-R	P42702	AD-HC	17	2.78696	2.6092275000000003	0.17773249999999985	1.506180564821629	14.995041972803067	0.15279478003156322	0.4016319932258233	
Inflammation	OID00521	TRANCE	O14788	AD-HC	17	3.135276666666667	3.5467675	-0.41149083333333314	-1.4609449211576877	11.706690718275613	0.1703453778983317	0.4353270768512922	
Inflammation	OID00479	OPG	O00300	AD-HC	17	10.158438888888888	9.892152500000002	0.26628638888888645	1.4318960635790765	12.508542747924016	0.17668496386091848	0.4393247750055271	
Inflammation	OID00524	IL-24	Q13007	AD-HC	17	0.14114444444444443	0.89310125	-0.7519568055555556	-1.4504065437847327	8.437921291354174	0.18307912012841765	0.4432441855740638	
Inflammation	OID00516	IL-22 RA1	Q8N6P7	AD-HC	17	-0.2330311111111111	-0.60804875	0.37501763888888895	1.3432955493495666	12.285131094953284	0.20346511538539014	0.4726377930994709	
Inflammation	OID00542	CD40	P25942	AD-HC	17	10.578377777777778	10.3092025	0.2691752777777783	1.324827008324824	14.670822352789921	0.20549469265194387	0.4726377930994709	
Inflammation	OID00559	IL5	P05113	AD-HC	17	-1.5448888888888888	-1.1325375	-0.4123513888888888	-1.2481378681244912	13.6895648509201	0.2329071048661473	0.517513353114156	
Inflammation	OID00528	IL10	P22301	AD-HC	17	2.4096466666666667	2.06551625	0.34413041666666677	1.2047474215848346	14.546295392106666	0.24753650926285609	0.517513353114156	
Inflammation	OID00488	TRAIL	P50591	AD-HC	17	7.920967777777777	7.70169375	0.21927402777777782	1.200172806639476	8.844597700657042	0.26123045945768375	0.517513353114156	
