sample_id	assay_id	gene_symbol	panel	npx_source_str	abundance	abundance_raw	abundance_unit	qc_sample	qc_assay	detection_limit	below_lod	dropped_by_qc	plate_id	panel_lot	ingest_order
groupC8	OID00471	IL8	Inflammation	9.01723	9.01723	9.01723	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	1
groupC8	OID00472	VEGFA	Inflammation	11.1046	11.1046	11.1046	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	2
groupC8	OID05124	CD8A	Inflammation	9.14133	9.14133	9.14133	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	3
groupC8	OID00474	MCP-3	Inflammation	1.04782	1.04782	1.04782	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	4
groupC8	OID00475	GDNF	Inflammation	1.02348	1.02348	1.02348	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	5
groupC8	OID00476	CDCP1	Inflammation	3.23747	3.23747	3.23747	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	6
groupC8	OID00477	CD244	Inflammation	4.9361	4.9361	4.9361	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	7
groupC8	OID00478	IL7	Inflammation	0.78786	0.78786	0.78786	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	8
groupC8	OID00479	OPG	Inflammation	9.7529	9.7529	9.7529	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	9
groupC8	OID00480	LAP TGF-beta-1	Inflammation	5.44207	5.44207	5.44207	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	10
groupC8	OID00481	uPA	Inflammation	9.85282	9.85282	9.85282	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	11
groupC8	OID00482	IL6	Inflammation	2.65843	2.65843	2.65843	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	12
groupC8	OID00483	IL-17C	Inflammation	1.68108	1.68108	1.68108	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	13
groupC8	OID00484	MCP-1	Inflammation	10.8472	10.8472	10.8472	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	14
groupC8	OID00485	IL-17A	Inflammation	-0.40153	-0.40153	-0.40153	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	15
groupC8	OID00486	CXCL11	Inflammation	7.6111	7.6111	7.6111	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	16
groupC8	OID00487	AXIN1	Inflammation	4.50301	4.50301	4.50301	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	17
groupC8	OID00488	TRAIL	Inflammation	7.78268	7.78268	7.78268	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	18
groupC8	OID00489	IL-20RA	Inflammation	-0.79478	-0.79478	-0.79478	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	19
groupC8	OID00490	CXCL9	Inflammation	7.15668	7.15668	7.15668	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	20
groupC8	OID00491	CST5	Inflammation	6.11439	6.11439	6.11439	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	21
groupC8	OID00492	IL-2RB	Inflammation	-1.09564	-1.09564	-1.09564	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	22
groupC8	OID00493	IL-1 alpha	Inflammation	-1.02316	-1.02316	-1.02316	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	23
groupC8	OID00494	OSM	Inflammation	4.80933	4.80933	4.80933	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	24
groupC8	OID00495	IL2	Inflammation	-1.22467	-1.22467	-1.22467	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	25
groupC8	OID00496	CXCL1	Inflammation	7.93267	7.93267	7.93267	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	26
groupC8	OID00497	TSLP	Inflammation	-1.19954	-1.19954	-1.19954	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	27
groupC8	OID00498	CCL4	Inflammation	7.37646	7.37646	7.37646	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	28
groupC8	OID00499	CD6	Inflammation	5.32763	5.32763	5.32763	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	29
groupC8	OID00500	SCF	Inflammation	8.88817	8.88817	8.88817	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	30
groupC8	OID00501	IL18	Inflammation	12.48031	12.48031	12.48031	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	31
groupC8	OID00502	SLAMF1	Inflammation	0.80177	0.80177	0.80177	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	32
groupC8	OID00503	TGF-alpha	Inflammation	3.58594	3.58594	3.58594	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	33
groupC8	OID00504	MCP-4	Inflammation	14.14873	14.14873	14.14873	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	34
groupC8	OID00505	CCL11	Inflammation	7.80945	7.80945	7.80945	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	35
groupC8	OID00506	TNFSF14	Inflammation	5.11137	5.11137	5.11137	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	36
groupC8	OID00507	FGF-23	Inflammation	0.91761	0.91761	0.91761	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	37
groupC8	OID00508	IL-10RA	Inflammation	-0.55914	-0.55914	-0.55914	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	38
groupC8	OID00509	FGF-5	Inflammation	1.27015	1.27015	1.27015	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	39
groupC8	OID00510	MMP-1	Inflammation	14.76996	14.76996	14.76996	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	40
groupC8	OID00511	LIF-R	Inflammation	2.43383	2.43383	2.43383	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	41
groupC8	OID00512	FGF-21	Inflammation	5.11211	5.11211	5.11211	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	42
groupC8	OID00513	CCL19	Inflammation	12.36068	12.36068	12.36068	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	43
groupC8	OID00514	IL-15RA	Inflammation	-0.38279	-0.38279	-0.38279	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	44
groupC8	OID00515	IL-10RB	Inflammation	5.55343	5.55343	5.55343	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	45
groupC8	OID00516	IL-22 RA1	Inflammation	0.43628	0.43628	0.43628	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	46
groupC8	OID00517	IL-18R1	Inflammation	6.59302	6.59302	6.59302	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	47
groupC8	OID00518	PD-L1	Inflammation	4.42665	4.42665	4.42665	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	48
groupC8	OID00519	Beta-NGF	Inflammation	1.46854	1.46854	1.46854	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	49
groupC8	OID00520	CXCL5	Inflammation	10.6202	10.6202	10.6202	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	50
groupC8	OID00521	TRANCE	Inflammation	3.14514	3.14514	3.14514	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	51
groupC8	OID00522	HGF	Inflammation	8.01222	8.01222	8.01222	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	52
groupC8	OID00523	IL-12B	Inflammation	6.53218	6.53218	6.53218	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	53
groupC8	OID00524	IL-24	Inflammation	0.34966	0.34966	0.34966	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	54
groupC8	OID00525	IL13	Inflammation	-1.55555	-1.55555	-1.55555	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	55
groupC8	OID00526	ARTN	Inflammation	-1.172	-1.172	-1.172	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	56
groupC8	OID00527	MMP-10	Inflammation	8.04227	8.04227	8.04227	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	57
groupC8	OID00528	IL10	Inflammation	2.01914	2.01914	2.01914	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	58
groupC8	OID05548	TNF	Inflammation	2.6464	2.6464	2.6464	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	59
groupC8	OID00530	CCL23	Inflammation	11.03384	11.03384	11.03384	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	60
groupC8	OID00531	CD5	Inflammation	5.41766	5.41766	5.41766	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	61
groupC8	OID00532	CCL3	Inflammation	6.45485	6.45485	6.45485	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	62
groupC8	OID00533	Flt3L	Inflammation	8.76004	8.76004	8.76004	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	63
groupC8	OID00534	CXCL6	Inflammation	7.0702	7.0702	7.0702	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	64
groupC8	OID00535	CXCL10	Inflammation	8.24557	8.24557	8.24557	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	65
groupC8	OID00536	4E-BP1	Inflammation	8.73396	8.73396	8.73396	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	66
groupC8	OID00537	IL-20	Inflammation	-0.3901	-0.3901	-0.3901	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	67
groupC8	OID00538	SIRT2	Inflammation	3.93375	3.93375	3.93375	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	68
groupC8	OID00539	CCL28	Inflammation	1.72146	1.72146	1.72146	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	69
groupC8	OID01213	DNER	Inflammation	9.21001	9.21001	9.21001	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	70
groupC8	OID00541	EN-RAGE	Inflammation	4.82579	4.82579	4.82579	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	71
groupC8	OID00542	CD40	Inflammation	10.83939	10.83939	10.83939	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	72
groupC8	OID00543	IL33	Inflammation	-0.56651	-0.56651	-0.56651	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	73
groupC8	OID05547	IFN-gamma	Inflammation	9.15377	9.15377	9.15377	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	74
groupC8	OID00545	FGF-19	Inflammation	8.22569	8.22569	8.22569	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	75
groupC8	OID00546	IL4	Inflammation	-1.20224	-1.20224	-1.20224	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	76
groupC8	OID00547	LIF	Inflammation	-1.49361	-1.49361	-1.49361	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	77
groupC8	OID00548	NRTN	Inflammation	-1.03463	-1.03463	-1.03463	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	78
groupC8	OID00549	MCP-2	Inflammation	7.13374	7.13374	7.13374	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	79
groupC8	OID00550	CASP-8	Inflammation	4.81103	4.81103	4.81103	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	80
groupC8	OID00551	CCL25	Inflammation	5.51368	5.51368	5.51368	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	81
groupC8	OID00552	CX3CL1	Inflammation	3.37579	3.37579	3.37579	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	82
groupC8	OID00553	TNFRSF9	Inflammation	5.31731	5.31731	5.31731	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	83
groupC8	OID00554	NT-3	Inflammation	2.83819	2.83819	2.83819	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	84
groupC8	OID00555	TWEAK	Inflammation	9.14915	9.14915	9.14915	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	85
groupC8	OID00556	CCL20	Inflammation	8.80012	8.80012	8.80012	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	86
groupC8	OID00557	ST1A1	Inflammation	3.46049	3.46049	3.46049	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	87
groupC8	OID00558	STAMBP	Inflammation	4.89271	4.89271	4.89271	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	88
groupC8	OID00559	IL5	Inflammation	-1.13992	-1.13992	-1.13992	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	89
groupC8	OID00560	ADA	Inflammation	5.94249	5.94249	5.94249	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	90
groupC8	OID00561	TNFB	Inflammation	3.62859	3.62859	3.62859	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	91
groupC8	OID00562	CSF-1	Inflammation	9.21528	9.21528	9.21528	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	92
groupC2	OID00471	IL8	Inflammation	11.2213	11.2213	11.2213	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	93
groupC2	OID00472	VEGFA	Inflammation	11.70631	11.70631	11.70631	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	94
groupC2	OID05124	CD8A	Inflammation	8.36891	8.36891	8.36891	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	95
groupC2	OID00474	MCP-3	Inflammation	1.56761	1.56761	1.56761	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	96
groupC2	OID00475	GDNF	Inflammation	1.39978	1.39978	1.39978	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	97
groupC2	OID00476	CDCP1	Inflammation	2.98442	2.98442	2.98442	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	98
groupC2	OID00477	CD244	Inflammation	5.09403	5.09403	5.09403	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	99
groupC2	OID00478	IL7	Inflammation	0.56368	0.56368	0.56368	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	100
groupC2	OID00479	OPG	Inflammation	10.33171	10.33171	10.33171	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	101
groupC2	OID00480	LAP TGF-beta-1	Inflammation	6.21735	6.21735	6.21735	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	102
groupC2	OID00481	uPA	Inflammation	9.906	9.906	9.906	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	103
groupC2	OID00482	IL6	Inflammation	2.44584	2.44584	2.44584	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	104
groupC2	OID00483	IL-17C	Inflammation	1.63892	1.63892	1.63892	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	105
groupC2	OID00484	MCP-1	Inflammation	11.35836	11.35836	11.35836	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	106
groupC2	OID00485	IL-17A	Inflammation	-0.75431	-0.75431	-0.75431	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	107
groupC2	OID00486	CXCL11	Inflammation	8.35861	8.35861	8.35861	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	108
groupC2	OID00487	AXIN1	Inflammation	4.84018	4.84018	4.84018	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	109
groupC2	OID00488	TRAIL	Inflammation	6.72564	6.72564	6.72564	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	110
groupC2	OID00489	IL-20RA	Inflammation	-0.77837	-0.77837	-0.77837	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	111
groupC2	OID00490	CXCL9	Inflammation	7.38308	7.38308	7.38308	log2_npx	PASS	PASS		0	0	INF-20240628-1	Inflammation_v3024	112
