platform	assay_id	uniprot	gene_symbol	panel	panel_lot
olink_target_96	OID00471	P10145	IL8	Inflammation	Inflammation_v3024
olink_target_96	OID00472	P15692	VEGFA	Inflammation	Inflammation_v3024
olink_target_96	OID05124	P01732	CD8A	Inflammation	Inflammation_v3024
olink_target_96	OID00474	P80098	MCP-3	Inflammation	Inflammation_v3024
olink_target_96	OID00475	P39905	GDNF	Inflammation	Inflammation_v3024
olink_target_96	OID00476	Q9H5V8	CDCP1	Inflammation	Inflammation_v3024
olink_target_96	OID00477	Q9BZW8	CD244	Inflammation	Inflammation_v3024
olink_target_96	OID00478	P13232	IL7	Inflammation	Inflammation_v3024
olink_target_96	OID00479	O00300	OPG	Inflammation	Inflammation_v3024
olink_target_96	OID00480	P01137	LAP TGF-beta-1	Inflammation	Inflammation_v3024
olink_target_96	OID00481	P00749	uPA	Inflammation	Inflammation_v3024
olink_target_96	OID00482	P05231	IL6	Inflammation	Inflammation_v3024
olink_target_96	OID00483	Q9P0M4	IL-17C	Inflammation	Inflammation_v3024
olink_target_96	OID00484	P13500	MCP-1	Inflammation	Inflammation_v3024
olink_target_96	OID00485	Q16552	IL-17A	Inflammation	Inflammation_v3024
olink_target_96	OID00486	O14625	CXCL11	Inflammation	Inflammation_v3024
olink_target_96	OID00487	O15169	AXIN1	Inflammation	Inflammation_v3024
olink_target_96	OID00488	P50591	TRAIL	Inflammation	Inflammation_v3024
olink_target_96	OID00489	Q9UHF4	IL-20RA	Inflammation	Inflammation_v3024
olink_target_96	OID00490	Q07325	CXCL9	Inflammation	Inflammation_v3024
olink_target_96	OID00491	P28325	CST5	Inflammation	Inflammation_v3024
olink_target_96	OID00492	P14784	IL-2RB	Inflammation	Inflammation_v3024
olink_target_96	OID00493	P01583	IL-1 alpha	Inflammation	Inflammation_v3024
olink_target_96	OID00494	P13725	OSM	Inflammation	Inflammation_v3024
olink_target_96	OID00495	P60568	IL2	Inflammation	Inflammation_v3024
olink_target_96	OID00496	P09341	CXCL1	Inflammation	Inflammation_v3024
olink_target_96	OID00497	Q969D9	TSLP	Inflammation	Inflammation_v3024
olink_target_96	OID00498	P13236	CCL4	Inflammation	Inflammation_v3024
olink_target_96	OID00499	P30203	CD6	Inflammation	Inflammation_v3024
olink_target_96	OID00500	P21583	SCF	Inflammation	Inflammation_v3024
olink_target_96	OID00501	Q14116	IL18	Inflammation	Inflammation_v3024
olink_target_96	OID00502	Q13291	SLAMF1	Inflammation	Inflammation_v3024
olink_target_96	OID00503	P01135	TGF-alpha	Inflammation	Inflammation_v3024
olink_target_96	OID00504	Q99616	MCP-4	Inflammation	Inflammation_v3024
olink_target_96	OID00505	P51671	CCL11	Inflammation	Inflammation_v3024
olink_target_96	OID00506	O43557	TNFSF14	Inflammation	Inflammation_v3024
olink_target_96	OID00507	Q9GZV9	FGF-23	Inflammation	Inflammation_v3024
olink_target_96	OID00508	Q13651	IL-10RA	Inflammation	Inflammation_v3024
olink_target_96	OID00509	P12034	FGF-5	Inflammation	Inflammation_v3024
olink_target_96	OID00510	P03956	MMP-1	Inflammation	Inflammation_v3024
olink_target_96	OID00511	P42702	LIF-R	Inflammation	Inflammation_v3024
olink_target_96	OID00512	Q9NSA1	FGF-21	Inflammation	Inflammation_v3024
olink_target_96	OID00513	Q99731	CCL19	Inflammation	Inflammation_v3024
olink_target_96	OID00514	Q13261	IL-15RA	Inflammation	Inflammation_v3024
olink_target_96	OID00515	Q08334	IL-10RB	Inflammation	Inflammation_v3024
olink_target_96	OID00516	Q8N6P7	IL-22 RA1	Inflammation	Inflammation_v3024
olink_target_96	OID00517	Q13478	IL-18R1	Inflammation	Inflammation_v3024
olink_target_96	OID00518	Q9NZQ7	PD-L1	Inflammation	Inflammation_v3024
olink_target_96	OID00519	P01138	Beta-NGF	Inflammation	Inflammation_v3024
olink_target_96	OID00520	P42830	CXCL5	Inflammation	Inflammation_v3024
olink_target_96	OID00521	O14788	TRANCE	Inflammation	Inflammation_v3024
olink_target_96	OID00522	P14210	HGF	Inflammation	Inflammation_v3024
olink_target_96	OID00523	P29460	IL-12B	Inflammation	Inflammation_v3024
olink_target_96	OID00524	Q13007	IL-24	Inflammation	Inflammation_v3024
olink_target_96	OID00525	P35225	IL13	Inflammation	Inflammation_v3024
olink_target_96	OID00526	Q5T4W7	ARTN	Inflammation	Inflammation_v3024
olink_target_96	OID00527	P09238	MMP-10	Inflammation	Inflammation_v3024
olink_target_96	OID00528	P22301	IL10	Inflammation	Inflammation_v3024
olink_target_96	OID05548	P01375	TNF	Inflammation	Inflammation_v3024
