comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	3	0.07714101375075093	3.124277777777778
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.07781495738099736	1.1735555555555557
PT1-PR1	Inflammation	367	0	3	8	0.01055965137620222	1.4127714285714283
PT1-PR1	Inflammation_II	369	0	0	1	0.09400237796375006	1.1892
PT1-PR1	Neurology	367	0	7	10	0.005763013373552228	2.048044444444445
PT1-PR1	Neurology_II	367	0	3	4	0.005763013373552228	1.5104666666666668
PT1-PR1	Oncology	366	0	1	5	0.031333254172619784	1.4405999999999997
PT1-PR1	Oncology_II	368	0	0	1	0.08076282530154913	1.7401714285714287
PR2-PR1	Cardiometabolic	367	0	0	0	0.21924372344857437	1.9319375
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.2701503018357325	0.8161624999999999
PR2-PR1	Inflammation	367	0	0	0	0.21924372344857437	0.9303125
PR2-PR1	Inflammation_II	369	0	0	0	0.6610909765216092	1.5867125000000002
PR2-PR1	Neurology	367	0	0	0	0.21924372344857437	1.1231714285714287
PR2-PR1	Neurology_II	367	0	0	0	0.23879157703783258	2.162585714285714
PR2-PR1	Oncology	366	0	1	2	0.03316394590433669	0.8568625
PR2-PR1	Oncology_II	368	0	0	0	0.23879157703783258	1.567257142857143
PT2-PT1	Cardiometabolic	367	0	0	2	0.09451940201215352	1.2550624999999997
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.11146990247446333	0.9111624999999999
PT2-PT1	Inflammation	367	0	0	1	0.05329454355436836	1.1173111111111111
PT2-PT1	Inflammation_II	369	0	0	0	0.11146990247446333	3.174825
PT2-PT1	Neurology	367	0	0	0	0.11146990247446333	0.7890333333333334
PT2-PT1	Neurology_II	367	0	0	0	0.212888211087491	2.0930625
PT2-PT1	Oncology	366	0	0	0	0.11146990247446333	1.2270999999999999
PT2-PT1	Oncology_II	368	0	0	0	0.24620360021030932	1.6469555555555557
PT2-PR2	Cardiometabolic	367	0	0	9	0.054956563000949366	4.1728125
PT2-PR2	Cardiometabolic_II	367	0	1	3	0.0027299085331176087	2.073642857142857
PT2-PR2	Inflammation	367	0	1	7	0.038376234644013296	2.181057142857143
PT2-PR2	Inflammation_II	369	0	0	1	0.07442036266732745	2.961477777777777
PT2-PR2	Neurology	367	0	1	13	0.04852340430465296	2.341111111111111
PT2-PR2	Neurology_II	367	0	1	3	0.04852340430465296	1.9996
PT2-PR2	Oncology	366	0	2	6	0.04852340430465296	2.0097
PT2-PR2	Oncology_II	368	0	0	2	0.07442036266732745	2.180222222222222
