panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Oncology	OID21192	FEN1	P39748	PR2-PR1	8	-0.18930000000000002	-0.5399875000000001	0.35068750000000004	11.01286606004686	7	0.000011287932574655102	0.03316394590433669	
Oncology	OID21407	KLK14	Q9P0G3	PR2-PR1	9	0.6004666666666666	0.10872222222222223	0.49174444444444443	7.533105073466684	8	0.00006714317028611028	0.098633317150296	
Oncology	OID21171	CEACAM5	P06731	PR2-PR1	8	0.47977499999999995	-0.348875	0.82865	6.194282503533616	7	0.00044774075585141127	0.21924372344857437	
Inflammation	OID20712	DNER	Q8NFT8	PR2-PR1	9	0.1096111111111111	-0.4008333333333333	0.5104444444444445	5.830439609589996	8	0.00039136879881040976	0.21924372344857437	
Neurology	OID21096	CA6	P23280	PR2-PR1	9	1.4127	0.9225666666666668	0.4901333333333333	6.269813506386074	8	0.0002404965089992661	0.21924372344857437	
Cardiometabolic	OID20087	MMP7	P09237	PR2-PR1	8	3.6345499999999995	3.1555375	0.4790124999999999	6.44694273082303	7	0.0003512823551619082	0.21924372344857437	
Neurology_II	OID30915	CADPS	Q9ULU8	PR2-PR1	7	0.5242571428571429	-0.04214285714285715	0.5663999999999999	6.087253904047041	6	0.0008940460678747986	0.23879157703783258	
Oncology_II	OID31177	MAPRE3	Q9UPY8	PR2-PR1	8	-0.2315	-0.7288874999999999	0.4973875	5.5477255303920385	7	0.0008619764002963937	0.23879157703783258	
Oncology_II	OID31439	SH3BP1	Q9Y3L3	PR2-PR1	9	-0.1408222222222222	-0.4930000000000001	0.3521777777777778	5.475323729879402	8	0.0005907153494493222	0.23879157703783258	
Oncology_II	OID31490	NCR3LG1	Q68D85	PR2-PR1	9	0.3563888888888889	0.04454444444444445	0.31184444444444437	5.18442039704571	8	0.0008382091269045766	0.23879157703783258	
Inflammation	OID20481	IL17D	Q8TAD2	PR2-PR1	8	0.19721249999999999	0.4815375	-0.28432500000000005	-5.767895831299517	7	0.0006857027370450464	0.23879157703783258	
Oncology_II	OID31206	CREBZF	Q9NS37	PR2-PR1	8	-0.4593	-0.9007000000000001	0.4414	5.301983799327109	7	0.001120952047928947	0.26080434368956595	
Oncology	OID21531	MIA	Q16674	PR2-PR1	8	0.7501	0.46911250000000004	0.2809875	5.275252056778349	7	0.0011540015207502918	0.26080434368956595	
Oncology_II	OID31473	PSAPL1	Q6NUJ1	PR2-PR1	9	-0.004155555555555536	-0.4928111111111112	0.48865555555555557	4.786437361418033	8	0.0013792561359891042	0.2701503018357325	
Cardiometabolic_II	OID30235	RNF149	Q8NC42	PR2-PR1	8	0.0009875000000000144	-0.21564999999999998	0.2166375	5.113202939838289	7	0.0013791156329117094	0.2701503018357325	
Neurology	OID21054	CPM	P14384	PR2-PR1	9	-0.2466666666666667	-0.05864444444444445	-0.18802222222222223	-4.6650237774187415	8	0.0016128966930315514	0.2961681552579186	
Cardiometabolic	OID20367	C1QTNF1	Q9BXJ1	PR2-PR1	9	0.40468888888888893	0.5774333333333332	-0.17274444444444445	-4.322151656420443	8	0.0025386930105608663	0.43874588617810734	
Cardiometabolic	OID20059	DUOX2	Q9NRD8	PR2-PR1	8	0.23783749999999998	-0.14604999999999999	0.38388750000000005	4.315247976447101	7	0.003500509867689905	0.5713609995151634	
Inflammation	OID20434	LTO1	Q8WV07	PR2-PR1	8	0.1319125	0.626125	-0.49421249999999994	-3.9716961312716808	7	0.005380632728342993	0.622716542301932	
Oncology	OID21163	RABEPK	Q7Z6M1	PR2-PR1	8	0.195025	-0.230075	0.42510000000000003	4.0373683976245776	7	0.004949344591546945	0.622716542301932	
Oncology_II	OID31273	VPS28	Q9UK41	PR2-PR1	7	-0.001885714285714288	-0.4092857142857142	0.40740000000000004	4.204764391857069	6	0.005655858394655988	0.622716542301932	
Neurology_II	OID31096	PALM2	Q8IXS6	PR2-PR1	9	-0.26049999999999995	-0.6611444444444445	0.40064444444444447	3.761879123853845	8	0.005529453195716849	0.622716542301932	
Oncology_II	OID31422	TADA3	O75528	PR2-PR1	9	-0.18091111111111113	-0.5617111111111112	0.3808	3.8660860912474124	8	0.004767672447893556	0.622716542301932	
Oncology_II	OID31374	SNX2	O60749	PR2-PR1	9	-0.2613666666666667	-0.5731666666666667	0.3118	3.7378804915535695	8	0.005722718394197468	0.622716542301932	
Inflammation	OID20708	LY6D	Q14210	PR2-PR1	9	0.15454444444444446	-0.13631111111111113	0.2908555555555556	3.915053594981578	8	0.004449268652676253	0.622716542301932	
Neurology	OID21106	NOMO1	Q15155	PR2-PR1	9	-0.3356111111111111	-0.16010000000000002	-0.17551111111111112	-3.8417060390311693	8	0.00493523064807877	0.622716542301932	
Neurology	OID21122	CD99L2	Q8TCZ2	PR2-PR1	9	-0.05045555555555556	0.0924888888888889	-0.14294444444444443	-3.962369048073434	8	0.004163190495779512	0.622716542301932	
Oncology	OID21271	FOXO3	O43524	PR2-PR1	8	0.07978749999999998	0.8530125	-0.7732249999999999	-3.5779681672556514	7	0.00900055788320775	0.6610909765216092	
Cardiometabolic_II	OID30104	SCGB2A2	Q13296	PR2-PR1	8	0.1535875	-0.5778625	0.73145	3.707198025732511	7	0.007582745851296924	0.6610909765216092	
Neurology_II	OID30920	GNGT1	P63211	PR2-PR1	7	1.4029857142857145	0.7559428571428571	0.6470428571428571	3.8732901591845406	6	0.008234426791340788	0.6610909765216092	
Inflammation_II	OID30517	TYRP1	P17643	PR2-PR1	8	0.04212499999999999	-0.47912499999999997	0.52125	3.7412309483145822	7	0.007251044760244074	0.6610909765216092	
Inflammation_II	OID30434	ESR1	P03372	PR2-PR1	8	0.0702125	-0.417425	0.4876375	3.6711655509858576	7	0.00795197945410031	0.6610909765216092	
Oncology	OID21462	WFDC12	Q8WWY7	PR2-PR1	9	-0.030166666666666668	-0.45898888888888884	0.42882222222222216	3.4510367863998006	8	0.008681538612911321	0.6610909765216092	
Inflammation_II	OID30463	RELB	Q01201	PR2-PR1	8	-0.46796249999999995	-0.8746500000000001	0.4066875000000001	3.7239675554683673	7	0.007417287805209227	0.6610909765216092	
Oncology_II	OID31493	PSCA	O43653	PR2-PR1	9	-0.051477777777777775	-0.40403333333333324	0.3525555555555555	3.4334054503566125	8	0.00890999052105923	0.6610909765216092	
Oncology	OID21530	LYPD3	O95274	PR2-PR1	8	0.6197625	0.29824999999999996	0.3215125	3.763294036036651	7	0.007044449927158025	0.6610909765216092	
Oncology	OID21456	CRISP2	P16562	PR2-PR1	9	0.07877777777777778	-0.22822222222222216	0.307	3.502043920906493	8	0.008054918235337105	0.6610909765216092	
Oncology_II	OID31515	PALM	O75781	PR2-PR1	9	-0.18543333333333334	-0.47587777777777773	0.2904444444444445	3.4631436047739053	8	0.008528268520284099	0.6610909765216092	
Cardiometabolic	OID20215	DDC	P20711	PR2-PR1	8	-0.07586249999999999	0.15781250000000002	-0.23367499999999997	-3.7720669521143613	7	0.006964087618120285	0.6610909765216092	
Inflammation_II	OID30750	SERPINA1	P01009	PR2-PR1	9	-0.026566666666666666	-0.09663333333333335	0.07006666666666667	3.5557852891529307	8	0.0074463372268984696	0.6610909765216092	
Cardiometabolic_II	OID30136	EDEM2	Q9BV94	PR2-PR1	8	-0.4437375	-1.1151625	0.6714250000000002	3.5354834922310108	7	0.009527425161252046	0.6827213444819148	
Neurology	OID21136	IL7R	P16871	PR2-PR1	9	0.5789000000000001	0.8219222222222222	-0.2430222222222222	-3.33984659210242	8	0.010233490782117105	0.7158570456633346	
Neurology_II	OID30941	PRKAG3	Q9UGI9	PR2-PR1	7	-0.11034285714285717	-0.5015999999999999	0.3912571428571428	3.664424457815525	6	0.010523851259891304	0.7190482558502477	
Neurology	OID21074	NPTX1	Q15818	PR2-PR1	9	0.23678888888888888	0.31884444444444443	-0.08205555555555555	-3.2664786344829277	8	0.011416148587632957	0.7622873761469461	
Cardiometabolic_II	OID30412	TNN	Q9UQP3	PR2-PR1	9	0.0908111111111111	-0.13174444444444447	0.2225555555555555	3.219051202576969	8	0.012256632420926117	0.7828257837539333	
Inflammation	OID20765	CCL22	O00626	PR2-PR1	9	-0.3598222222222222	-0.21211111111111108	-0.14771111111111107	-3.220169493635181	8	0.01223608255794506	0.7828257837539333	
Oncology	OID21178	ATP6AP2	O75787	PR2-PR1	8	-1.2148999999999999	-1.6162375	0.4013374999999999	3.3311347625654264	7	0.012571495905467245	0.7858522334098461	
Cardiometabolic_II	OID30362	CEACAM6	P40199	PR2-PR1	9	0.27690000000000003	-0.1441444444444444	0.42104444444444444	3.168112911429739	8	0.013232210524514398	0.8099215525213187	
Neurology	OID21111	FCRL5	Q96RD9	PR2-PR1	9	-0.7932000000000001	-0.5275333333333334	-0.2656666666666667	-3.112612240400595	8	0.014388527186658173	0.8627243443755451	
Neurology_II	OID30832	HDAC9	Q9UKV0	PR2-PR1	7	0.1462142857142857	-0.4787142857142857	0.6249285714285715	3.3265327315586686	6	0.015874929806789506	0.8637137735619921	
Oncology_II	OID31252	EPN1	Q9Y6I3	PR2-PR1	7	-0.04425714285714287	-0.45031428571428567	0.4060571428571427	3.3509699302891653	6	0.015400855698010085	0.8637137735619921	
Neurology	OID21153	PAMR1	Q6UXH9	PR2-PR1	9	-0.3989666666666667	-0.20573333333333338	-0.19323333333333337	-3.0746016638451623	8	0.015241158838392055	0.8637137735619921	
Neurology	OID21090	CLEC14A	Q86T13	PR2-PR1	9	0.1976888888888889	0.35334444444444446	-0.15565555555555555	-3.050686816455529	8	0.015804539257399774	0.8637137735619921	
Inflammation	OID20654	C1QA	P02745	PR2-PR1	9	0.07551111111111111	0.19303333333333333	-0.11752222222222224	-3.0626995581180365	8	0.015518875098241347	0.8637137735619921	
Inflammation	OID20428	IL33	O95760	PR2-PR1	8	-1.2030124999999998	-0.2727	-0.9303125	-3.004081242323294	7	0.01982734854233925	0.8835744094331471	
Inflammation_II	OID30424	TPSG1	Q9NRR2	PR2-PR1	8	0.18488749999999998	-0.499425	0.6843124999999999	2.983634387508933	7	0.0204095041777812	0.8835744094331471	
Oncology_II	OID31197	SPRING1	Q9H741	PR2-PR1	8	-0.34038749999999995	-0.7410124999999999	0.40062499999999995	2.9688548496804494	7	0.020841566182429272	0.8835744094331471	
Neurology_II	OID30929	CLNS1A	P54105	PR2-PR1	7	0.1830285714285714	-0.20475714285714286	0.38778571428571423	3.244450740573621	6	0.017588355327320615	0.8835744094331471	
Inflammation_II	OID30544	FGF3	P11487	PR2-PR1	8	-0.3562625	0.004500000000000004	-0.3607625	-3.1071093854735574	7	0.017150528606141746	0.8835744094331471	
Oncology_II	OID31509	SPINT3	P49223	PR2-PR1	9	-1.7766	-2.1087000000000007	0.3321000000000001	2.960899974977913	8	0.01812127888327164	0.8835744094331471	
Neurology_II	OID30897	SLC44A4	Q53GD3	PR2-PR1	7	0.09872857142857142	-0.21547142857142854	0.3142	3.0912929586917373	6	0.0213525469944702	0.8835744094331471	
Cardiometabolic	OID20201	REN	P00797	PR2-PR1	8	-0.6990749999999999	-0.9815375	0.28246249999999995	3.0194205692642826	7	0.019402184704609526	0.8835744094331471	
Oncology_II	OID31352	S100A3	P33764	PR2-PR1	9	0.13615555555555553	-0.13155555555555554	0.26771111111111107	2.9804039822234643	8	0.017589565072389846	0.8835744094331471	
Neurology	OID20869	XRCC4	Q13426	PR2-PR1	7	0.16768571428571427	-0.08824285714285714	0.2559285714285714	3.2857730087096506	6	0.016701707238276686	0.8835744094331471	
Oncology_II	OID31170	MUCL3	Q3MIW9	PR2-PR1	8	-0.034900000000000014	0.20168749999999996	-0.23658749999999998	-2.9715001022283496	7	0.02076352925178737	0.8835744094331471	
Neurology	OID21133	FCER2	P06734	PR2-PR1	9	0.07505555555555556	0.30333333333333334	-0.22827777777777777	-2.916095152767436	8	0.01940700945639784	0.8835744094331471	
Oncology	OID21301	FLT1	P17948	PR2-PR1	9	0.10032222222222223	0.27036666666666664	-0.17004444444444444	-2.85701926800708	8	0.021248528118425813	0.8835744094331471	
Inflammation	OID20759	SPON1	Q9HCB6	PR2-PR1	9	-0.2746111111111111	-0.1419	-0.1327111111111111	-2.9322067438911263	8	0.018934087342635797	0.8835744094331471	
Inflammation	OID20735	TNFRSF11B	O00300	PR2-PR1	9	-0.16283333333333333	-0.036100000000000014	-0.12673333333333334	-2.942023079855478	8	0.018651832647654576	0.8835744094331471	
Cardiometabolic	OID20278	DPT	Q07507	PR2-PR1	9	-0.12482222222222222	-0.03883333333333334	-0.08598888888888889	-2.9721489349771533	8	0.01781260253319572	0.8835744094331471	
Oncology	OID21419	CLMP	Q9H6B4	PR2-PR1	9	-0.11441111111111112	-0.19313333333333332	0.07872222222222224	2.8638173861764673	8	0.02102769978245944	0.8835744094331471	
Inflammation	OID20427	IL1B	P01584	PR2-PR1	8	-1.2084499999999998	-0.58185	-0.6265999999999999	-2.8768241198425457	7	0.023759143613119704	0.9473726023854099	
Neurology	OID21116	IL1R1	P14778	PR2-PR1	9	0.033877777777777784	0.17094444444444445	-0.1370666666666667	-2.79861838311847	8	0.023247303656752205	0.9473726023854099	
Neurology	OID21108	CD109	Q6YHK3	PR2-PR1	9	0.005244444444444437	0.10053333333333334	-0.0952888888888889	-2.781706020644772	8	0.02386166527451339	0.9473726023854099	
Cardiometabolic_II	OID30189	VSIG10L	Q86VR7	PR2-PR1	8	1.0503250000000002	0.2341625	0.8161624999999999	2.8486529949112005	7	0.024736103488941286	0.9519240253519659	
Oncology	OID21260	ENTPD2	Q9Y5L3	PR2-PR1	8	-0.053887500000000005	-0.40331249999999996	0.34942499999999993	2.8426887682929083	7	0.024948315164091683	0.9519240253519659	
Cardiometabolic_II	OID30228	PECR	Q9BY49	PR2-PR1	8	0.4011625	0.1474625	0.2537	2.857906582579308	7	0.024410607870345213	0.9519240253519659	
Inflammation	OID20604	GZMB	P10144	PR2-PR1	7	-0.40698571428571434	-0.16187142857142858	-0.24511428571428576	-2.941389369900736	6	0.025900867583434017	0.9755993456426814	
Inflammation_II	OID30472	IL36A	Q9UHA7	PR2-PR1	8	-0.3555625	-0.8629749999999999	0.5074125	2.8021428736938954	7	0.026442699463494312	0.9834006458702061	
Oncology_II	OID31213	RASGRF1	Q13972	PR2-PR1	8	0.23601250000000001	-0.7667250000000001	1.0027375	2.647233457527167	7	0.03307425340375936	0.9842075368270395	
Neurology	OID20824	LIF	P15018	PR2-PR1	7	-0.5209	0.12581428571428574	-0.6467142857142857	-2.9021808055841696	6	0.027256836000384643	0.9842075368270395	
Neurology_II	OID30830	DCUN1D1	Q96GG9	PR2-PR1	7	-0.6267428571428572	-1.2297857142857143	0.6030428571428572	2.819916327037393	6	0.030357494048571354	0.9842075368270395	
Inflammation_II	OID30534	DEFB103A_DEFB103B	P81534	PR2-PR1	8	-1.5834125000000001	-1.0198	-0.5636125	-2.640726495100878	7	0.0333882349991701	0.9842075368270395	
Inflammation_II	OID30569	AFAP1	Q8N556	PR2-PR1	8	0.48152500000000004	1.026525	-0.5449999999999999	-2.5859461996184683	7	0.03615767542093584	0.9842075368270395	
Oncology	OID21242	GSTA3	Q16772	PR2-PR1	8	-0.898225	-0.3998125	-0.4984125	-2.6511188208602925	7	0.03288823982513489	0.9842075368270395	
Cardiometabolic_II	OID30279	BPIFA2	Q96DR5	PR2-PR1	8	-0.9720249999999999	-0.5233249999999999	-0.44870000000000004	-2.58553820364614	7	0.03617917426049022	0.9842075368270395	
Cardiometabolic_II	OID30171	UHRF2	Q96PU4	PR2-PR1	8	-0.2129375	-0.66055	0.4476125	2.5952163824243364	7	0.03567275057929331	0.9842075368270395	
Inflammation	OID20447	RABGAP1L	Q5R372	PR2-PR1	8	0.2082	0.653975	-0.445775	-2.603533088429458	7	0.03524344732321083	0.9842075368270395	
Cardiometabolic_II	OID30130	ABRAXAS2	Q15018	PR2-PR1	8	0.09105	-0.3541	0.44515000000000005	2.58709663949324	7	0.03609712577312174	0.9842075368270395	
Oncology	OID21516	PPY	P01298	PR2-PR1	8	-0.4546	-0.8721625	0.41756249999999995	2.7076524763641485	7	0.030301711091239136	0.9842075368270395	
Cardiometabolic_II	OID30118	ATP1B2	P14415	PR2-PR1	8	0.147225	-0.21585	0.363075	2.6812638645989217	7	0.03148156390712442	0.9842075368270395	
Oncology_II	OID31410	PCSK7	Q16549	PR2-PR1	9	-0.4219777777777778	-0.08178888888888888	-0.3401888888888889	-2.5272521996769908	8	0.03540661358285835	0.9842075368270395	
Cardiometabolic	OID20214	SFTPD	P35247	PR2-PR1	8	-0.33840000000000003	-0.03957500000000001	-0.29882499999999995	-2.634427330534516	7	0.033695146331973236	0.9842075368270395	
Oncology_II	OID31160	MORF4L2	Q15014	PR2-PR1	8	-0.493475	-0.2027125	-0.29076250000000003	-2.6043489009197898	7	0.035201625532915504	0.9842075368270395	
Cardiometabolic_II	OID30299	MMP15	P51511	PR2-PR1	9	0.5110777777777777	0.22161111111111112	0.28946666666666665	2.643761045307273	8	0.029540400252073162	0.9842075368270395	
Neurology_II	OID30810	TSPAN7	P41732	PR2-PR1	7	-0.1788285714285714	-0.4425285714285714	0.26369999999999993	2.7394404336126232	6	0.03376072998282997	0.9842075368270395	
Cardiometabolic_II	OID30093	BRD3	Q15059	PR2-PR1	8	-0.4051875	-0.14498750000000002	-0.2602	-2.779568559821051	7	0.02731520553388722	0.9842075368270395	
Inflammation_II	OID30748	ADIPOQ	Q15848	PR2-PR1	9	0.22547777777777775	-0.032066666666666674	0.2575444444444444	2.624771070753989	8	0.03042420206064511	0.9842075368270395	
Neurology	OID21139	ITGA5	P08648	PR2-PR1	9	-0.7218111111111111	-0.4830444444444445	-0.23876666666666668	-2.5275780885911576	8	0.035388649744979794	0.9842075368270395	
Inflammation	OID20438	LRRN1	Q6UXK5	PR2-PR1	8	-0.33826249999999997	-0.101025	-0.23723750000000002	-2.670835848829476	7	0.03196093732734395	0.9842075368270395	
Neurology	OID20980	OBP2B	Q9NPH6	PR2-PR1	8	0.4900375	0.2934375000000001	0.1966	2.593042804154235	7	0.03578584177023747	0.9842075368270395	
Inflammation_II	OID30741	AFM	P43652	PR2-PR1	9	-0.029611111111111105	-0.2089888888888889	0.17937777777777775	2.538665808326356	8	0.034782948645645906	0.9842075368270395	
Oncology	OID21377	GALNT7	Q86SF2	PR2-PR1	9	0.13203333333333334	0.31093333333333334	-0.17889999999999998	-2.625341224127432	8	0.030397277237162568	0.9842075368270395	
Neurology	OID21132	GNLY	P22749	PR2-PR1	9	-0.228	-0.06517777777777778	-0.1628222222222222	-2.5651359744125495	8	0.033379177775706426	0.9842075368270395	
