panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Oncology	OID21407	KLK14	Q9P0G3	PR2-PR1	9	0.6607333333333334	0.20162222222222223	0.4591111111111111	8.465858793745422	8	0.000028990600202671857	0.08517438339544992	
Oncology	OID21192	FEN1	P39748	PR2-PR1	7	-0.587342857142857	-0.9363857142857144	0.3490428571428571	9.505379719791662	6	0.00007729121605581923	0.11354079638599845	
Inflammation	OID20712	DNER	Q8NFT8	PR2-PR1	9	0.1666777777777778	-0.3613111111111111	0.527988888888889	6.111576274824752	8	0.0002858042827569296	0.16793859654797183	
Neurology	OID21096	CA6	P23280	PR2-PR1	9	1.5179888888888893	1.0583666666666665	0.45962222222222227	6.514254253760691	8	0.0001853015347907938	0.16793859654797183	
Cardiometabolic	OID20098	THPO	P40225	PR2-PR1	8	-0.1149375	0.22644999999999998	-0.34138749999999995	-6.822618670554091	7	0.0002480615853603929	0.16793859654797183	
Oncology	OID21171	CEACAM5	P06731	PR2-PR1	7	0.571342857142857	-0.3272285714285714	0.8985714285714286	6.823258496584364	6	0.0004863470645430912	0.17861095945345024	
Cardiometabolic	OID20087	MMP7	P09237	PR2-PR1	8	3.6648125	3.1616875	0.5031249999999998	6.13126292259633	7	0.00047620994321428967	0.17861095945345024	
Oncology_II	OID31490	NCR3LG1	Q68D85	PR2-PR1	9	0.4202666666666666	0.08552222222222221	0.3347444444444444	5.784105999409994	8	0.00041257749660661425	0.17861095945345024	
Cardiometabolic_II	OID30235	RNF149	Q8NC42	PR2-PR1	9	-0.011600000000000003	-0.21912222222222222	0.20752222222222225	5.395644652877847	8	0.0006493838895222925	0.21198776304627728	
Neurology_II	OID30915	CADPS	Q9ULU8	PR2-PR1	7	0.5242571428571429	-0.04214285714285714	0.5664	6.087253904047043	6	0.0008940460678747986	0.22363767692174852	
Oncology_II	OID31177	MAPRE3	Q9UPY8	PR2-PR1	8	-0.2400625	-0.7182249999999999	0.4781625	5.536245262395047	7	0.000872467881853245	0.22363767692174852	
Oncology	OID21531	MIA	Q16674	PR2-PR1	8	0.73315	0.41995000000000005	0.3132	5.4176977375904976	7	0.0009895472430165864	0.22363767692174852	
Cardiometabolic	OID20367	C1QTNF1	Q9BXJ1	PR2-PR1	9	0.4933111111111111	0.6798555555555554	-0.1865444444444444	-5.056720925537638	8	0.0009810325963106603	0.22363767692174852	
Oncology	OID21522	ITGB5	P18084	PR2-PR1	8	-0.9135875	-0.655475	-0.25811249999999997	-5.147968957678851	7	0.001326985044970641	0.278477290151696	
Oncology_II	OID31509	SPINT3	P49223	PR2-PR1	9	-0.9695777777777776	-1.3671222222222223	0.3975444444444446	4.450023225313699	8	0.002139234020961389	0.418780013251959	
Neurology	OID21133	FCER2	P06734	PR2-PR1	9	0.049833333333333334	0.32851111111111114	-0.27867777777777775	-4.402007839037898	8	0.002280626348547088	0.418780013251959	
Cardiometabolic_II	OID30130	ABRAXAS2	Q15018	PR2-PR1	8	0.0897875	-0.2068375	0.296625	4.540611447395858	7	0.002665751229635971	0.46070453603944017	
Oncology	OID21506	SNAP29	O95721	PR2-PR1	8	1.17735	2.0002125	-0.8228625	-4.454301757433889	7	0.0029562744574032074	0.4825296864361458	
Oncology_II	OID31520	JPT2	Q9H910	PR2-PR1	9	-0.2778777777777777	0.27931111111111107	-0.5571888888888887	-4.158839000291006	8	0.003170262886676767	0.4902227558450706	
Neurology	OID20993	TBCB	Q99426	PR2-PR1	8	1.1244125	2.3583125000000003	-1.2339	-4.078580574566689	7	0.0046980865737245026	0.5579606504263177	
Neurology	OID20942	TBCC	Q15814	PR2-PR1	8	0.21535000000000004	0.9286374999999999	-0.7132875	-4.031308652126743	7	0.00498751299632838	0.5579606504263177	
Neurology	OID20921	ABHD14B	Q96IU4	PR2-PR1	8	-1.8995125	-1.195325	-0.7041875000000001	-4.230292636773513	7	0.0038867206121850906	0.5579606504263177	
Oncology	OID21513	MSRA	Q9UJ68	PR2-PR1	8	-0.5265624999999999	0.0118375	-0.5384	-3.953477230544175	7	0.005507440048455825	0.5579606504263177	
Oncology_II	OID31493	PSCA	O43653	PR2-PR1	9	-0.15906666666666672	-0.5379666666666666	0.3789	3.8376878035856503	8	0.004963447321143288	0.5579606504263177	
Neurology_II	OID31096	PALM2	Q8IXS6	PR2-PR1	9	-0.30416666666666664	-0.6819222222222223	0.3777555555555556	3.7853498284624862	8	0.005347173881516065	0.5579606504263177	
Oncology	OID21530	LYPD3	O95274	PR2-PR1	8	0.8000249999999999	0.433825	0.36619999999999997	3.987829383859393	7	0.0052710016270378635	0.5579606504263177	
Inflammation	OID20765	CCL22	O00626	PR2-PR1	9	-0.40258888888888894	-0.22711111111111112	-0.17547777777777773	-3.7866214833657663	8	0.00533748317584104	0.5579606504263177	
Oncology	OID21451	EDA2R	Q9HAV5	PR2-PR1	9	0.28123333333333345	0.10895555555555556	0.1722777777777778	3.805987224484547	8	0.005192204354143692	0.5579606504263177	
