comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	4	0.06313216309728295	3.2024888888888894
PT1-PR1	Cardiometabolic_II	367	0	0	1	0.06313216309728295	0.9502444444444443
PT1-PR1	Inflammation	367	0	3	9	0.01571643509508907	1.0970333333333333
PT1-PR1	Inflammation_II	369	0	0	1	0.06313216309728295	1.3072857142857142
PT1-PR1	Neurology	367	0	6	11	0.003318477631888417	2.0448444444444447
PT1-PR1	Neurology_II	367	0	2	4	0.007269952397625623	1.5553142857142856
PT1-PR1	Oncology	366	0	0	5	0.06313216309728295	1.1751
PT1-PR1	Oncology_II	368	0	1	2	0.01571643509508907	1.7294000000000005
PR2-PR1	Cardiometabolic	367	0	0	0	0.14129167237602386	1.7586888888888887
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.41123907061574744	0.8541375
PR2-PR1	Inflammation	367	0	0	0	0.18614805254062117	1.213975
PR2-PR1	Inflammation_II	369	0	0	0	0.6712508676869622	1.6053125
PR2-PR1	Neurology	367	0	0	0	0.14129167237602386	1.0983857142857143
PR2-PR1	Neurology_II	367	0	0	0	0.431789363202363	2.007114285714286
PR2-PR1	Oncology	366	0	1	3	0.028059663615351393	0.8374714285714286
PR2-PR1	Oncology_II	368	0	0	0	0.2590665749978221	1.5163999999999997
PT2-PT1	Cardiometabolic	367	0	1	1	0.03079045457504148	1.14965
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.11444457418308307	1.001625
PT2-PT1	Inflammation	367	0	1	1	0.03079045457504148	1.4956222222222222
PT2-PT1	Inflammation_II	369	0	0	0	0.44634154922841746	3.3206499999999997
PT2-PT1	Neurology	367	0	0	1	0.08529806398099653	0.9065666666666667
PT2-PT1	Neurology_II	367	0	0	0	0.38297775598774964	1.2019874999999998
PT2-PT1	Oncology	366	0	0	0	0.11444457418308307	1.2532999999999996
PT2-PT1	Oncology_II	368	0	0	0	0.4390626996240392	1.8581000000000003
PT2-PR2	Cardiometabolic	367	0	3	7	0.03836669551364233	4.605166666666666
PT2-PR2	Cardiometabolic_II	367	0	2	2	0.00974636566275322	1.8849571428571428
PT2-PR2	Inflammation	367	0	2	5	0.01496416489617347	2.0417571428571426
PT2-PR2	Inflammation_II	369	0	0	1	0.08939027383350273	1.9587777777777775
PT2-PR2	Neurology	367	0	2	8	0.01231229328694794	2.4137000000000004
PT2-PR2	Neurology_II	367	0	1	3	0.026768483149263278	1.8051555555555556
PT2-PR2	Oncology	366	0	2	5	0.014824154164436868	1.9242624999999998
PT2-PR2	Oncology_II	368	0	0	3	0.07422402123598663	1.9246666666666665
