platform	assay_id	uniprot	gene_symbol	panel	panel_lot
olink_explore_ngs	OID20049	P16860	NPPB	Cardiometabolic	B04413
olink_explore_ngs	OID20050	P19429	TNNI3	Cardiometabolic	B04413
olink_explore_ngs	OID20051	P61978	HNRNPK	Cardiometabolic	B04413
olink_explore_ngs	OID20052	P17676	CEBPB	Cardiometabolic	B04413
olink_explore_ngs	OID20053	P08670	VIM	Cardiometabolic	B04413
olink_explore_ngs	OID20054	O96017	CHEK2	Cardiometabolic	B04413
olink_explore_ngs	OID20055	P34998	CRHR1	Cardiometabolic	B04413
olink_explore_ngs	OID20056	Q969D9	TSLP	Cardiometabolic	B04413
olink_explore_ngs	OID20057	P55082	MFAP3	Cardiometabolic	B04413
olink_explore_ngs	OID20058	O95988	TCL1B	Cardiometabolic	B04413
olink_explore_ngs	OID20059	Q9NRD8	DUOX2	Cardiometabolic	B04413
olink_explore_ngs	OID20061	Q16619	CTF1	Cardiometabolic	B04413
olink_explore_ngs	OID20062	P17516	AKR1C4	Cardiometabolic	B04413
olink_explore_ngs	OID20063	Q9NRV9	HEBP1	Cardiometabolic	B04413
olink_explore_ngs	OID20064	P36952	SERPINB5	Cardiometabolic	B04413
olink_explore_ngs	OID20065	P52789	HK2	Cardiometabolic	B04413
olink_explore_ngs	OID20066	P34947	GRK5	Cardiometabolic	B04413
olink_explore_ngs	OID20067	Q96N03	VSTM2L	Cardiometabolic	B04413
olink_explore_ngs	OID20068	P31483	TIA1	Cardiometabolic	B04413
olink_explore_ngs	OID20069	Q9Y2B0	CNPY2	Cardiometabolic	B04413
olink_explore_ngs	OID20070	O43186	CRX	Cardiometabolic	B04413
olink_explore_ngs	OID20071	O95183	VAMP5	Cardiometabolic	B04413
olink_explore_ngs	OID20072	Q6UWL2	SUSD1	Cardiometabolic	B04413
olink_explore_ngs	OID20073	Q9UKL0	RCOR1	Cardiometabolic	B04413
olink_explore_ngs	OID20074	P01375	TNF	Cardiometabolic	B04413
olink_explore_ngs	OID20075	P35218	CA5A	Cardiometabolic	B04413
olink_explore_ngs	OID20076	P51161	FABP6	Cardiometabolic	B04413
olink_explore_ngs	OID20077	Q15831	STK11	Cardiometabolic	B04413
olink_explore_ngs	OID20078	O60635	TSPAN1	Cardiometabolic	B04413
olink_explore_ngs	OID20079	P62736	ACTA2	Cardiometabolic	B04413
