Assay,late-early
ANG,0.04886892297292566
ANGPTL3,0.2214576145620716
AOC3,-0.06942986071193907
APOM,0.22651312337527918
C1QTNF1,-0.5174158095976723
CA1,0.025538181508431197
CA3,-0.4426670454996051
CA4,-0.09750411168290314
CCL14,0.2032809239683356
CCL18,0.5050406742550126
CCL5,-0.07424035110556436
CD46,0.040636262680987606
CD59,-0.05840783347518289
CDH1,0.09478273025627224
CES1,0.48359733439359065
CFHR5,-0.16215514761220912
CHL1,-0.0121150285150301
CNDP1,-0.1868547327417016
COL18A1,0.11004226712302256
COMP,-0.3920578147394536
CR2,0.3663070956441916
CRTAC1,0.08272112819744268
CST3,-0.14721126219117206
DEFA1,-0.16275985678452673
DPP4,-0.0365209808356945
EFEMP1,-0.1671777651602451
ENG,-0.035309220455952424
F7,-0.1267717080424466
FAP,-0.03556825040240675
FCGR2A,0.11788203858240924
FCGR3B,-0.011876732803347213
FCN2,0.5003652069084433
FETUB,-0.04949219127975481
GAS6,-0.23377191910887601
GNLY,-0.18119212482688418
GP1BA,0.10248734194204588
ICAM1,0.19990169164253033
ICAM3,-0.11281125499125792
IGFBP3,-0.10829564435600242
IGFBP6,-0.13435614613514196
IGLC2,-0.02040260080450023
IL7R,0.07753436411991022
ITGAM,-0.11556153296167769
KIT,-0.05873017632860501
LCN2,0.13640542459651392
LILRB1,-0.2201231987612563
LILRB2,-0.04889773188348864
LILRB5,0.3615216001346236
LTBP2,-0.3486914936265021
LYVE1,0.16517787761306885
MBL2,0.2779845790380478
MEGF9,-0.05368721495245564
MET,-0.13588372586259242
MFAP5,0.08909593967833218
NCAM1,-0.1377220363481846
NID1,-0.7027021751265004
NOTCH1,-0.14752129078119144
NRP1,0.2028077931854916
OSMR,-0.016904425053817753
PAM,-0.15478652700025852
PCOLCE,0.3209328967707208
PLA2G7,0.042374794138863726
PLTP,0.11369576408088
PLXNB2,-0.23495366108069454
PRCP,0.2783436606367377
PROC,0.32537136756097984
PRSS2,0.32132616940625197
PTPRS,0.08408884717689764
QPCT,0.002108375934720975
REG1A,-0.01965240419276095
REG3A,0.46085073522727665
SAA4,-0.22127544035301752
SELL,-0.11261590809256504
SERPINA5,0.4829191997947411
SERPINA7,-0.20242196638420126
SOD1,-0.035572942187615135
SPARCL1,-0.016145616417488923
ST6GAL1,-0.5420933107972613
TCN2,-0.921887416136746
TGFBI,-0.11188149242662701
TGFBR3,0.12441330214696072
THBS4,-0.7414718730001234
TIE1,0.05572074306394387
TIMD4,0.10243210533774771
TIMP1,-0.07906873696216238
TNC,-0.06070993461916793
TNXB,-0.014322251291478624
UMOD,-0.038498053913387585
VASN,0.09975723231152576
VCAM1,-0.42844468345315334
