Assay,late-early
ALCAM,0.2963705497767459
AP-N,0.13982979366537748
AXL,0.2535870126943172
AZU1,-0.4360625172404374
BLM hydrolase,-0.03372749903589352
CASP-3,-0.21292668383739624
CCL15,0.040616571580285296
CCL16,1.0760251418772464
CCL24,1.5700876175924208
CD163,0.19721552727980174
CD93,0.06009254109943373
CDH5,0.16875488135176112
CHI3L1,0.10196891380460528
CHIT1,0.4835197618239863
CNTN1,0.14055935758978336
COL1A1,0.06531991318512992
CPA1,0.20886776537623022
CPB1,-0.09006678933144507
CSTB,0.2427540999280237
CTSD,-0.04490985367040926
CTSZ,-0.19624758654894686
CXCL16,0.02926642023159286
DLK-1,-0.014891645925468858
EGFR,-0.0173534140240576
EPHB4,-0.10810669625986918
Ep-CAM,0.3072158341730145
FABP4,0.5210547721945814
FAS,0.14454286221325638
GDF-15,-0.5472275879114016
GP6,0.15663229071186183
GRN,-0.619887119849231
Gal-3,0.08078919945385522
Gal-4,-0.09240790976725712
ICAM-2,0.006817736858402197
IGFBP-1,-0.8922053106614682
IGFBP-2,-0.1078081313062194
IGFBP-7,0.21767662613749114
IL-17RA,0.08227019196109582
IL-18BP,-0.2087032398864867
IL-1RT1,0.1294002353483848
IL-1RT2,0.21055293925573834
IL-6RA,0.13323189139065494
IL2-RA,0.34151012464501795
ITGB2,0.21952062442544557
JAM-A,0.06581397485152053
KLK6,-0.05686088127089958
LDL receptor,-0.19031840733489538
LTBR,0.05985206812290394
MB,-0.4386049427501825
MEPE,-0.01677264785134143
MMP-2,0.31961620433402066
MMP-3,0.391801467742344
MMP-9,0.04248161045624813
MPO,-0.30356538600858063
Notch 3,-0.1031287107125315
OPN,-0.07776437891505308
PAI,-0.39524849980267984
PCSK9,-0.2383476867975521
PDGF subunit A,0.05346837986896897
PECAM-1,0.06339344852114545
PGLYRP1,0.0016507923589976728
PI3,0.13333511292479833
PLC,0.03836091240710809
PON3,-0.07262900449969009
PRTN3,-0.3462365502299981
PSP-D,0.8808249256197885
RARRES2,0.001455243411493521
RETN,-0.19357610139846246
SCGB3A2,0.15192173116101584
SELE,0.14517373077666224
SELP,0.259797097566203
SHPS-1,0.15661415844047838
SPON1,0.11581227508336571
ST2,-0.3567953953000041
TFPI,-0.07097587410850784
TIMP4,0.5553382466154647
TLT-2,0.25674576572667007
TNF-R1,0.09913461111072536
TNF-R2,0.1363674438141682
TNFRSF10C,0.5665456371250364
TNFRSF14,0.26061855796858396
TNFSF13B,-1.0094041037934436
TR,-0.1897240999755945
TR-AP,-0.05085195358936772
U-PAR,0.5731879212221408
t-PA,-0.8553601906941973
vWF,-0.11379148341792204
