panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	23	10.973535652173915	12.85394217391304	-1.8804065217391301	-8.536086559498735	22	0.0000000197819205460803	0.000005479488395021548	
CM	OID_gisby_00054	TCN2	P20062	late-early	23	5.032290434782609	5.866296086956522	-0.8340056521739132	-8.078902543630232	22	0.00000005013767889749943	0.000005479488395021548	
IR	OID_gisby_00432	LAG3	P18627	late-early	23	3.6761265217391297	4.39822652173913	-0.7221	-8.07762081895969	22	0.00000005027053573414264	0.000005479488395021548	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	23	5.021484782608695	4.452554782608696	0.5689299999999999	8.113547518305506	22	0.00000004668045039402102	0.000005479488395021548	
CVD3	OID_gisby_00190	GRN	P28799	late-early	23	5.773654782608696	6.382648695652174	-0.6089939130434784	-7.550110198516436	22	0.00000015220260540793618	0.000011723523109482178	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	23	4.354801304347827	3.9486000000000003	0.40620130434782614	7.522851255150356	22	0.0000001613328868277364	0.000011723523109482178	
In	OID_gisby_00337	MCP-2	P80075	late-early	23	9.493899565217392	11.002110869565218	-1.5082113043478262	-7.207597191856734	22	0.0000003187571195883976	0.000019854014877220193	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	23	5.7266200000000005	4.1304678260869565	1.5961521739130435	7.091123208302099	22	0.0000004113134746130953	0.000022416584366413694	
IR	OID_gisby_00427	DDX58	O95786	late-early	23	3.278262608695652	4.988841739130435	-1.7105791304347822	-6.731001843785028	22	0.0000009148716895168718	0.000044320450736595125	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	23	3.5939330434782617	4.275900869565218	-0.6819678260869564	-6.630651189980269	22	0.0000011465667220100784	0.00004999030907963942	
CM	OID_gisby_00040	NID1	P14543	late-early	23	4.488347826086956	5.111849130434782	-0.6235013043478258	-6.55363931925034	22	0.0000013646213992135614	0.00005408863000519207	
