Assay,late-early
AREG,-0.10636798711870893
ARNT,-0.12396222355223617
BACH1,-0.5143173868394884
BTN3A2,-0.5124657448198445
CCL11,0.17860802967412648
CD28,0.34259093382024214
CD83,0.24330913225765743
CDSN,-0.04411731747257416
CKAP4,-0.6403887007748125
CLEC4A,0.1793411938022958
CLEC4C,-0.4440299194815487
CLEC4D,-0.1351908812262469
CLEC4G,-0.13478140549454945
CLEC6A,-0.5766504393536657
CLEC7A,0.23720024214942453
CNTNAP2,0.20976917994549973
CXADR,0.030414595621177043
CXCL12,-0.07396584107311367
DAPP1,-0.3958868787100687
DCBLD2,0.1330251881637627
DCTN1,-0.15878167131766074
DDX58,-1.8023619230695882
DFFA,-0.6104958662995825
DGKZ,-0.19717707351300978
DPP10,0.05226219691983263
EDAR,-0.06787231371258061
EGLN1,-0.07095189624732226
EIF4G1,-0.21846492903264694
EIF5A,0.023244580749979992
FAM3B,0.057442042370279604
FCRL3,0.06234666214227503
FCRL6,-0.1888173407614748
FGF2,0.15412869158081668
FXYD5,0.04587465119260483
GALNT3,-0.3501602912426415
GLB1,-0.5251228122310377
HCLS1,-0.44538127362470514
HEXIM1,-0.5653159352151734
HNMT,-0.7526272068271834
HSD11B1,-0.19846267682975732
IFNLR1,-0.08477551499531093
IL12RB1,-0.3757982021641726
IRAK1,-0.07083549361865349
IRAK4,-0.34509015226686096
IRF9,-0.9119898504368653
ITGA11,-0.1820462958347622
ITGA6,-0.11060932464622361
ITGB6,0.3431818425252974
ITM2A,0.0023406298706380594
JUN,-0.2441218023176535
KLRD1,-0.0657772924475951
KPNA1,-0.23821715101613025
KRT19,-1.3228064436921174
LAG3,-0.6939742542875708
LAMP3,-0.0512063780363791
LILRB4,-0.4846719568655529
LY75,0.005159298468879649
MASP1,0.018388967330232698
MGMT,0.06870036267103487
MILR1,-0.008963580701811427
NCR1,-0.08002205004680739
NF2,-0.45774703592947436
NFATC3,0.9529193946338507
NTF4,0.03371265316171459
PADI2,-0.3128901569852213
PIK3AP1,-0.43669806825212093
PLXNA4,0.008825629993433977
PPP1R9B,-0.1473027163505887
PRDX1,-0.719847784447345
PRDX3,-0.3971219776611918
PRDX5,-0.43442646623193437
PRKCQ,-0.28728257184374184
PSIP1,-0.5971506658618062
PTH1R,0.36576104874008786
SH2B3,-0.10458698331315407
SH2D1A,0.17596494674708588
SIT1,0.18466674181659343
SPRY2,-0.5564833031480213
SRPK2,-0.6222393742569067
STC1,-0.16093125225096033
TANK,-0.2901368344330081
TPSAB1,-0.04942113391247598
TRAF2,-0.18700097056124848
TREM1,0.16865860462184123
TRIM21,-1.1556843538474044
TRIM5,-0.49170556670920085
ZBTB16,-0.11779390996988508
