module	contrast	n_samples_a	n_samples_b	n_genes	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
module_01	late-early	23	23	77	5.006556973461322	5.146737396950876	-0.14018042348955442	-0.9669521725256173	22	0.34407836308534145	0.5161175446280122	
module_02	late-early	23	23	49	5.45490131322094	5.310458411712511	0.14444290150842923	2.578349406007306	22	0.017147331714596925	0.04286832928649231	
module_03	late-early	23	23	40	5.021769695652173	5.186637902173913	-0.1648682065217392	-3.2138982467908117	22	0.003998907527191786	0.01705262973288907	
module_04	late-early	23	23	37	5.79977454759107	6.074315652173914	-0.27454110458284314	-4.348698754946746	22	0.00025741789902311574	0.001930634242673368	
module_05	late-early	23	23	36	6.889150024154588	6.890502850241545	-0.0013528260869557012	-0.023532747933286646	22	0.9814374630837184	0.9814374630837184	
module_06	late-early	23	23	32	5.048724633152174	4.991351888586957	0.05737274456521719	1.0136575847888132	22	0.3217653077716178	0.5161175446280122	
module_07	late-early	23	23	25	5.979641460869564	6.018018660869565	-0.038377199999999646	-0.751264491625826	22	0.4604549653009671	0.5312941907318851	
module_08	late-early	23	23	24	6.468583115942029	6.526953949275364	-0.058370833333333615	-0.75820629250513	22	0.45637356506394133	0.5312941907318851	
module_09	late-early	23	23	24	6.0679855615942015	5.816028097826088	0.2519574637681161	3.1592881714202976	22	0.004547367928770418	0.01705262973288907	
module_10	late-early	23	23	22	6.408512173913044	6.454589367588934	-0.046077193675889104	-0.8134714698638479	22	0.42466483707853553	0.5312941907318851	
module_11	late-early	23	23	16	6.3260468478260865	6.620131548913043	-0.2940847010869566	-2.9886726140733493	22	0.006769935514719494	0.020309806544158482	
module_12	late-early	23	23	16	4.960741847826086	5.146262010869566	-0.1855201630434781	-1.3136543455185112	22	0.2024978079961235	0.4339238742774075	
module_13	late-early	23	23	15	5.105013275362319	4.97858168115942	0.1264315942028987	1.2227553954653045	22	0.23435996566467132	0.4394249356212587	
module_14	late-early	23	23	14	6.219014875776398	6.681478167701862	-0.4624632919254658	-5.342801522084662	22	0.0000230654304920197	0.0003459814573802955	
module_15	late-early	23	23	8	4.1945556521739125	4.225424402173912	-0.030868749999999934	-0.6235207522903133	22	0.5393538328408147	0.5778791066151586	
