module	gene_symbol
module_01	4E-BP1
module_01	ADA
module_01	ANGPT1
module_01	AXIN1
module_01	BACH1
module_01	BLM hydrolase
module_01	CA1
module_01	CASP-3
module_01	CASP-8
module_01	CCL5
module_01	CD244
module_01	CD40-L
module_01	CD84
module_01	CXCL1
module_01	CXCL11
module_01	CXCL5
module_01	CXCL6
module_01	DAPP1
module_01	DCTN1
module_01	DDX58
module_01	DECR1
module_01	DFFA
module_01	Dkk-1
module_01	EGLN1
module_01	EIF4G1
module_01	EN-RAGE
module_01	FGF2
module_01	FXYD5
module_01	GLB1
module_01	GLO1
module_01	GP6
module_01	HCLS1
module_01	HEXIM1
module_01	IL-1 alpha
module_01	IL16
module_01	IL2
module_01	IL7
module_01	IRAK1
module_01	IRAK4
module_01	IRF9
module_01	ITGA6
module_01	ITGB1BP2
module_01	JAM-A
module_01	KPNA1
module_01	LAP TGF-beta-1
module_01	MARCO
module_01	MCP-4
module_01	MGMT
module_01	MMP-1
module_01	NEMO
module_01	NF2
module_01	PAI
module_01	PDGF subunit A
module_01	PDGF subunit B
module_01	PECAM-1
module_01	PIK3AP1
module_01	PLXNA4
module_01	PPP1R9B
module_01	PRDX1
module_01	PRDX3
module_01	PRDX5
module_01	PRKCQ
module_01	PSIP1
module_01	SELP
module_01	SH2B3
module_01	SIRT2
module_01	SORT1
module_01	SPRY2
module_01	SRPK2
module_01	ST1A1
module_01	STK4
module_01	TANK
module_01	TGM2
module_01	TRAF2
module_01	TRIM21
module_01	TRIM5
module_01	ZBTB16
module_02	ALCAM
module_02	AOC3
module_02	AP-N
module_02	AXL
module_02	CD163
module_02	CD5
module_02	CLEC4A
module_02	CLEC7A
module_02	CR2
module_02	CXCL16
module_02	DPP10
module_02	DPP4
module_02	Ep-CAM
module_02	FAP
module_02	FCGR2A
module_02	FGF-21
module_02	FGF-23
module_02	GAS6
module_02	Gal-3
module_02	Gal-4
module_02	ICAM1
module_02	IGFBP-7
module_02	IL-15RA
module_02	IL-17RA
module_02	IL-1RT2
module_02	IL2-RA
module_02	IL7R
module_02	ITGB2
module_02	LEP
module_02	LYVE1
module_02	MASP1
module_02	MMP-10
module_02	MMP-2
module_02	MMP-3
module_02	OSMR
module_02	PTPRS
module_02	REG3A
module_02	SCGB3A2
module_02	SELE
module_02	SERPINA5
module_02	SHPS-1
module_02	SPARCL1
module_02	TGFBR3
module_02	TIMP4
module_02	TLT-2
module_02	TNFRSF10C
module_02	TNFRSF9
module_02	TNXB
module_02	VASN
module_03	BTN3A2
module_03	Beta-NGF
module_03	CA4
module_03	CDH5
module_03	CHL1
module_03	CKAP4
module_03	CXADR
module_03	CXCL12
module_03	DLK-1
module_03	ENG
module_03	GALNT3
module_03	ICAM3
module_03	IGLC2
module_03	IL12RB1
module_03	ITM2A
module_03	IgG Fc receptor II-b
module_03	KRT19
module_03	LILRB1
module_03	LILRB2
module_03	LILRB4
module_03	MBL2
module_03	MERTK
module_03	NCR1
module_03	NFATC3
module_03	NID1
module_03	NTF4
module_03	OPN
module_03	PADI2
module_03	PAM
module_03	PD-L2
module_03	PGF
module_03	PLXNB2
module_03	QPCT
module_03	SOD2
module_03	SRC
module_03	ST6GAL1
module_03	TM
module_03	VCAM1
module_03	VEGFA
module_03	t-PA
