module	n_genes	mean_abs_within_r
module_01	77	0.5717577904219225
module_02	49	0.3731886389592408
module_03	40	0.4019642552804128
module_04	37	0.3755915253774115
module_05	36	0.3152768110941522
module_06	32	0.36078731090198657
module_07	25	0.47405192842641886
module_08	24	0.41953210874533653
module_09	24	0.3746824579500588
module_10	22	0.40628728596410246
module_11	16	0.2670880479883104
module_12	16	0.4279214506412058
module_13	15	0.4789294476182583
module_14	14	0.37561958541847323
module_15	8	0.3052343705401978
