comparison	panel	assay_id	n_loo	n_sign_match	sign_match_rate	baseline_q	retained_q_lt_05	n_retained_q_lt_05	n_retained_q_lt_10
late-early	In	OID_gisby_00288	23	23	1	0.7754586473398486	false	0	0
late-early	In	OID_gisby_00302	23	23	1	0.16829161531270964	false	0	0
late-early	IR	OID_gisby_00416	23	23	1	0.3952352066522736	false	0	0
late-early	CVD2	OID_gisby_00156	23	22	0.9565217391304348	0.8416302304938663	false	0	0
late-early	IR	OID_gisby_00413	23	23	1	0.0022168573477341644	true	23	23
late-early	CM	OID_gisby_00066	23	23	1	0.2988308317430023	false	0	0
late-early	CM	OID_gisby_00085	23	23	1	0.6317684750804716	false	0	0
late-early	CM	OID_gisby_00074	23	23	1	0.7502662499574974	false	0	0
late-early	IR	OID_gisby_00395	23	23	1	0.803847677960278	false	0	0
late-early	IR	OID_gisby_00370	23	11	0.4782608695652174	0.9907625856886146	false	0	0
late-early	CVD3	OID_gisby_00203	23	23	1	0.41775164148771615	false	0	0
late-early	In	OID_gisby_00322	23	23	1	0.3946908978633722	false	0	1
late-early	CVD3	OID_gisby_00187	23	23	1	0.014728620378845684	true	23	23
late-early	CVD3	OID_gisby_00208	23	23	1	0.7174677202112562	false	0	0
late-early	CVD2	OID_gisby_00105	23	23	1	0.03948811382529287	true	10	23
late-early	CVD3	OID_gisby_00253	23	23	1	0.3327586295427966	false	0	0
late-early	CVD2	OID_gisby_00099	23	23	1	0.03208522581299191	true	17	23
late-early	CVD2	OID_gisby_00135	23	23	1	0.26488297024760116	false	0	0
late-early	IR	OID_gisby_00410	23	23	1	0.24378592202560734	false	0	0
late-early	CVD3	OID_gisby_00192	23	23	1	0.376193805709453	false	0	0
late-early	CM	OID_gisby_00063	23	23	1	0.6663211342231297	false	0	0
late-early	IR	OID_gisby_00388	23	23	1	0.7163803801325854	false	0	0
late-early	CVD3	OID_gisby_00225	23	23	1	0.02020474079503076	true	23	23
late-early	CM	OID_gisby_00038	23	23	1	0.17500537707258024	false	0	1
late-early	IR	OID_gisby_00409	23	23	1	0.12701703943999285	false	0	2
late-early	CVD3	OID_gisby_00231	23	23	1	0.14610557156662535	false	0	2
late-early	IR	OID_gisby_00391	23	23	1	0.1971853604587464	false	0	1
late-early	CM	OID_gisby_00087	23	23	1	0.2956658680800481	false	0	0
late-early	IR	OID_gisby_00374	23	15	0.6521739130434783	0.9340935878342314	false	0	0
late-early	In	OID_gisby_00344	23	18	0.782608695652174	0.921130012456088	false	0	0
late-early	In	OID_gisby_00310	23	23	1	0.02259242698614398	true	23	23
late-early	IR	OID_gisby_00376	23	23	1	0.00015052736745084042	true	23	23
late-early	CVD2	OID_gisby_00145	23	23	1	0.023132086851539	true	23	23
late-early	In	OID_gisby_00301	23	23	1	0.2533510321769354	false	0	1
late-early	IR	OID_gisby_00402	23	23	1	0.0029668128047914914	true	23	23
late-early	CVD2	OID_gisby_00118	23	23	1	0.279850991531511	false	0	0
late-early	IR	OID_gisby_00361	23	23	1	0.02020474079503076	true	23	23
late-early	In	OID_gisby_00317	23	23	1	0.032423472736648654	true	17	23
late-early	IR	OID_gisby_00425	23	23	1	0.005632239904646869	true	23	23
late-early	CVD2	OID_gisby_00090	23	23	1	0.001406634956030583	true	23	23
late-early	CM	OID_gisby_00069	23	23	1	0.12701703943999285	false	1	2
late-early	CVD2	OID_gisby_00114	23	23	1	0.1948784953617261	false	0	0
late-early	CVD2	OID_gisby_00129	23	23	1	0.0006188835561071748	true	23	23
