module	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	n_genes	contrast	n_boot
module_01	23	-0.14018042348955398	-0.140367224336533	0.14481814139888022	-0.42383503670242806	0.15078820482778088	0.172	0.828	77	late-early	1000
module_02	23	0.14444290150842942	0.1439470514285714	0.055755562752153154	0.04404644787045252	0.25669525998225373	0.998	0.998	49	late-early	1000
module_03	23	-0.16486820652173914	-0.16515486633695656	0.05023806059384062	-0.2659871983695653	-0.06991475679347829	0.0	1.0	40	late-early	1000
module_04	23	-0.2745411045828437	-0.2730533553349001	0.06241753567785724	-0.392848553760282	-0.15808658519388952	0.0	1.0	37	late-early	1000
module_05	23	-0.0013528260869565122	-0.0006546715942028922	0.05646900988454617	-0.1140710754830918	0.11130514462560387	0.505	0.505	36	late-early	1000
module_06	23	0.05737274456521739	0.05687771394021739	0.05431376879128592	-0.048481849524456506	0.16229215557065216	0.866	0.866	32	late-early	1000
module_07	23	-0.03837720000000001	-0.039102473547826096	0.051840067645187726	-0.1438239426086956	0.0639785304347826	0.222	0.778	25	late-early	1000
module_08	23	-0.05837083333333338	-0.05351516353260873	0.07406454754983295	-0.20958463541666672	0.08213131159420282	0.233	0.767	24	late-early	1000
module_09	23	0.25195746376811595	0.2523683766123189	0.07940766206797563	0.10670172961956521	0.41346517798913046	1.0	1.0	24	late-early	1000
module_10	23	-0.04607719367588932	-0.04692797387351778	0.05565398575427556	-0.15992660622529645	0.056066858695652096	0.205	0.795	22	late-early	1000
module_11	23	-0.29408470108695656	-0.29086434625	0.09535464148464516	-0.47951703464673906	-0.11011481250000017	0.002	0.998	16	late-early	1000
module_12	23	-0.18552016304347824	-0.19342048089673916	0.13740601974448652	-0.45291934510869575	0.08018660733695665	0.093	0.907	16	late-early	1000
module_13	23	0.1264315942028986	0.1252220102318841	0.1015344752454658	-0.0605568065217391	0.3354185231884057	0.895	0.895	15	late-early	1000
module_14	23	-0.46246329192546576	-0.46020510503105594	0.08569591860168792	-0.6423512166149067	-0.29897259549689453	0.0	1.0	14	late-early	1000
module_15	23	-0.03086874999999998	-0.031151822173913032	0.04817802793171493	-0.12902054211956523	0.060898773097826125	0.264	0.736	8	late-early	1000
