gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
4E-BP1	23	-0.13858217391304367	-0.13802317173913065	0.047952964904702834	-0.23050769565217408	-0.045861641304347986	0.0	1.0	late-early	1000
NRP1	23	0.20821739130434783	0.20719227739130439	0.04017025337972668	0.12788816304347828	0.2814443478260869	1.0	1.0	late-early	1000
TREM1	23	0.1831530434782609	0.18303172782608698	0.04232302681194568	0.099814793478261	0.26632804347826083	1.0	1.0	late-early	1000
TRANCE	23	0.4904617391304347	0.4842543291304342	0.15586469356250737	0.18352686956521738	0.7809955000000001	1.0	1.0	late-early	1000
TRAIL-R2	23	0.5528478260869568	0.5578428499999998	0.19694075046935194	0.1777375652173914	0.9510084673913048	1.0	1.0	late-early	1000
FABP4	23	0.5368434782608694	0.5369261926086955	0.11713204736637767	0.3169208586956518	0.7581929021739131	1.0	1.0	late-early	1000
FAS	23	0.18356043478260875	0.18433223000000012	0.05786702647663397	0.0643702282608696	0.2947925108695654	1.0	1.0	late-early	1000
FCN2	23	0.5182330434782609	0.5244453391304343	0.1571186010997546	0.19930247826086966	0.8292350652173914	1.0	1.0	late-early	1000
FS	23	-0.6672017391304347	-0.6682493199999997	0.2016418406353887	-1.1136287499999997	-0.3072711630434784	0.0	1.0	late-early	1000
PARP-1	23	-0.855004347826087	-0.8441594056521745	0.1655384824562951	-1.1785708043478262	-0.5275734021739131	0.0	1.0	late-early	1000
TNFSF14	23	-0.43387086956521737	-0.4270815034782607	0.1255585962842521	-0.6802563695652174	-0.18963890217391308	0.0	1.0	late-early	1000
GALNT3	23	-0.3986230434782609	-0.39775146826086993	0.10522092902910829	-0.597081097826087	-0.18209372826086956	0.0	1.0	late-early	1000
GAS6	23	-0.23105173913043486	-0.2314995143478262	0.04728761192707499	-0.322066097826087	-0.1392664891304348	0.0	1.0	late-early	1000
GDF-15	23	-0.4740621739130435	-0.4702686817391312	0.09968545502093676	-0.6835807717391305	-0.28848682608695636	0.0	1.0	late-early	1000
TNFSF13B	23	-0.884945652173913	-0.8868973069565214	0.15860150241561716	-1.1988789891304348	-0.5889733152173915	0.0	1.0	late-early	1000
NID1	23	-0.623501304347826	-0.6237384213043482	0.09165672049605957	-0.816038413043478	-0.45110411956521723	0.0	1.0	late-early	1000
TRIM21	23	-1.0310560869565217	-1.0336456452173919	0.17042385064417434	-1.3577792282608696	-0.6954363478260868	0.0	1.0	late-early	1000
DFFA	23	-0.5234047826086956	-0.522903974782608	0.11647998596835528	-0.7536131521739132	-0.29693182608695656	0.0	1.0	late-early	1000
TNFRSF9	23	0.5826052173913042	0.580070033913043	0.10190868144160427	0.37468659782608704	0.7707593152173913	1.0	1.0	late-early	1000
CSF-1	23	-0.10472782608695644	-0.10516551565217376	0.03318828719674793	-0.17178695652173898	-0.04261158695652154	0.0	1.0	late-early	1000
CLEC4C	23	-0.42794695652173903	-0.43160318391304475	0.13177588430924148	-0.6904604130434783	-0.17792159782608705	0.0	1.0	late-early	1000
CLEC6A	23	-0.5924747826086957	-0.5880893856521738	0.11380003793561619	-0.8162878804347826	-0.3750112608695653	0.0	1.0	late-early	1000
CLEC7A	23	0.28425782608695643	0.2816652195652171	0.06714578635897192	0.1457941195652174	0.4122651086956521	1.0	1.0	late-early	1000
PRDX1	23	-0.6014865217391304	-0.6011416182608694	0.11109784082562212	-0.825507304347826	-0.3841947391304347	0.0	1.0	late-early	1000
PRCP	23	0.24706434782608702	0.2457081669565216	0.07440619713866527	0.10903359782608701	0.39967915217391303	1.0	1.0	late-early	1000
CR2	23	0.31526956521739136	0.3134102730434777	0.08214372744872514	0.15596805434782615	0.47214934782608686	1.0	1.0	late-early	1000
TCN2	23	-0.8340056521739131	-0.8324826634782603	0.1033893223472916	-1.0296171304347828	-0.6352645652173914	0.0	1.0	late-early	1000
U-PAR	23	0.5467130434782609	0.5493227008695643	0.10706903553869235	0.35612319565217393	0.7711539021739133	1.0	1.0	late-early	1000
CSTB	23	0.28236086956521733	0.2835295378260871	0.07927320802459016	0.13228085869565237	0.4358017717391305	1.0	1.0	late-early	1000
PLXNB2	23	-0.23308043478260873	-0.23258041652173916	0.06228241933169945	-0.3586305652173913	-0.1100716847826087	0.0	1.0	late-early	1000
CXCL10	23	-1.8804065217391308	-1.8716595299999976	0.2168412771935731	-2.2872180434782607	-1.4688894456521742	0.0	1.0	late-early	1000
VCAM1	23	-0.4136473913043478	-0.41217887173913065	0.07843179792473833	-0.5653575326086956	-0.25757607608695643	0.0	1.0	late-early	1000
PIK3AP1	23	-0.3878182608695653	-0.3883939478260874	0.1257895471832778	-0.6430286847826088	-0.14766261956521748	0.0	1.0	late-early	1000
