comparison	loo_index	top_k	overlap_count	jaccard_index
late-early	1	20	18	0.8181818181818182
late-early	2	20	20	1
late-early	3	20	20	1
late-early	4	20	20	1
late-early	5	20	19	0.9047619047619048
late-early	6	20	19	0.9047619047619048
late-early	7	20	19	0.9047619047619048
late-early	8	20	19	0.9047619047619048
late-early	9	20	20	1
late-early	10	20	18	0.8181818181818182
late-early	11	20	18	0.8181818181818182
late-early	12	20	20	1
late-early	13	20	20	1
late-early	14	20	20	1
late-early	15	20	19	0.9047619047619048
late-early	16	20	19	0.9047619047619048
late-early	17	20	18	0.8181818181818182
late-early	18	20	19	0.9047619047619048
late-early	19	20	18	0.8181818181818182
late-early	20	20	19	0.9047619047619048
late-early	21	20	19	0.9047619047619048
late-early	22	20	18	0.8181818181818182
late-early	23	20	19	0.9047619047619048
