sample_id	assay_id	gene_symbol	panel	npx_source_str	abundance	abundance_raw	abundance_unit	qc_sample	qc_assay	detection_limit	below_lod	dropped_by_qc	plate_id	panel_lot	ingest_order
C60_1	OID_gisby_00000	PRCP	CM	1.6118	1.6118	1.6118	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	1
C114_7	OID_gisby_00000	PRCP	CM	1.97878	1.97878	1.97878	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	2
C65_28	OID_gisby_00000	PRCP	CM	0.89394	0.89394	0.89394	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	3
C123_36	OID_gisby_00000	PRCP	CM	1.02009	1.02009	1.02009	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	4
C40_39	OID_gisby_00000	PRCP	CM	1.50701	1.50701	1.50701	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	5
C65_44	OID_gisby_00000	PRCP	CM	1.25013	1.25013	1.25013	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	6
C60_52	OID_gisby_00000	PRCP	CM	1.85578	1.85578	1.85578	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	7
C114_56	OID_gisby_00000	PRCP	CM	0.87605	0.87605	0.87605	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	8
C31_78	OID_gisby_00000	PRCP	CM	1.08902	1.08902	1.08902	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	9
C123_82	OID_gisby_00000	PRCP	CM	1.02597	1.02597	1.02597	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	10
C31_85	OID_gisby_00000	PRCP	CM	0.92484	0.92484	0.92484	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	11
C40_86	OID_gisby_00000	PRCP	CM	1.53806	1.53806	1.53806	log2_npx	PASS	PASS		0	0	plate.1	gisby_covid_2021	12
C47_100	OID_gisby_00000	PRCP	CM	1.26383	1.26383	1.26383	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	13
C132_113	OID_gisby_00000	PRCP	CM	1.32319	1.32319	1.32319	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	14
C116_117	OID_gisby_00000	PRCP	CM	1.13591	1.13591	1.13591	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	15
C21_128	OID_gisby_00000	PRCP	CM	1.34705	1.34705	1.34705	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	16
C110_129	OID_gisby_00000	PRCP	CM	1.40449	1.40449	1.40449	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	17
C127_131	OID_gisby_00000	PRCP	CM	1.40718	1.40718	1.40718	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	18
C47_134	OID_gisby_00000	PRCP	CM	1.36627	1.36627	1.36627	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	19
C127_136	OID_gisby_00000	PRCP	CM	1.46431	1.46431	1.46431	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	20
C21_138	OID_gisby_00000	PRCP	CM	1.35368	1.35368	1.35368	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	21
C23_145	OID_gisby_00000	PRCP	CM	2.83529	2.83529	2.83529	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	22
C132_147	OID_gisby_00000	PRCP	CM	1.49725	1.49725	1.49725	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	23
C110_151	OID_gisby_00000	PRCP	CM	1.45181	1.45181	1.45181	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	24
C116_162	OID_gisby_00000	PRCP	CM	1.52526	1.52526	1.52526	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	25
C23_170	OID_gisby_00000	PRCP	CM	1.63939	1.63939	1.63939	log2_npx	PASS	PASS		0	0	plate.2	gisby_covid_2021	26
C9_186	OID_gisby_00000	PRCP	CM	1.38642	1.38642	1.38642	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	27
C9_191	OID_gisby_00000	PRCP	CM	1.49234	1.49234	1.49234	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	28
C63_193	OID_gisby_00000	PRCP	CM	2.01053	2.01053	2.01053	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	29
C27_200	OID_gisby_00000	PRCP	CM	1.62031	1.62031	1.62031	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	30
C80_205	OID_gisby_00000	PRCP	CM	1.57398	1.57398	1.57398	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	31
C63_215	OID_gisby_00000	PRCP	CM	1.97779	1.97779	1.97779	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	32
C27_249	OID_gisby_00000	PRCP	CM	0.99156	0.99156	0.99156	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	34
C80_250	OID_gisby_00000	PRCP	CM	2.19599	2.19599	2.19599	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	35
C20_252	OID_gisby_00000	PRCP	CM	0.98499	0.98499	0.98499	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	36
C20_258	OID_gisby_00000	PRCP	CM	1.14691	1.14691	1.14691	log2_npx	PASS	PASS		0	0	plate.3	gisby_covid_2021	38
C93_291	OID_gisby_00000	PRCP	CM	1.5067	1.5067	1.5067	log2_npx	PASS	PASS		0	0	plate.4	gisby_covid_2021	39
C59_295	OID_gisby_00000	PRCP	CM	1.04167	1.04167	1.04167	log2_npx	PASS	PASS		0	0	plate.4	gisby_covid_2021	40
