platform	assay_id	uniprot	gene_symbol	panel	panel_lot
olink_target_96	OID_gisby_00000	P42785	PRCP	CM	gisby_covid_2021
olink_target_96	OID_gisby_00001	P00915	CA1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00002	P05362	ICAM1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00003	O00533	CHL1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00004	Q15582	TGFBI	CM	gisby_covid_2021
olink_target_96	OID_gisby_00005	P17813	ENG	CM	gisby_covid_2021
olink_target_96	OID_gisby_00006	P55058	PLTP	CM	gisby_covid_2021
olink_target_96	OID_gisby_00007	P05543	SERPINA7	CM	gisby_covid_2021
olink_target_96	OID_gisby_00008	P17936	IGFBP3	CM	gisby_covid_2021
olink_target_96	OID_gisby_00009	P20023	CR2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00010	P05154	SERPINA5	CM	gisby_covid_2021
olink_target_96	OID_gisby_00011	O75015	FCGR3B	CM	gisby_covid_2021
olink_target_96	OID_gisby_00012	P24592	IGFBP6	CM	gisby_covid_2021
olink_target_96	OID_gisby_00013	P12830	CDH1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00014	P13501	CCL5	CM	gisby_covid_2021
olink_target_96	OID_gisby_00015	Q16627	CCL14	CM	gisby_covid_2021
olink_target_96	OID_gisby_00016	P22749	GNLY	CM	gisby_covid_2021
olink_target_96	OID_gisby_00017	P46531	NOTCH1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00018	P19021	PAM	CM	gisby_covid_2021
olink_target_96	OID_gisby_00019	P04070	PROC	CM	gisby_covid_2021
olink_target_96	OID_gisby_00020	P01034	CST3	CM	gisby_covid_2021
olink_target_96	OID_gisby_00021	P13591	NCAM1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00022	Q15113	PCOLCE	CM	gisby_covid_2021
olink_target_96	OID_gisby_00023	Q8NHL6	LILRB1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00024	P08581	MET	CM	gisby_covid_2021
olink_target_96	OID_gisby_00025	Q14767	LTBP2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00026	P16871	IL7R	CM	gisby_covid_2021
olink_target_96	OID_gisby_00027	P19320	VCAM1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00028	P14151	SELL	CM	gisby_covid_2021
olink_target_96	OID_gisby_00029	P49747	COMP	CM	gisby_covid_2021
olink_target_96	OID_gisby_00030	P22748	CA4	CM	gisby_covid_2021
olink_target_96	OID_gisby_00031	Q13332	PTPRS	CM	gisby_covid_2021
olink_target_96	OID_gisby_00032	P11226	MBL2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00033	P01033	TIMP1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00034	Q9Y5C1	ANGPTL3	CM	gisby_covid_2021
olink_target_96	OID_gisby_00035	Q06141	REG3A	CM	gisby_covid_2021
olink_target_96	OID_gisby_00036	P00441	SOD1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00037	P15529	CD46	CM	gisby_covid_2021
olink_target_96	OID_gisby_00038	P11215	ITGAM	CM	gisby_covid_2021
olink_target_96	OID_gisby_00039	P24821	TNC	CM	gisby_covid_2021
olink_target_96	OID_gisby_00040	P14543	NID1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00041	Q9BXR6	CFHR5	CM	gisby_covid_2021
olink_target_96	OID_gisby_00042	Q14515	SPARCL1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00043	O15031	PLXNB2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00044	Q9H1U4	MEGF9	CM	gisby_covid_2021
olink_target_96	OID_gisby_00045	P03950	ANG	CM	gisby_covid_2021
olink_target_96	OID_gisby_00046	P15907	ST6GAL1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00047	P27487	DPP4	CM	gisby_covid_2021
olink_target_96	OID_gisby_00048	P05451	REG1A	CM	gisby_covid_2021
olink_target_96	OID_gisby_00049	Q16769	QPCT	CM	gisby_covid_2021
olink_target_96	OID_gisby_00050	Q15485	FCN2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00051	Q9UGM5	FETUB	CM	gisby_covid_2021
olink_target_96	OID_gisby_00052	P23141	CES1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00053	Q9NQ79	CRTAC1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00054	P20062	TCN2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00055	P07478	PRSS2	CM	gisby_covid_2021
olink_target_96	OID_gisby_00056	P32942	ICAM3	CM	gisby_covid_2021
olink_target_96	OID_gisby_00057	P35542	SAA4	CM	gisby_covid_2021
olink_target_96	OID_gisby_00058	Q96KN2	CNDP1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00059	P12318	FCGR2A	CM	gisby_covid_2021
olink_target_96	OID_gisby_00060	O14786	NRP1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00061	Q12805	EFEMP1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00062	Q96H15	TIMD4	CM	gisby_covid_2021
olink_target_96	OID_gisby_00063	Q12884	FAP	CM	gisby_covid_2021
olink_target_96	OID_gisby_00064	P35590	TIE1	CM	gisby_covid_2021
olink_target_96	OID_gisby_00065	P35443	THBS4	CM	gisby_covid_2021
olink_target_96	OID_gisby_00066	P08709	F7	CM	gisby_covid_2021
olink_target_96	OID_gisby_00067	P07359	GP1BA	CM	gisby_covid_2021
olink_target_96	OID_gisby_00068	Q9Y5Y7	LYVE1	CM	gisby_covid_2021
