panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00323	CXCL10	P02778	late-early	22	10.952791818181819	12.841057727272728	-1.8882659090909089	-8.195822127269613	21	0.0000000557645993826128	0.00001469978981560871	
CM	OID_gisby_00054	TCN2	P20062	late-early	22	5.038403636363636	5.885140000000001	-0.8467363636363636	-7.89778050956728	21	0.00000010114534276794984	0.00001469978981560871	
CVD3	OID_gisby_00204	TNFRSF10C	O14798	late-early	22	5.0344513636363635	4.452162272727273	0.5822890909090908	8.0828492951981	21	0.00000006978651700961791	0.00001469978981560871	
IR	OID_gisby_00432	LAG3	P18627	late-early	22	3.682226363636363	4.397474545454545	-0.715248181818182	-7.667751698589325	21	0.00000016145448467064227	0.000017598538829100008	
CVD3	OID_gisby_00190	GRN	P28799	late-early	22	5.749511818181818	6.3536731818181815	-0.6041613636363637	-7.170011753530559	21	0.00000045508340562605554	0.000036042765363101616	
CVD2	OID_gisby_00096	BOC	Q9BWV1	late-early	22	4.344474090909092	3.947390909090909	0.3970831818181819	7.129361304810432	21	0.0000004960013582078204	0.000036042765363101616	
In	OID_gisby_00337	MCP-2	P80075	late-early	22	9.465578636363638	10.970797272727275	-1.5052186363636366	-6.874134911041032	21	0.0000008559162951726762	0.0000533113578136124	
CVD3	OID_gisby_00202	CCL24	O00175	late-early	22	5.778741363636364	4.184136818181818	1.5946045454545457	6.76939303354394	21	0.0000010733802791040858	0.00005849922521117268	
IR	OID_gisby_00427	DDX58	O95786	late-early	22	3.2039354545454555	4.921865909090909	-1.7179304545454548	-6.462039761462154	21	0.000002103016261134627	0.00010187945442829971	
CVD2	OID_gisby_00143	PTX3	P26022	late-early	22	3.5792954545454547	4.236073181818182	-0.6567777272727272	-6.293454598231652	21	0.0000030568416513609975	0.00013127343832263318	
CM	OID_gisby_00040	NID1	P14543	late-early	22	4.456233181818181	5.07926	-0.6230268181818182	-6.257531460954135	21	0.0000033119445448370755	0.00013127343832263318	
CVD3	OID_gisby_00263	CCL16	O15467	late-early	22	7.4735413636363655	6.183189090909092	1.2903522727272732	5.911986995199739	21	0.00000721719475804683	0.00026222474287570147	
IR	OID_gisby_00376	TRIM21	P19474	late-early	22	3.119000909090909	4.155249545454545	-1.0362486363636363	-5.831785940047095	21	0.000008664589651763421	0.00029059700678221934	
IR	OID_gisby_00358	IRF9	Q00978	late-early	22	1.5615554545454549	2.415215909090909	-0.8536604545454544	-5.662811193951652	21	0.000012764426577049903	0.0003975207133995541	
CM	OID_gisby_00089	LILRB5	O75023	late-early	22	4.943721818181818	4.566345909090909	0.37737590909090907	5.339349762628697	21	0.00002701775731051015	0.000785316145825495	
In	OID_gisby_00341	TNFRSF9	Q07011	late-early	22	10.452896818181818	9.87288727272727	0.5800095454545454	5.266898945282899	21	0.00003200227406341405	0.0008720619682280328	
CM	OID_gisby_00046	ST6GAL1	P15907	late-early	22	3.79850090909091	4.315879545454545	-0.5173786363636365	-5.228060216222071	21	0.000035049447971058356	0.0008989152538459673	
CM	OID_gisby_00027	VCAM1	P19320	late-early	22	5.9075145454545455	6.323762272727273	-0.4162477272727273	-5.131366026151971	21	0.00004398058670451732	0.0010230512141474921	
CVD3	OID_gisby_00185	ALCAM	Q13740	late-early	22	7.35419909090909	7.071434545454545	0.28276454545454527	5.125585707971685	21	0.0000445825070385375	0.0010230512141474921	
IR	OID_gisby_00377	LILRB4	Q8NHJ6	late-early	22	6.527441818181819	7.080689545454547	-0.5532477272727274	-5.100144396021256	21	0.0000473327099379528	0.001031853076647371	
CVD3	OID_gisby_00227	TNFSF13B	Q9Y275	late-early	22	6.9994454545454525	7.848048636363637	-0.8486031818181815	-5.063781054151614	21	0.00005156516682780499	0.0010473185934610919	
IR	OID_gisby_00381	HNMT	P50135	late-early	22	10.624879545454547	11.306546363636363	-0.6816668181818181	-5.034517998122154	21	0.00005524845791193833	0.0010473185934610919	
CM	OID_gisby_00083	GAS6	Q14393	late-early	22	5.524365454545455	5.7648827272727265	-0.24051727272727277	-5.05152503639602	21	0.000053076533049756236	0.0010473185934610919	
IR	OID_gisby_00364	PRDX1	Q06830	late-early	22	2.1526949999999996	2.756066818181819	-0.6033718181818181	-5.000961448442974	21	0.00005980171514119448	0.001086397825065033	
In	OID_gisby_00332	IFN-gamma	P01579	late-early	22	7.429672272727273	10.030000454545455	-2.6003281818181816	-4.926484026532932	21	0.0000713133647487485	0.0011958702704020902	
CVD2	OID_gisby_00129	SERPINA12	Q8IW75	late-early	22	4.137615	3.4902718181818186	0.6473431818181817	4.938151511440371	21	0.00006937172413312709	0.0011958702704020902	
IR	OID_gisby_00426	CLEC6A	Q6EIG7	late-early	22	3.2238759090909097	3.7998868181818177	-0.576010909090909	-4.842825920163102	21	0.00008694434222888958	0.0013835897699960536	
CVD3	OID_gisby_00199	FABP4	P15090	late-early	22	9.484476363636364	8.909218636363638	0.5752577272727272	4.833663915088755	21	0.00008885438889882913	0.0013835897699960536	
CM	OID_gisby_00060	NRP1	O14786	late-early	22	1.4424700000000004	1.2423895454545457	0.20008045454545453	4.807185007143284	21	0.00009461634451057854	0.0014225078002280084	
IR	OID_gisby_00435	BTN3A2	P78410	late-early	22	4.740923181818181	5.249242272727273	-0.5083190909090909	-4.767147422433606	21	0.0001040540056835848	0.0015122515492680991	
In	OID_gisby_00338	CASP-8	Q14790	late-early	22	3.1559504545454544	3.8264695454545445	-0.670519090909091	-4.751752149634051	21	0.00010793114109608481	0.0015179992747707412	
CVD2	OID_gisby_00175	PARP-1	P09874	late-early	22	4.770579545454546	5.631021363636364	-0.8604418181818183	-4.713646745705411	21	0.00011816658196250884	0.001610019679239183	
CVD3	OID_gisby_00230	U-PAR	Q03405	late-early	22	8.162439545454545	7.623585909090911	0.5388536363636365	4.59548087360648	21	0.0001565680146828896	0.002068595587931511	
IR	OID_gisby_00350	GLB1	P16278	late-early	22	0.6591609090909091	1.1470759090909086	-0.48791500000000004	-4.513986978800496	21	0.00019016366472124346	0.0024385693476018278	
CVD3	OID_gisby_00177	TNFRSF14	Q92956	late-early	22	8.264902727272728	7.994158636363637	0.27074409090909096	4.437304956148267	21	0.00022837642196527064	0.0028449177136245143	
IR	OID_gisby_00413	DFFA	O00273	late-early	22	5.47883909090909	6.016089999999999	-0.5372509090909091	-4.405998019587625	21	0.0002461145951693222	0.002980721208161791	
CVD2	OID_gisby_00090	BMP-6	P22004	late-early	22	5.185755454545454	5.497451818181816	-0.3116963636363635	-4.38690983482833	21	0.0002576018787969758	0.0030355248420400396	
CVD3	OID_gisby_00205	GDF-15	Q99988	late-early	22	7.620657727272728	8.056046363636362	-0.43538863636363634	-4.372405799814773	21	0.00026668884048652863	0.0030599035382138547	
IR	OID_gisby_00390	PTH1R	Q03431	late-early	22	5.634138181818182	5.315410454545455	0.3187277272727272	4.270883104773148	21	0.00033995970448352786	0.00380057515781585	
IR	OID_gisby_00379	KRT19	P08727	late-early	22	3.9754136363636365	4.9663354545454546	-0.9909218181818182	-4.173590726933302	21	0.0004290289222204091	0.004676415252202459	
IR	OID_gisby_00402	TREM1	Q9NP99	late-early	22	5.120365	4.937041818181818	0.18332318181818186	4.127723403450713	21	0.00047876950844316646	0.005091305016615136	
CVD3	OID_gisby_00198	TLT-2	Q5T2D2	late-early	22	5.580585454545455	5.337124545454546	0.2434609090909092	4.025000784948522	21	0.0006120389650154934	0.006353547351113217	
IR	OID_gisby_00396	CKAP4	Q07065	late-early	22	7.7509822727272715	8.325913636363637	-0.5749313636363635	-3.993242066832504	21	0.0006602900213819041	0.006695033705174655	
CM	OID_gisby_00019	PROC	P04070	late-early	22	4.193948636363635	3.8941354545454545	0.2998131818181818	3.9171483220072334	21	0.0007918546207221766	0.00784655942351975	
CVD3	OID_gisby_00249	IL-18BP	O95998	late-early	22	7.433326818181817	7.646209090909091	-0.21288227272727275	-3.868254371442989	21	0.0008898202089957508	0.008621369136047718	
In	OID_gisby_00277	MCP-1	P13500	late-early	22	12.257982272727274	12.68687	-0.4288877272727275	-3.85764680251227	21	0.0009126128177441295	0.008649982359487836	
CVD2	OID_gisby_00103	TNFRSF11A	Q9Y6Q6	late-early	22	10.345889545454545	10.108094545454545	0.23779499999999995	3.83991428272211	21	0.0009520152571855789	0.008831460683678988	
CVD2	OID_gisby_00158	THPO	P40225	late-early	22	3.733757272727273	4.119603636363637	-0.38584636363636354	-3.805944102740759	21	0.0010322684118049263	0.009376438073894747	
CVD3	OID_gisby_00214	IGFBP-1	P08833	late-early	22	7.157966818181819	8.052929545454546	-0.8949627272727273	-3.738416849864924	21	0.0012122220771659808	0.010354386820046016	
CM	OID_gisby_00010	SERPINA5	P05154	late-early	22	7.844878636363637	7.204199999999999	0.6406786363636364	3.7458117856529998	21	0.0011910916329944676	0.010354386820046016	
IR	OID_gisby_00428	IL12RB1	P42701	late-early	22	3.7613913636363634	4.125730909090908	-0.3643395454545455	-3.7333938154788466	21	0.0012267860059858027	0.010354386820046016	
