panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
SomaScan_v4.1	seq.14100.63	C1QC	P02747	late-early	28	8.628083107344109	11.495851857064148	-2.8677687497200393	-8.58504942316636	27	0.0000000033652405306838773	0.00002140292977514946	
SomaScan_v4.1	seq.22969.12	CCL7	P80098	late-early	28	8.865095754756128	9.677603745630394	-0.8125079908742696	-7.062395645336137	27	0.00000013599672721298361	0.0004324695925372879	
SomaScan_v4.1	seq.18389.11	IFNA1	P01562	late-early	28	8.027576227461182	9.057972223432978	-1.0303959959717996	-6.243755664630159	27	0.0000011158532147170774	0.0011995989286564931	
SomaScan_v4.1	seq.3059.50	TNFSF13B	Q9Y275	late-early	28	9.278811329895662	9.767060990280907	-0.48824966038523954	-6.209499580176053	27	0.000001220428430093179	0.0011995989286564931	
SomaScan_v4.1	seq.7935.26	LARGE1	O95461	late-early	28	9.347842426677072	9.816888757880426	-0.4690463312033553	-6.3523829587252205	27	0.0000008405385092391526	0.0011995989286564931	
SomaScan_v4.1	seq.13088.397	BTC	P35070	late-early	28	9.830562460347249	10.290626199056176	-0.4600637387089254	-6.179451826123127	27	0.0000013203132862571465	0.0011995989286564931	
SomaScan_v4.1	seq.22576.1	CD209	Q9NNX6	late-early	28	10.877364062668876	11.274367262580158	-0.3970031999112838	-6.409039592777239	27	0.0000007253999445566706	0.0011995989286564931	
SomaScan_v4.1	seq.18935.14	TLR5	O60602	late-early	28	10.154088801883717	10.773367018148434	-0.6192782162647195	-6.0361789459815105	27	0.0000019233744956714816	0.0012443424411721082	
SomaScan_v4.1	seq.5036.50	TNFAIP6	P98066	late-early	28	9.562407149524834	10.10000482846526	-0.5375976789404244	-6.040265355424891	27	0.000001902799327879734	0.0012443424411721082	
SomaScan_v4.1	seq.21797.4	HLA-C	P10321	late-early	28	13.772122455513127	14.222083172327403	-0.4499607168142749	-6.029689421846546	27	0.000001956513272283189	0.0012443424411721082	
SomaScan_v4.1	seq.6207.10	PSAP	P07602	late-early	28	10.787908186551716	11.248088638284274	-0.4601804517325558	-5.964395214974134	27	0.0000023238787039137065	0.001343624414262834	
SomaScan_v4.1	seq.4141.79	CXCL10	P02778	late-early	28	9.539696316697814	10.818799239858249	-1.2791029231604358	-5.861843641411796	27	0.000003047106514442177	0.001614966452654354	
SomaScan_v4.1	seq.9264.11	CTSO	P43234	late-early	28	9.310238334541925	9.971308081362125	-0.6610697468201975	-5.803927932483891	27	0.0000035522108794427965	0.0017378508610197065	
SomaScan_v4.1	seq.4992.49	GRN	P28799	late-early	28	14.575547282378412	14.988318783640846	-0.41277150126243	-5.706974020405175	27	0.000004594562029058835	0.0020872438932010135	
SomaScan_v4.1	seq.4556.10	IL34	Q6ZMJ4	late-early	28	8.805712173484887	8.986124001603248	-0.18041182811836265	-5.671979066841708	27	0.0000050425073219173555	0.0021380231044929587	
SomaScan_v4.1	seq.14129.1	IFNA7	P01567	late-early	28	7.951399084851779	9.072909641592647	-1.1215105567408679	-5.607458515295557	27	0.0000059872407378591674	0.002379928193299019	
SomaScan_v4.1	seq.15560.52	TCN2	P20062	late-early	28	13.018823047596744	13.618299902500738	-0.5994768549039876	-5.578481414915985	27	0.000006467822192712802	0.002419726420332554	
