module	contrast	n_samples_a	n_samples_b	n_genes	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
module_01	late-early	28	28	1068	11.339901335142333	11.159397875989862	0.18050345915246874	1.5864808891128832	27	0.1242739366152863	0.26701327629656785	
module_02	late-early	28	28	811	8.988045200878975	9.070864860062612	-0.08281965918363847	-2.5331457847751238	27	0.017422567573594172	0.10889104733496358	
module_03	late-early	28	28	663	11.886543195673832	11.779879812534068	0.10666338313976283	1.1773218677301331	27	0.24934138646491277	0.41556897744152127	
module_04	late-early	28	28	521	10.03264239019683	10.122553857882709	-0.08991146768587953	-2.2226187376445328	27	0.034807664598638155	0.12431308785227912	
module_05	late-early	28	28	378	9.21447031104727	9.241072366556462	-0.026602055509189957	-0.6047715254524122	27	0.550380038506241	0.653283193293026	
module_06	late-early	28	28	362	10.220562969721184	10.130403971716868	0.09015899800431867	1.644462997659626	27	0.1116755563508971	0.26701327629656785	
module_07	late-early	28	28	257	10.859448526434928	10.850818124551058	0.00863040188386315	0.14091336594588513	27	0.8889844547767116	0.8889844547767116	
module_08	late-early	28	28	231	9.314549515493214	9.237155487046575	0.07739402844663859	2.0543495838694295	27	0.049738705081085355	0.13816306966968153	
module_09	late-early	28	28	223	9.548380750056205	9.529160192482951	0.019220557573249714	0.4453614369335349	27	0.6596090191912012	0.7169663252078273	
module_10	late-early	28	28	179	9.660662230728585	9.761685131249715	-0.10102290052112764	-2.817400297591804	27	0.008944646150566005	0.07453871792138338	
module_11	late-early	28	28	176	9.960597183498749	10.04151226835941	-0.08091508486066257	-2.158184674675205	27	0.03996934076941594	0.12490418990442481	
module_12	late-early	28	28	165	8.941311722975675	9.04112703403595	-0.09981531106027385	-3.1806467093965836	27	0.0036732364929359385	0.04591545616169923	
module_13	late-early	28	28	156	9.667256792851356	9.637580899382867	0.029675893468488774	0.944065971960852	27	0.3535078998334926	0.5198645585786655	
module_14	late-early	28	28	153	9.349393383194606	9.28957276868253	0.05982061451207343	1.5251669244318729	27	0.13884690367421526	0.26701327629656785	
module_15	late-early	28	28	151	9.383753285906524	9.434011836883116	-0.05025855097658859	-1.3630847039997485	27	0.18411603117435726	0.3287786270970665	
module_16	late-early	28	28	119	9.03598373752681	9.015858026265551	0.020125711261259078	0.5677601153466132	27	0.5748892100978629	0.653283193293026	
module_17	late-early	28	28	103	9.076451429278492	9.094448046818783	-0.017996617540291027	-0.8510291025183296	27	0.402237954958538	0.5575142090032555	
module_18	late-early	28	28	100	10.096286512229414	10.17253714030726	-0.07625062807784522	-2.2666715644443705	27	0.03163296389631731	0.12431308785227912	
module_19	late-early	28	28	94	9.09658666047574	9.115600308274852	-0.01901364779911154	-0.6952888406036941	27	0.49281545669688653	0.6160193208711082	
module_20	late-early	28	28	86	10.489460434987297	10.48232457451653	0.007135860470763485	0.2133093702192539	27	0.8326881654273719	0.8673835056535123	
module_21	late-early	28	28	82	11.075571770554996	11.205679752552287	-0.13010798199729517	-3.2833264325056164	27	0.002837798575117567	0.04591545616169923	
module_22	late-early	28	28	81	9.222676881708953	9.131952588405518	0.09072429330343633	2.2378470700083692	27	0.03367908472219061	0.12431308785227912	
module_23	late-early	28	28	80	9.658369614809242	9.687547091100432	-0.029177476291190465	-0.8123233565939351	27	0.4237107988424742	0.5575142090032555	
module_24	late-early	28	28	72	10.809756602183073	10.77680534845858	0.032951253724495554	0.958691549778449	27	0.3462208707744694	0.5198645585786655	
module_25	late-early	28	28	49	10.188439210074838	10.120932493918888	0.06750671615594937	1.5484574278412364	27	0.13315511462559382	0.26701327629656785	
