module	gene_symbol
module_01	AAGAB
module_01	AAMDC
module_01	AARS1
module_01	AASDHPPT
module_01	ABCF3
module_01	ABHD10
module_01	ABHD4
module_01	ABHD5
module_01	ACADM
module_01	ACADSB
module_01	ACADVL
module_01	ACAT1
module_01	ACAT2
module_01	ACBD6
module_01	ACOT8
module_01	ACSF2
module_01	ACTN1
module_01	ACTN4
module_01	ADAM11
module_01	ADD2
module_01	ADGRF1
module_01	ADH5
module_01	ADH6
module_01	ADIPOQ
module_01	ADK
module_01	AGAP2
module_01	AGFG1
module_01	AGFG2
module_01	AGO1
module_01	AGR2
module_01	AHCYL1
module_01	AIDA
module_01	AIFM1
module_01	AIP
module_01	AKIRIN2
module_01	AKR7A2
module_01	AKT1
module_01	AKT1S1
module_01	AKT2
module_01	AKT3
module_01	ALDH1A3
module_01	ALDH5A1
module_01	ALDH6A1
module_01	ALG2
module_01	ALKBH3
module_01	AMOT
module_01	AMT
module_01	ANG
module_01	ANKRD16
module_01	ANKRD2
module_01	ANKRD40
module_01	ANKRD54
module_01	ANP32A
module_01	ANXA4
module_01	ANXA5
module_01	AP1AR
module_01	AP1G2
module_01	AP1S2
module_01	AP2B1
module_01	APOBEC3G
module_01	APRT
module_01	ARF3
module_01	ARF4
module_01	ARF6
module_01	ARFGAP2
module_01	ARFIP1
module_01	ARHGAP25
module_01	ARHGAP5
module_01	ARHGEF1
module_01	ARHGEF10
module_01	ARL1
module_01	ARL11
module_01	ARL2BP
module_01	ARL3
module_01	ARL8A
module_01	ARL8B
module_01	ARMC3
module_01	ARMC8
module_01	ARNT
module_01	ARPC1B
module_01	ARPC2
module_01	ARPC5
module_01	ARPP19
module_01	ARRB1
module_01	ASAP3
module_01	ASMTL
module_01	ASPSCR1
module_01	ATE1
module_01	ATG4C
module_01	ATIC
module_01	ATL3
module_01	ATP5F1B
module_01	ATP5IF1
module_01	ATP5MF
module_01	ATP5PO
module_01	ATP6V1C1
module_01	ATP6V1C2
module_01	ATXN10
module_01	B3GLCT
module_01	B4GALT7
module_01	BAD
module_01	BAG2
module_01	BAG6
module_01	BCAT2
module_01	BCL10
module_01	BCL2L1
module_01	BDNF
module_01	BID
module_01	BLOC1S1
module_01	BOLA3
module_01	BPHL
module_01	BRAF
module_01	BTG1
module_01	BTK
module_01	C11orf68
module_01	C11orf87
module_01	C15orf40
module_01	C1orf198
module_01	C2CD2L
module_01	C3orf18
module_01	C5orf46
module_01	CA13
module_01	CA5B
module_01	CAB39
module_01	CAB39L
module_01	CACNB3
module_01	CACNB4
module_01	CACYBP
module_01	CAMK1
module_01	CAMK2A
module_01	CAMK2B
module_01	CAMK2D
module_01	CAMLG
module_01	CAPN3
module_01	CAPNS1
module_01	CAPZA1
module_01	CARD9
module_01	CASP3
module_01	CASS4
module_01	CAVIN1
module_01	CBL
module_01	CBR4
module_01	CCDC134
module_01	CCDC92
module_01	CCDC97
module_01	CCNB2
module_01	CD69
module_01	CDC25B
module_01	CDC42
module_01	CDK16
module_01	CDK8|CCNC
module_01	CDKN1A
module_01	CDKN2D
module_01	CEP41
module_01	CERT1
module_01	CETN2
module_01	CFAP298
module_01	CFL1
module_01	CHFR
module_01	CHMP1A
module_01	CHMP1B
module_01	CHMP2A
module_01	CHMP3
module_01	CHP1
module_01	CIAO1
module_01	CIRBP
module_01	CKAP2
module_01	CLEC1B
module_01	CLEC4M
module_01	CLIC1
module_01	CLIC4
module_01	CLYBL
module_01	CMIP
module_01	CNOT9
module_01	CNP
module_01	CNPY4
module_01	COASY
module_01	COCH
module_01	COLGALT1
module_01	COMMD10
module_01	COMMD7
module_01	COMMD9
module_01	COMTD1
module_01	COPB2
