module	n_genes	mean_abs_within_r
module_01	1068	0.7316462279584149
module_02	811	0.49287217437804587
module_03	663	0.6089594150804553
module_04	521	0.3775842372094594
module_05	378	0.41813350861857357
module_06	362	0.4427304594456795
module_07	257	0.4022722792909875
module_08	231	0.434184092108697
module_09	223	0.47605602116678875
module_10	179	0.38913860618613716
module_11	176	0.3620440285328662
module_12	165	0.309760017520398
module_13	156	0.3914892573869928
module_14	153	0.3651381049227736
module_15	151	0.4123237711721182
module_16	119	0.38230092874960353
module_17	103	0.3359508757870891
module_18	100	0.3444990022727106
module_19	94	0.2633908647473564
module_20	86	0.2669136498077841
module_21	82	0.37420995456205314
module_22	81	0.3032935529195108
module_23	80	0.2336054336448909
module_24	72	0.24957226686797443
module_25	49	0.27664502035212035
