platform	assay_id	uniprot	gene_symbol	panel	panel_lot
somalogic_somascan	seq.10000.28	P43320	CRYBB2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10001.7	P04049	RAF1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10003.15	P51814	ZNF41	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10006.25	P19419	ELK1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10008.43	P43080	GUCA1A	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10010.10	Q14457	BECN1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10011.65	Q01968	OCRL	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10012.5	O95238	SPDEF	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10014.31	O43623	SNAI2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10015.119	Q13303	KCNAB2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10022.207	Q9Y253	POLH	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10023.32	P11473	VDR	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10024.44	Q86XE5	HOGA1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10025.1	P09622	DLD	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10030.8	Q9UIF7	MUTYH	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10035.6	Q13115	DUSP4	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10036.201	Q9H4I2	ZHX3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10037.98	Q96PQ1	SIGLEC12	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10039.32	P00491	PNP	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10040.63	Q9H3D4	TP63	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10041.3	P41235	HNF4A	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10042.8	Q96BR1	SGK3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10043.31	O60885	BRD4	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10044.12	Q9GZT5	WNT10A	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10045.47	Q13618	CUL3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10046.55	Q13490	BIRC2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10047.12	P19878	NCF2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10048.7	Q13951	CBFB	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10049.112	P54274	TERF1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10053.5	Q13418	ILK	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10054.3	Q9H2C0	GAN	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10056.5	Q08050	FOXM1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10058.1	P54725	RAD23A	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10063.10	Q9NW38	FANCL	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10064.12	O75884	RBBP9	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10069.2	Q13526	PIN1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10070.22	P16885	PLCG2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10073.22	Q9NUW8	TDP1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10074.128	P25440	BRD2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10075.75	Q9BR61	ACBD6	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10076.1	O00189	AP4M1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10078.5	O95817	BAG3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10080.9	Q14232	EIF2B1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10081.17	Q9UPW6	SATB2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10082.251	P07196	NEFL	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10085.25	P49675	STAR	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10086.39	P35520	CBS	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10087.10	P02489	CRYAA	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10088.37	P07741	APRT	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10089.7	O95671	ASMTL	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10336.3	Q9UNE7	STUB1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10339.48	P09104	ENO2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10342.55	Q8N2W9	PIAS4	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10344.334	Q13651	IL10RA	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10346.5	P40763	STAT3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10351.51	P10914	IRF1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10354.57	P40763	STAT3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10356.21	P05412	JUN	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10361.25	P00973	OAS1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10362.35	P01106	MYC	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10363.13	P84022	SMAD3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10364.6	Q15796	SMAD2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10365.132	Q9NPF7	IL12B|IL23A	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10366.11	P16234	PDGFRA	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10367.62	P29460	IL12A|IL12B	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10370.21	P42224	STAT1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10372.18	P42226	STAT6	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10382.1	Q9Y5C1	ANGPTL3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10390.21	Q9ULT6	ZNRF3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10391.1	Q9Y5C1	ANGPTL3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10396.6	Q07820	MCL1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10398.110	Q15327	ANKRD1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10418.36	Q86Y82	STX12	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10419.1	Q6ZMJ2	SCARA5	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10420.30	Q9NVQ4	FAIM	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10424.31	Q9NQX5	NPDC1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10425.3	O43286	B4GALT5	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10426.21	O14653	GOSR2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10428.1	P43631	KIR2DS2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10430.31	P08195	SLC3A2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10432.3	Q3SXP7	SHISAL1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10435.2	P20933	AGA	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10438.19	P15509	CSF2RA	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10439.57	P19961	AMY2B	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10440.26	Q9H6B4	CLMP	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10442.1	Q8WZ59	TMEM190	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10445.20	O95445	APOM	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10447.18	Q9H361	PABPC3	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10449.31	Q6UWI4	SHISA2	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10451.11	Q02818	NUCB1	SomaScan_v4.1	gisby_somascan_2022
somalogic_somascan	seq.10453.7	Q6UY09	CEACAM20	SomaScan_v4.1	gisby_somascan_2022
