comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	0	19	0.08192303743201407	3.4831900000000005
PT1-PR1	Cardiometabolic_II	367	0	1	5	0.033848443072333555	1.10704
PT1-PR1	Inflammation	367	0	1	15	0.019734882312796742	1.3405500000000001
PT1-PR1	Inflammation_II	369	0	0	2	0.08667772232861112	1.0589250000000001
PT1-PR1	Neurology	367	0	5	11	0.002210425419305384	2.03595
PT1-PR1	Neurology_II	367	0	3	14	0.033848443072333555	1.4334799999999999
PT1-PR1	Oncology	366	0	1	12	0.04859451104461425	1.39607
PT1-PR1	Oncology_II	368	0	0	7	0.06347540892547715	1.53586
PR2-PR1	Cardiometabolic	367	0	0	0	0.5188783141590637	1.7586888888888892
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.5360855518093581	0.9121777777777778
PR2-PR1	Inflammation	367	0	0	0	0.4172528225604397	1.0636666666666668
PR2-PR1	Inflammation_II	369	0	0	0	0.995875924565946	1.497588888888889
PR2-PR1	Neurology	367	0	0	0	0.4172528225604397	0.9626625
PR2-PR1	Neurology_II	367	0	0	0	0.7380173601212884	1.8240500000000002
PR2-PR1	Oncology	366	0	0	0	0.4172528225604397	1.06816
PR2-PR1	Oncology_II	368	0	0	0	0.5360855518093581	1.3479875000000001
PT2-PT1	Cardiometabolic	367	0	0	0	0.13304261361457992	1.306088888888889
PT2-PT1	Cardiometabolic_II	367	0	0	0	0.12065154253054233	0.9100666666666667
PT2-PT1	Inflammation	367	0	0	0	0.13304261361457992	1.1882500000000005
PT2-PT1	Inflammation_II	369	0	0	0	0.3791726570104158	2.991444444444445
PT2-PT1	Neurology	367	0	0	0	0.12065154253054233	0.77248
PT2-PT1	Neurology_II	367	0	0	0	0.13304261361457992	1.8125666666666664
PT2-PT1	Oncology	366	0	0	0	0.12065154253054233	1.0927444444444445
PT2-PT1	Oncology_II	368	0	0	0	0.257186539479866	1.6910800000000001
PT2-PR2	Cardiometabolic	367	0	17	43	0.021324433840886198	4.605166666666666
PT2-PR2	Cardiometabolic_II	367	0	40	72	0.005792645047774325	1.89105
PT2-PR2	Inflammation	367	0	52	71	0.021324433840886198	2.045375
PT2-PR2	Inflammation_II	369	0	25	45	0.021409896394406047	2.211899999999999
PT2-PR2	Neurology	367	0	56	88	0.010218328902656282	2.43852
PT2-PR2	Neurology_II	367	0	26	59	0.010218328902656282	1.9432300000000002
PT2-PR2	Oncology	366	0	45	73	0.021324433840886198	2.1611999999999996
PT2-PR2	Oncology_II	368	0	21	55	0.021324433840886198	2.1246400000000003
