panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Oncology	OID21171	CEACAM5	P06731	PR2-PR1	8	0.47977499999999995	-0.34887499999999994	0.82865	5.3856826404249905	11	0.00022143036483646128	0.4172528225604397	
Inflammation	OID20712	DNER	Q8NFT8	PR2-PR1	10	0.13247	-0.38215999999999994	0.51463	4.589583291219278	13	0.0005072162052273121	0.4172528225604397	
Oncology	OID21407	KLK14	Q9P0G3	PR2-PR1	10	0.63657	0.14495999999999998	0.49161	4.757910224704585	13	0.00037407135768940947	0.4172528225604397	
Neurology	OID21096	CA6	P23280	PR2-PR1	10	1.37796	0.8882300000000001	0.48973000000000005	4.5274251384665956	13	0.0005680773622334101	0.4172528225604397	
Cardiometabolic	OID20087	MMP7	P09237	PR2-PR1	9	3.6607999999999996	3.150166666666667	0.5106333333333333	4.3884879000743595	12	0.0008830468246410206	0.5188783141590637	
Cardiometabolic_II	OID30104	SCGB2A2	Q13296	PR2-PR1	9	0.22645555555555555	-0.6554888888888888	0.8819444444444444	4.143982996540181	12	0.0013611147812129243	0.5360855518093581	
Cardiometabolic_II	OID30136	EDEM2	Q9BV94	PR2-PR1	9	-0.3999111111111111	-1.1040111111111113	0.7041000000000001	4.104818781427065	12	0.001459729208466598	0.5360855518093581	
Oncology_II	OID31177	MAPRE3	Q9UPY8	PR2-PR1	9	-0.24182222222222224	-0.7413000000000001	0.4994777777777778	4.19435784233149	12	0.0012443189439463875	0.5360855518093581	
Inflammation	OID20428	IL33	O95760	PR2-PR1	9	-1.1995555555555555	-0.18107777777777778	-1.0184777777777778	-3.997266783214042	12	0.0017703824550396874	0.5779315169896224	
Cardiometabolic_II	OID30189	VSIG10L	Q86VR7	PR2-PR1	9	1.1347666666666667	0.22258888888888886	0.9121777777777778	3.764335154311337	12	0.0026995084477021702	0.7380173601212884	
Neurology_II	OID30915	CADPS	Q9ULU8	PR2-PR1	7	0.5242571428571429	-0.04214285714285714	0.5663999999999999	3.942608883152118	10	0.0027631691495351163	0.7380173601212884	
Oncology	OID21271	FOXO3	O43524	PR2-PR1	8	0.07978749999999998	0.8530125	-0.773225	-3.7727444328696835	11	0.003085661456560418	0.7554727799478757	
Neurology_II	OID30920	GNGT1	P63211	PR2-PR1	7	1.4029857142857143	0.7559428571428571	0.6470428571428571	3.606510029605894	10	0.004795799910606746	0.9183431462680918	
Neurology_II	OID30832	HDAC9	Q9UKV0	PR2-PR1	8	0.11992499999999998	-0.4850625	0.6049875	3.529444062381363	11	0.00471944729631657	0.9183431462680918	
Oncology_II	OID31473	PSAPL1	Q6NUJ1	PR2-PR1	10	-0.03969999999999998	-0.4710599999999999	0.43136	3.372344347868499	13	0.0050011879987370556	0.9183431462680918	
Neurology_II	OID31096	PALM2	Q8IXS6	PR2-PR1	10	-0.29769	-0.7110700000000001	0.41337999999999997	3.408314069756801	13	0.00466717386968285	0.9183431462680918	
Oncology_II	OID31206	CREBZF	Q9NS37	PR2-PR1	9	-0.37577777777777777	-0.9862444444444445	0.6104666666666667	3.3779850068837582	12	0.005488567500312902	0.9485536068187826	
