pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	go_bp	2	21	72	7	2920	1.012536e-03	1.000000e+00	MMP7,NCR3LG1
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING	go_bp	1	3	14	7	2920	7.177007e-03	1.000000e+00	FEN1
GOBP_INSEMINATION	go_bp	1	3	13	7	2920	7.177007e-03	1.000000e+00	KLK14
GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS	go_bp	1	3	14	7	2920	7.177007e-03	1.000000e+00	MMP7
GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE	go_bp	1	3	19	7	2920	7.177007e-03	1.000000e+00	MAPRE3
GOBP_REGULATION_OF_SISTER_CHROMATID_COHESION	go_bp	1	3	17	7	2920	7.177007e-03	1.000000e+00	FEN1
GOBP_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION	go_bp	1	3	9	7	2920	7.177007e-03	1.000000e+00	FEN1
GOBP_UV_PROTECTION	go_bp	1	4	12	7	2920	9.559509e-03	1.000000e+00	FEN1
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE	go_bp	2	71	338	7	2920	1.131297e-02	1.000000e+00	FEN1,MAPRE3
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	go_bp	1	5	48	7	2920	1.193711e-02	1.000000e+00	CA6
GOBP_MYOTUBE_CELL_DEVELOPMENT	go_bp	1	5	43	7	2920	1.193711e-02	1.000000e+00	DNER
GOBP_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	go_bp	1	5	15	7	2920	1.193711e-02	1.000000e+00	MAPRE3
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE	go_bp	1	5	46	7	2920	1.193711e-02	1.000000e+00	CA6
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	go_bp	2	75	161	7	2920	1.257512e-02	1.000000e+00	MMP7,NCR3LG1
GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION	go_bp	1	6	10	7	2920	1.430982e-02	1.000000e+00	MMP7
GOBP_COPULATION	go_bp	1	6	19	7	2920	1.430982e-02	1.000000e+00	KLK14
GOBP_SENSORY_PERCEPTION_OF_TASTE	go_bp	1	6	68	7	2920	1.430982e-02	1.000000e+00	CA6
GOBP_SISTER_CHROMATID_COHESION	go_bp	1	6	59	7	2920	1.430982e-02	1.000000e+00	FEN1
GOBP_BASE_EXCISION_REPAIR	go_bp	1	7	44	7	2920	1.667764e-02	1.000000e+00	FEN1
GOBP_CELL_CYCLE_DNA_REPLICATION	go_bp	1	7	46	7	2920	1.667764e-02	1.000000e+00	FEN1
GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION	go_bp	1	8	12	7	2920	1.904058e-02	1.000000e+00	MMP7
GOBP_MATING_BEHAVIOR	go_bp	1	8	36	7	2920	1.904058e-02	1.000000e+00	KLK14
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	go_bp	1	9	27	7	2920	2.139866e-02	1.000000e+00	MMP7
GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	go_bp	1	10	61	7	2920	2.375187e-02	1.000000e+00	MAPRE3
GOBP_REPRODUCTIVE_BEHAVIOR	go_bp	1	10	45	7	2920	2.375187e-02	1.000000e+00	KLK14
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	go_bp	1	10	535	7	2920	2.375187e-02	1.000000e+00	CA6
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	go_bp	2	110	338	7	2920	2.609103e-02	1.000000e+00	MMP7,NCR3LG1
GOBP_EPIDERMIS_MORPHOGENESIS	go_bp	1	13	37	7	2920	3.078244e-02	1.000000e+00	KLK14
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	go_bp	1	13	109	7	2920	3.078244e-02	1.000000e+00	FEN1
GOBP_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	go_bp	1	13	33	7	2920	3.078244e-02	1.000000e+00	KLK14
GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	go_bp	1	15	552	7	2920	3.544534e-02	1.000000e+00	CA6
GOBP_DNA_TEMPLATED_DNA_REPLICATION	go_bp	1	15	164	7	2920	3.544534e-02	1.000000e+00	FEN1
GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	go_bp	1	15	79	7	2920	3.544534e-02	1.000000e+00	MAPRE3
GOBP_ONE_CARBON_METABOLIC_PROCESS	go_bp	1	16	40	7	2920	3.776956e-02	1.000000e+00	CA6
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	go_bp	1	16	61	7	2920	3.776956e-02	1.000000e+00	MAPRE3
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	go_bp	1	16	96	7	2920	3.776956e-02	1.000000e+00	MAPRE3
GOBP_HUMORAL_IMMUNE_RESPONSE	go_bp	2	138	287	7	2920	3.982792e-02	1.000000e+00	MMP7,NCR3LG1
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	go_bp	1	17	66	7	2920	4.008899e-02	1.000000e+00	KLK14
GOBP_RECOMBINATIONAL_REPAIR	go_bp	1	17	192	7	2920	4.008899e-02	1.000000e+00	FEN1
GOBP_BEHAVIOR	go_bp	2	155	657	7	2920	4.930259e-02	1.000000e+00	FEN1,KLK14
GOBP_TELOMERE_MAINTENANCE	go_bp	1	21	159	7	2920	4.931884e-02	1.000000e+00	FEN1
GOBP_COLLAGEN_CATABOLIC_PROCESS	go_bp	1	22	45	7	2920	5.161438e-02	1.000000e+00	MMP7
GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	go_bp	1	22	50	7	2920	5.161438e-02	1.000000e+00	MMP7
GOBP_MICROTUBULE_POLYMERIZATION	go_bp	1	22	96	7	2920	5.161438e-02	1.000000e+00	MAPRE3
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	go_bp	1	22	137	7	2920	5.161438e-02	1.000000e+00	MAPRE3
GOBP_SPINDLE_ASSEMBLY	go_bp	1	22	132	7	2920	5.161438e-02	1.000000e+00	MAPRE3
GOBP_TELOMERE_ORGANIZATION	go_bp	1	22	190	7	2920	5.161438e-02	1.000000e+00	FEN1
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	go_bp	1	23	42	7	2920	5.390516e-02	1.000000e+00	NCR3LG1
GOBP_MEMORY	go_bp	1	23	125	7	2920	5.390516e-02	1.000000e+00	FEN1
GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	go_bp	1	26	62	7	2920	6.074909e-02	1.000000e+00	MMP7
GOBP_PEPTIDE_METABOLIC_PROCESS	go_bp	1	26	78	7	2920	6.074909e-02	1.000000e+00	MMP7
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION	go_bp	1	27	161	7	2920	6.302095e-02	1.000000e+00	MAPRE3
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	go_bp	1	28	99	7	2920	6.528809e-02	1.000000e+00	MMP7
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT	go_bp	1	29	186	7	2920	6.755054e-02	1.000000e+00	DNER
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	go_bp	1	30	56	7	2920	6.980828e-02	1.000000e+00	NCR3LG1
GOBP_MYOTUBE_DIFFERENTIATION	go_bp	1	30	135	7	2920	6.980828e-02	1.000000e+00	DNER
GOBP_NERVOUS_SYSTEM_PROCESS	go_bp	2	194	1522	7	2920	7.390253e-02	1.000000e+00	CA6,FEN1
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	go_bp	1	32	248	7	2920	7.430972e-02	1.000000e+00	FEN1
GOBP_REGULATION_OF_CELL_CYCLE	go_bp	2	196	1126	7	2920	7.526236e-02	1.000000e+00	FEN1,MAPRE3
GOBP_CELL_CYCLE_PROCESS	go_bp	2	200	1305	7	2920	7.800875e-02	1.000000e+00	FEN1,MAPRE3
GOBP_SPINDLE_ORGANIZATION	go_bp	1	34	200	7	2920	7.879248e-02	1.000000e+00	MAPRE3
