pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_TNF_JNK_SIGNALING_PATHWAY	kegg	1	3	5	7	2920	7.177007e-03	9.210492e-01	MMP7
KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER	kegg	1	3	17	7	2920	7.177007e-03	9.210492e-01	FEN1
KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION	kegg	1	3	11	7	2920	7.177007e-03	9.210492e-01	FEN1
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	kegg	0	39	55	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_EBV_BARF1_TO_INTRINSIC_APOPTOTIC_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION	kegg	0	4	10	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION	kegg	0	4	10	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HBV_LHBS_TO_PKC_ERK_SIGNALING_PATHWAY	kegg	0	4	12	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HIV_NEF_TO_TNF_NFKB_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HPV_E6_TO_NOTCH_SIGNALING_PATHWAY_N00382	kegg	0	4	13	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_JAK_STAT_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	kegg	0	4	16	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	kegg	0	4	39	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_ANGII_AT1R_NOX2_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR_GRASP55	kegg	0	4	6	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_LC3_II_FORMATION	kegg	0	4	13	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_SEQUESTOSOME_1_LIKE_RECEPTOR	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY	kegg	0	4	20	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	kegg	0	4	25	7	2920	1.000000e+00	1.000000e+00	
