pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	6	105	200	53	2920	1.089374e-02	5.446871e-01	AREG,ITGB5,MATN2,SPOCK1,SPP1,TNC
HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	3	47	200	53	2920	5.227166e-02	7.223967e-01	AREG,CELSR2,KLK10
HALLMARK_KRAS_SIGNALING_UP	hallmark	4	80	200	53	2920	5.550753e-02	7.223967e-01	ANGPTL4,PLAT,SPON1,SPP1
HALLMARK_KRAS_SIGNALING_DN	hallmark	3	57	200	53	2920	8.323383e-02	7.223967e-01	CALCB,CELSR2,EDN1
HALLMARK_ADIPOGENESIS	hallmark	3	58	200	53	2920	8.668761e-02	7.223967e-01	ANGPTL4,LAMA4,NDUFB7
HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	3	58	200	53	2920	8.668761e-02	7.223967e-01	AREG,CELSR2,KLK10
HALLMARK_MYOGENESIS	hallmark	3	68	200	53	2920	1.243835e-01	8.884534e-01	AGRN,FST,ITGB5
HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	3	74	200	53	2920	1.494335e-01	9.311926e-01	AREG,EDN1,TNC
HALLMARK_PANCREAS_BETA_CELLS	hallmark	1	10	40	53	2920	1.676147e-01	9.311926e-01	STXBP1
HALLMARK_HEDGEHOG_SIGNALING	hallmark	1	15	36	53	2920	2.407532e-01	1.000000e+00	ADGRG1
HALLMARK_GLYCOLYSIS	hallmark	2	55	200	53	2920	2.635139e-01	1.000000e+00	AGRN,ANGPTL4
HALLMARK_ALLOGRAFT_REJECTION	hallmark	3	108	200	53	2920	3.121334e-01	1.000000e+00	CCL13,CD8A,CXCL13
HALLMARK_ANGIOGENESIS	hallmark	1	25	36	53	2920	3.686190e-01	1.000000e+00	SPP1
HALLMARK_COAGULATION	hallmark	2	82	138	53	2920	4.420426e-01	1.000000e+00	ADAM9,PLAT
