pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	go_bp	15	98	502	100	2920	6.394445e-07	3.410158e-03	ABL1,ARHGEF12,CRKL,DBNL,DNMBP,DOK1,GIT1,MYO9B,RAB33A,RHOC,SRC,STAMBP,USP8,VAV3,WASF1
GOBP_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	go_bp	24	280	1669	100	2920	1.321038e-05	3.279161e-02	ABL1,BIN2,CORO1A,DAB2,DARS1,DBNL,DLG4,DNAJC6,EIF2AK2,GIT1,HCLS1,MIF,NDUFB7,PKD2,RHOC,SHMT1,SIRT2,SNAP29,SRC,SUGT1,TBCB,VAMP8,WASF1,WASHC3
GOBP_LAMELLIPODIUM_MORPHOGENESIS	go_bp	4	6	18	100	2920	1.844643e-05	3.279161e-02	MYO9B,PLEKHO1,SRC,WASF1
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	go_bp	4	7	22	100	2920	4.190999e-05	5.587650e-02	ABL1,SRC,VAV3,YES1
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	go_bp	10	67	379	100	2920	6.893113e-05	7.352194e-02	CRKL,DAB2,EIF2AK2,ERBIN,IRAK4,MAP2K6,RWDD1,SFRP1,SIRT2,SRC
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	go_bp	4	9	31	100	2920	1.430564e-04	1.089885e-01	ABL1,SRC,VAV3,YES1
GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	go_bp	4	9	50	100	2920	1.430564e-04	1.089885e-01	ABL1,DAAM1,DAB2,SFRP1
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	go_bp	9	65	305	100	2920	2.929624e-04	1.952961e-01	ABL1,ARHGEF12,CRKL,DNMBP,GIT1,MYO9B,SRC,STAMBP,VAV3
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	go_bp	3	5	30	100	2920	3.708836e-04	1.977922e-01	CACNB3,CRACR2A,PKD2
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	go_bp	3	5	16	100	2920	3.708836e-04	1.977922e-01	ABL1,DAB2,SFRP1
GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY	go_bp	4	12	35	100	2920	5.189791e-04	2.516105e-01	ABL1,SRC,VAV3,YES1
