pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
HALLMARK_FATTY_ACID_METABOLISM	hallmark	1	47	158	6	2920	9.284791e-02	1.000000e+00	CA6
HALLMARK_COAGULATION	hallmark	1	82	138	6	2920	1.572230e-01	1.000000e+00	MMP7
HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	0	56	87	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	0	39	97	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_UV_RESPONSE_DN	hallmark	0	39	144	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_GLYCOLYSIS	hallmark	0	55	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_UV_RESPONSE_UP	hallmark	0	54	158	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_NOTCH_SIGNALING	hallmark	0	5	32	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_XENOBIOTIC_METABOLISM	hallmark	0	71	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEME_METABOLISM	hallmark	0	51	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_APICAL_JUNCTION	hallmark	0	79	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_KRAS_SIGNALING_DN	hallmark	0	57	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_IL2_STAT5_SIGNALING	hallmark	0	83	199	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_ADIPOGENESIS	hallmark	0	58	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	0	58	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_BILE_ACID_METABOLISM	hallmark	0	18	112	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_HEDGEHOG_SIGNALING	hallmark	0	15	36	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_TGF_BETA_SIGNALING	hallmark	0	15	54	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	0	105	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	0	74	200	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	0	23	74	6	2920	1.000000e+00	1.000000e+00	
HALLMARK_PEROXISOME	hallmark	0	23	104	6	2920	1.000000e+00	1.000000e+00	
